#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.3070 3.8256E-02 3.8256E-02   0.40   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=141 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -2.361        -0.0648        -0.0648
  2 -2.261         0.8791         0.8266
  3 -2.161         0.9458         0.0992
  4 -2.061         0.9759        -0.1984
  5 -1.961         1.0011        -0.2478
  6 -1.861         1.0237        -0.2698
  7 -1.761         1.0464        -0.2470
  8 -1.661         1.0921         0.0914
  9 -1.561         1.1230        -0.0405
 10 -1.461         1.1471        -0.1202
 11 -1.361         1.1887         0.1498
 12 -1.261         1.6867         1.5206
 13 -1.161         2.0179         1.7452
 14 -1.061         2.2053         1.7500
 15 -0.961         2.3370         1.7545
 16 -0.861         2.4384         1.7571
 17 -0.761         2.5218         1.7641
 18 -0.661         2.5908         1.7580
 19 -0.561         2.6499         1.7543
 20 -0.461         2.7240         1.9192
 21 -0.361         2.8030         2.0239
 22 -0.261         2.8863         2.1286
 23 -0.161         2.9547         2.1182
 24 -0.061         3.0135         2.1155
 25  0.039         3.0645         2.1096
 26  0.139         3.1097         2.1045
 27  0.239         3.1508         2.1063
 28  0.339         3.1898         2.1243
 29  0.439         3.2260         2.1283
 30  0.539         3.2600         2.1366
 31  0.639         3.2962         2.1996
 32  0.739         3.3334         2.2478
 33  0.839         3.3680         2.2516
 34  0.939         3.4010         2.2655
 35  1.039         3.4304         2.2465
 36  1.139         3.4563         2.2184
 37  1.239         3.4807         2.2185
 38  1.339         3.5042         2.2251
 39  1.439         3.5272         2.2415
 40  1.539         3.5495         2.2488
 41  1.639         3.5714         2.2625
 42  1.739         3.5948         2.3139
 43  1.839         3.6774         2.9163
 44  1.939         3.7097         2.5651
 45  2.039         3.7274         2.3284
 46  2.139         3.7397         2.1856
 47  2.239         3.7496         2.1007
 48  2.339         3.7577         2.0266
 49  2.439         3.7591         1.2697
 50  2.539         3.7717         2.2264
 51  2.639         3.7841         2.2326
 52  2.739         3.7963         2.2390
 53  2.839         3.8083         2.2454
 54  2.939         3.8205         2.2632
 55  3.039         3.8334         2.3009
 56  3.139         3.8463         2.3101
 57  3.239         3.8589         2.3172
 58  3.339         3.8714         2.3232
 59  3.439         3.8837         2.3309
 60  3.539         3.8960         2.3403
 61  3.639         3.9078         2.3369
 62  3.739         3.9192         2.3318
 63  3.839         3.9307         2.3488
 64  3.939         3.9424         2.3682
 65  4.039         3.9544         2.3900
 66  4.139         3.9667         2.4129
 67  4.239         3.9790         2.4248
 68  4.339         3.9915         2.4429
 69  4.439         4.0071         2.5558
 70  4.539         4.0205         2.5005
 71  4.639         4.0339         2.5185
 72  4.739         4.0479         2.5475
 73  4.839         4.0617         2.5586
 74  4.939         4.0749         2.5494
 75  5.039         4.0873         2.5381
 76  5.139         4.1005         2.5768
 77  5.239         4.1081         2.3449
 78  5.339         4.1147         2.2982
 79  5.439         4.1214         2.3048
 80  5.539         4.1281         2.3115
 81  5.639         4.1348         2.3184
 82  5.739         4.1415         2.3255
 83  5.839         4.1482         2.3329
 84  5.939         4.1549         2.3405
 85  6.039         4.1616         2.3483
 86  6.139         4.1683         2.3564
 87  6.239         4.1751         2.3647
 88  6.339         4.1819         2.3732
 89  6.439         4.1887         2.3820
 90  6.539         4.1956         2.3910
 91  6.639         4.2025         2.4002
 92  6.739         4.2095         2.4097
 93  6.839         4.2164         2.4194
 94  6.939         4.2235         2.4294
 95  7.039         4.2306         2.4396
 96  7.139         4.2377         2.4501
 97  7.239         4.2448         2.4568
 98  7.339         4.2518         2.4554
 99  7.439         4.2588         2.4598
100  7.539         4.2658         2.4715
101  7.639         4.2730         2.4910
102  7.739         4.2806         2.5186
103  7.839         4.2887         2.5543
104  7.939         4.2973         2.5907
105  8.039         4.3064         2.6201
106  8.139         4.3157         2.6442
107  8.239         4.3256         2.6757
108  8.339         4.3356         2.6932
109  8.439         4.3448         2.6691
110  8.539         4.3535         2.6486
111  8.639         4.3720         2.9931
112  8.739         4.3938         3.0825
113  8.839         4.4145         3.0838
114  8.939         4.4308         2.9965
115  9.039         4.4610         3.2888
116  9.139         4.4908         3.3125
117  9.239         4.5199         3.3307
118  9.339         4.5479         3.3432
119  9.439         4.5745         3.3492
120  9.539         4.5996         3.3477
121  9.639         4.6225         3.3331
122  9.739         4.6428         3.3039
123  9.839         4.6611         3.2768
124  9.939         4.6780         3.2589
125 10.039         4.6941         3.2550
126 10.139         4.7102         3.2701
127 10.239         4.7270         3.3085
128 10.339         4.7455         3.3644
129 10.439         4.7757         3.6031
130 10.539         4.7965         3.4660
131 10.639         4.8151         3.4378
132 10.739         4.8337         3.4554
133 10.839         4.8522         3.4742
134 10.939         4.8708         3.4927
135 11.039         4.8894         3.5110
136 11.139         4.9079         3.5291
137 11.239         4.9264         3.5469
138 11.339         4.9449         3.5645
139 11.439         4.9633         3.5818
140 11.539         4.9817         3.5988
141 11.639         5.0000         3.6156


#AGE= 0.100 BINS=141 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -2.222        -0.0639        -0.0639
  2 -2.122         0.8517         0.7955
  3 -2.022         0.9193         0.0779
  4 -1.922         0.9534        -0.1681
  5 -1.822         0.9777        -0.2866
  6 -1.722         1.0019        -0.2652
  7 -1.622         1.0257        -0.2473
  8 -1.522         1.0462        -0.2899
  9 -1.422         1.1017         0.1809
 10 -1.322         1.1312        -0.0512
 11 -1.222         1.1601        -0.0312
 12 -1.122         1.2216         0.3426
 13 -1.022         1.2598         0.1848
 14 -0.922         1.2785        -0.0983
 15 -0.822         1.2853        -0.5213
 16 -0.722         1.2839        -0.5213
 17 -0.622         1.5233         1.1504
 18 -0.522         1.9519         1.7493
 19 -0.422         2.1678         1.7609
 20 -0.322         2.3714         1.9445
 21 -0.222         2.5422         2.0543
 22 -0.122         2.6884         2.1445
 23 -0.022         2.7969         2.1413
 24  0.078         2.8834         2.1402
 25  0.178         2.9548         2.1355
 26  0.278         3.0159         2.1342
 27  0.378         3.0698         2.1364
 28  0.478         3.1193         2.1523
 29  0.578         3.1641         2.1551
 30  0.678         3.2054         2.1633
 31  0.778         3.2447         2.1812
 32  0.878         3.2868         2.2523
 33  0.978         3.3268         2.2712
 34  1.078         3.3642         2.2807
 35  1.178         3.3967         2.2555
 36  1.278         3.4260         2.2404
 37  1.378         3.4534         2.2397
 38  1.478         3.4798         2.2495
 39  1.578         3.5052         2.2600
 40  1.678         3.5295         2.2661
 41  1.778         3.5539         2.2914
 42  1.878         3.6141         2.7262
 43  1.978         3.6442         2.4697
 44  2.078         3.6712         2.4509
 45  2.178         3.6893         2.3009
 46  2.278         3.7037         2.2157
 47  2.378         3.7163         2.1737
 48  2.478         3.7273         2.1269
 49  2.578         3.7410         2.2313
 50  2.678         3.7541         2.2288
 51  2.778         3.7671         2.2342
 52  2.878         3.7798         2.2397
 53  2.978         3.7923         2.2455
 54  3.078         3.8049         2.2607
 55  3.178         3.8182         2.2989
 56  3.278         3.8314         2.3077
 57  3.378         3.8444         2.3145
 58  3.478         3.8572         2.3206
 59  3.578         3.8699         2.3285
 60  3.678         3.8824         2.3345
 61  3.778         3.8939         2.3139
 62  3.878         3.9056         2.3291
 63  3.978         3.9175         2.3469
 64  4.078         3.9295         2.3672
 65  4.178         3.9419         2.3900
 66  4.278         3.9545         2.4117
 67  4.378         3.9670         2.4190
 68  4.478         3.9821         2.5174
 69  4.578         3.9957         2.4841
 70  4.678         4.0091         2.4909
 71  4.778         4.0229         2.5177
 72  4.878         4.0367         2.5338
 73  4.978         4.0501         2.5316
 74  5.078         4.0627         2.5199
 75  5.178         4.0757         2.5448
 76  5.278         4.0852         2.4187
 77  5.378         4.0920         2.2864
 78  5.478         4.0989         2.2925
 79  5.578         4.1057         2.2988
 80  5.678         4.1125         2.3054
 81  5.778         4.1193         2.3122
 82  5.878         4.1262         2.3193
 83  5.978         4.1330         2.3266
 84  6.078         4.1398         2.3341
 85  6.178         4.1467         2.3420
 86  6.278         4.1536         2.3501
 87  6.378         4.1605         2.3584
 88  6.478         4.1674         2.3671
 89  6.578         4.1744         2.3760
 90  6.678         4.1814         2.3851
 91  6.778         4.1884         2.3946
 92  6.878         4.1955         2.4043
 93  6.978         4.2026         2.4143
 94  7.078         4.2098         2.4246
 95  7.178         4.2171         2.4352
 96  7.278         4.2244         2.4460
 97  7.378         4.2316         2.4517
 98  7.478         4.2388         2.4508
 99  7.578         4.2459         2.4568
100  7.678         4.2531         2.4709
101  7.778         4.2606         2.4937
102  7.878         4.2685         2.5252
103  7.978         4.2770         2.5640
104  8.078         4.2860         2.5976
105  8.178         4.2954         2.6248
106  8.278         4.3051         2.6505
107  8.378         4.3153         2.6809
108  8.478         4.3250         2.6714
109  8.578         4.3340         2.6437
110  8.678         4.3428         2.6476
111  8.778         4.3481         2.4257
112  8.878         4.3570         2.6674
113  8.978         4.3763         3.0140
114  9.078         4.4024         3.1677
115  9.178         4.4353         3.2988
116  9.278         4.4678         3.3257
117  9.378         4.4994         3.3458
118  9.478         4.5298         3.3590
119  9.578         4.5585         3.3645
120  9.678         4.5852         3.3607
121  9.778         4.6093         3.3420
122  9.878         4.6301         3.3004
123  9.978         4.6485         3.2649
124 10.078         4.6653         3.2453
125 10.178         4.6817         3.2493
126 10.278         4.6987         3.2832
127 10.378         4.7174         3.3429
128 10.478         4.7470         3.5658
129 10.578         4.7696         3.4748
130 10.678         4.7894         3.4391
131 10.778         4.8086         3.4441
132 10.878         4.8278         3.4638
133 10.978         4.8470         3.4833
134 11.078         4.8663         3.5026
135 11.178         4.8855         3.5217
136 11.278         4.9047         3.5405
137 11.378         4.9238         3.5590
138 11.478         4.9430         3.5773
139 11.578         4.9620         3.5953
140 11.678         4.9811         3.6130
141 11.778         5.0000         3.6303


#AGE= 1.000 BINS=140 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.734        -0.1168        -0.1168
  2 -0.634         0.1405        -0.2092
  3 -0.534         0.2886        -0.2506
  4 -0.434         0.3980        -0.2541
  5 -0.334         0.4838        -0.2626
  6 -0.234         0.5559        -0.2599
  7 -0.134         0.6176        -0.2606
  8 -0.034         0.6714        -0.2622
  9  0.066         0.7194        -0.2609
 10  0.166         0.7627        -0.2598
 11  0.266         0.8017        -0.2640
 12  0.366         0.8378        -0.2612
 13  0.466         0.8709        -0.2633
 14  0.566         0.9015        -0.2650
 15  0.666         1.1460         0.7799
 16  0.766         1.2547         0.6001
 17  0.866         1.3837         0.7936
 18  0.966         1.6327         1.2725
 19  1.066         1.9520         1.6685
 20  1.166         2.1768         1.7833
 21  1.266         2.3287         1.7988
 22  1.366         2.4435         1.8093
 23  1.466         2.5336         1.8063
 24  1.566         2.6085         1.8083
 25  1.666         2.6746         1.8248
 26  1.766         2.7352         1.8498
 27  1.866         2.7913         1.8747
 28  1.966         2.8429         1.8922
 29  2.066         2.8907         1.9086
 30  2.166         2.9354         1.9263
 31  2.266         2.9772         1.9399
 32  2.366         3.0166         1.9544
 33  2.466         3.0535         1.9647
 34  2.566         3.0885         1.9768
 35  2.666         3.1217         1.9886
 36  2.766         3.1536         2.0043
 37  2.866         3.1847         2.0243
 38  2.966         3.2142         2.0304
 39  3.066         3.2419         2.0337
 40  3.166         3.2691         2.0516
 41  3.266         3.2953         2.0631
 42  3.366         3.3200         2.0623
 43  3.466         3.3435         2.0648
 44  3.566         3.3660         2.0690
 45  3.666         3.3878         2.0781
 46  3.766         3.4090         2.0873
 47  3.866         3.4298         2.0990
 48  3.966         3.4502         2.1118
 49  4.066         3.4701         2.1224
 50  4.166         3.4895         2.1305
 51  4.266         3.5084         2.1361
 52  4.366         3.5265         2.1392
 53  4.466         3.5441         2.1417
 54  4.566         3.5608         2.1384
 55  4.666         3.5775         2.1540
 56  4.766         3.5945         2.1785
 57  4.866         3.6113         2.1897
 58  4.966         3.6275         2.1925
 59  5.066         3.6432         2.1922
 60  5.166         3.6586         2.1997
 61  5.266         3.6737         2.2077
 62  5.366         3.6885         2.2138
 63  5.466         3.7030         2.2205
 64  5.566         3.7172         2.2252
 65  5.666         3.7312         2.2312
 66  5.766         3.7448         2.2340
 67  5.866         3.7581         2.2375
 68  5.966         3.7711         2.2413
 69  6.066         3.7838         2.2437
 70  6.166         3.7961         2.2404
 71  6.266         3.8078         2.2329
 72  6.366         3.8190         2.2264
 73  6.466         3.8298         2.2211
 74  6.566         3.8403         2.2172
 75  6.666         3.8505         2.2146
 76  6.766         3.8604         2.2134
 77  6.866         3.8701         2.2137
 78  6.966         3.8796         2.2155
 79  7.066         3.8890         2.2187
 80  7.166         3.8982         2.2234
 81  7.266         3.9075         2.2296
 82  7.366         3.9166         2.2372
 83  7.466         3.9258         2.2462
 84  7.566         3.9350         2.2565
 85  7.666         3.9443         2.2680
 86  7.766         3.9536         2.2808
 87  7.866         3.9628         2.2860
 88  7.966         3.9719         2.2864
 89  8.066         3.9808         2.2900
 90  8.166         3.9897         2.2971
 91  8.266         3.9987         2.3078
 92  8.366         4.0077         2.3224
 93  8.466         4.0170         2.3408
 94  8.566         4.0265         2.3629
 95  8.666         4.0362         2.3817
 96  8.766         4.0461         2.3982
 97  8.866         4.0565         2.4298
 98  8.966         4.0675         2.4676
 99  9.066         4.0790         2.4944
100  9.166         4.0908         2.5190
101  9.266         4.1026         2.5309
102  9.366         4.1147         2.5529
103  9.466         4.1275         2.5903
104  9.566         4.1409         2.6257
105  9.666         4.1551         2.6599
106  9.766         4.1698         2.6925
107  9.866         4.1851         2.7249
108  9.966         4.2010         2.7576
109 10.066         4.2175         2.7897
110 10.166         4.2349         2.8266
111 10.266         4.2531         2.8670
112 10.366         4.2721         2.9051
113 10.466         4.2920         2.9420
114 10.566         4.3128         2.9824
115 10.666         4.3346         3.0249
116 10.766         4.3582         3.0810
117 10.866         4.3832         3.1319
118 10.966         4.4078         3.1479
119 11.066         4.4313         3.1538
120 11.166         4.4546         3.1726
121 11.266         4.4786         3.2079
122 11.366         4.5035         3.2509
123 11.466         4.5302         3.3056
124 11.566         4.5582         3.3524
125 11.666         4.5864         3.3860
126 11.766         4.6142         3.4055
127 11.866         4.6414         3.4258
128 11.966         4.6686         3.4513
129 12.066         4.6957         3.4774
130 12.166         4.7228         3.5043
131 12.266         4.7499         3.5320
132 12.366         4.7771         3.5606
