#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2454 2.6063E-04 2.6063E-04  -1.80   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=125 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.675            NaN         0.0000
  2 -1.575            NaN         0.0000
  3 -1.475            NaN         0.0000
  4 -1.375            NaN         0.0000
  5 -1.274            NaN         0.0000
  6 -1.175            NaN         0.0000
  7 -1.075            NaN         0.0000
  8 -0.975            NaN         0.0000
  9 -0.875            NaN         0.0000
 10 -0.774            NaN         1.2552
 11 -0.675            NaN         1.4301
 12 -0.575            NaN         1.4860
 13 -0.475            NaN         1.4957
 14 -0.375            NaN         1.4801
 15 -0.274            NaN         1.4569
 16 -0.175            NaN         1.5015
 17 -0.075         0.9031         1.5538
 18  0.025         1.6660         1.5837
 19  0.125         1.9541         1.6397
 20  0.226         2.1503         1.7109
 21  0.325         2.2643         1.6274
 22  0.425         2.3154         1.3607
 23  0.525         2.4100         1.7021
 24  0.625         2.4926         1.7309
 25  0.726         2.5572         1.6981
 26  0.825         2.6242         1.7794
 27  0.925         2.7045         1.9316
 28  1.025         2.8031         2.1106
 29  1.125         2.8903         2.1503
 30  1.226         2.9475         2.0387
 31  1.325         2.9990         2.0474
 32  1.425         3.0461         2.0586
 33  1.525         3.0901         2.0732
 34  1.626         3.1313         2.0882
 35  1.726         3.1693         2.0925
 36  1.825         3.2011         2.0496
 37  1.925         3.2785         2.4917
 38  2.025         3.4334         2.9105
 39  2.126         3.4721         2.4025
 40  2.226         3.5104         2.4374
 41  2.325         3.5302         2.1788
 42  2.425         3.5488         2.1705
 43  2.525         3.5666         2.1715
 44  2.626         3.5839         2.1745
 45  2.726         3.6011         2.1914
 46  2.825         3.6183         2.2061
 47  2.925         3.6354         2.2225
 48  3.026         3.6526         2.2424
 49  3.125         3.6700         2.2647
 50  3.226         3.6876         2.2847
 51  3.325         3.7051         2.3018
 52  3.425         3.7187         2.2084
 53  3.526         3.7319         2.2075
 54  3.625         3.7451         2.2208
 55  3.726         3.7583         2.2343
 56  3.825         3.7715         2.2480
 57  3.925         3.7847         2.2620
 58  4.026         3.7980         2.2762
 59  4.125         3.8113         2.2907
 60  4.226         3.8246         2.3055
 61  4.325         3.8380         2.3205
 62  4.425         3.8515         2.3358
 63  4.526         3.8650         2.3514
 64  4.625         3.8786         2.3674
 65  4.726         3.8922         2.3836
 66  4.825         3.9060         2.4001
 67  4.925         3.9199         2.4168
 68  5.026         3.9338         2.4330
 69  5.125         3.9478         2.4492
 70  5.226         3.9619         2.4654
 71  5.325         3.9760         2.4821
 72  5.425         3.9907         2.5108
 73  5.526         4.0052         2.5231
 74  5.625         4.0188         2.5076
 75  5.726         4.0311         2.4768
 76  5.825         4.0426         2.4586
 77  5.925         4.0537         2.4556
 78  6.026         4.0648         2.4677
 79  6.125         4.0761         2.4851
 80  6.226         4.0870         2.4809
 81  6.325         4.0938         2.2882
 82  6.426         4.1006         2.2918
