#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2472 1.3443E-03 1.3443E-03  -1.10   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=134 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.937            NaN         0.0000
  2 -1.837            NaN         0.0000
  3 -1.737            NaN         0.0000
  4 -1.637            NaN         0.0000
  5 -1.537            NaN         0.1062
  6 -1.437            NaN         0.1062
  7 -1.337            NaN         0.8909
  8 -1.237            NaN         1.0398
  9 -1.137            NaN         1.1175
 10 -1.037         0.9926         1.1826
 11 -0.937         1.5342         1.3871
 12 -0.837         1.8005         1.4619
 13 -0.737         1.9604         1.4487
 14 -0.637         2.0772         1.4498
 15 -0.537         2.1668         1.4372
 16 -0.437         2.2383         1.4196
 17 -0.337         2.2953         1.3852
 18 -0.237         2.3468         1.3957
 19 -0.137         2.3963         1.4282
 20 -0.037         2.4247         1.2265
 21  0.063         2.4872         1.6144
 22  0.163         2.5442         1.6343
 23  0.263         2.6206         1.8285
 24  0.363         2.6991         1.9174
 25  0.463         2.7623         1.8939
 26  0.563         2.8180         1.8987
 27  0.663         2.8683         1.9065
 28  0.763         2.9217         1.9854
 29  0.863         2.9719         2.0103
 30  0.963         3.0111         1.9462
 31  1.063         3.0461         1.9358
 32  1.163         3.0785         1.9347
 33  1.263         3.1095         1.9472
 34  1.363         3.1404         1.9778
 35  1.463         3.1730         2.0320
 36  1.563         3.2095         2.1163
 37  1.663         3.2917         2.5284
 38  1.763         3.3707         2.5913
 39  1.863         3.4028         2.2554
 40  1.963         3.4396         2.3499
 41  2.063         3.4772         2.3957
 42  2.163         3.4961         2.1264
 43  2.263         3.5148         2.1393
 44  2.363         3.5331         2.1488
 45  2.463         3.5511         2.1603
 46  2.563         3.5690         2.1738
 47  2.663         3.5866         2.1850
 48  2.763         3.6035         2.1848
 49  2.863         3.6202         2.1991
 50  2.963         3.6377         2.2336
 51  3.063         3.6568         2.2904
 52  3.163         3.6776         2.3466
 53  3.263         3.7035         2.4668
 54  3.363         3.7211         2.3204
 55  3.463         3.7368         2.2878
 56  3.563         3.7524         2.2989
 57  3.663         3.7659         2.2501
 58  3.763         3.7782         2.2268
 59  3.863         3.7907         2.2425
 60  3.963         3.8032         2.2576
 61  4.063         3.8158         2.2716
 62  4.163         3.8284         2.2842
 63  4.263         3.8410         2.2957
 64  4.363         3.8535         2.3059
 65  4.463         3.8658         2.3147
 66  4.563         3.8781         2.3223
 67  4.663         3.8902         2.3284
 68  4.763         3.9020         2.3331
 69  4.863         3.9137         2.3367
 70  4.963         3.9252         2.3418
 71  5.063         3.9365         2.3478
 72  5.163         3.9478         2.3546
 73  5.263         3.9589         2.3623
 74  5.363         3.9700         2.3708
 75  5.463         3.9810         2.3803
 76  5.563         3.9920         2.3906
 77  5.663         4.0030         2.4018
 78  5.763         4.0141         2.4136
 79  5.863         4.0251         2.4230
 80  5.963         4.0360         2.4325
 81  6.063         4.0470         2.4429
 82  6.163         4.0579         2.4543
 83  6.263         4.0689         2.4667
 84  6.363         4.0788         2.4337
 85  6.463         4.0885         2.4302
 86  6.563         4.0984         2.4514
 87  6.663         4.1100         2.5313
 88  6.763         4.1191         2.4369
 89  6.863         4.1273         2.3956
 90  6.963         4.1362         2.4449
 91  7.063         4.1459         2.4907
