#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2451 7.8271E-05 7.8271E-05  -2.40   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=114 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.709         0.8447         0.8447
  2 -0.609         1.3073         1.1237
  3 -0.509         1.5392         1.1561
  4 -0.409         1.6941         1.1711
  5 -0.309         1.8127         1.1910
  6 -0.209         1.9085         1.2049
  7 -0.109         1.9887         1.2157
  8 -0.009         2.0579         1.2264
  9  0.091         2.1190         1.2370
 10  0.191         2.1751         1.2585
 11  0.291         2.2268         1.2769
 12  0.391         2.2753         1.2992
 13  0.491         2.3213         1.3231
 14  0.591         2.3655         1.3519
 15  0.691         2.4091         1.3888
 16  0.791         2.4501         1.4043
 17  0.891         2.4908         1.4434
 18  0.991         2.5340         1.5103
 19  1.091         2.5796         1.5779
 20  1.191         2.7137         2.1382
 21  1.291         2.7756         1.8983
 22  1.391         2.8681         2.1510
 23  1.491         2.9540         2.2083
 24  1.591         2.9972         1.9738
 25  1.691         3.0409         2.0210
 26  1.791         3.1137         2.3026
 27  1.891         3.1515         2.0722
 28  1.991         3.2931         2.7375
 29  2.091         3.4427         2.9072
 30  2.191         3.4647         2.1593
 31  2.291         3.4858         2.1614
 32  2.391         3.5074         2.1929
 33  2.491         3.5283         2.2005
 34  2.591         3.5482         2.1986
 35  2.691         3.5673         2.2016
 36  2.791         3.5860         2.2095
 37  2.891         3.6041         2.2150
 38  2.991         3.6220         2.2285
 39  3.091         3.6400         2.2501
 40  3.191         3.6581         2.2670
 41  3.291         3.6750         2.2575
 42  3.391         3.6878         2.1512
 43  3.491         3.7005         2.1606
 44  3.591         3.7131         2.1706
 45  3.691         3.7257         2.1812
 46  3.791         3.7383         2.1922
 47  3.891         3.7508         2.2038
 48  3.991         3.7633         2.2160
 49  4.091         3.7758         2.2289
 50  4.191         3.7883         2.2423
 51  4.291         3.8009         2.2564
 52  4.391         3.8135         2.2711
 53  4.491         3.8262         2.2865
 54  4.591         3.8390         2.3026
 55  4.691         3.8520         2.3194
 56  4.791         3.8650         2.3369
 57  4.891         3.8783         2.3552
 58  4.991         3.8917         2.3742
 59  5.091         3.9053         2.3943
 60  5.191         3.9190         2.4130
 61  5.291         3.9328         2.4283
 62  5.391         3.9466         2.4400
 63  5.491         3.9603         2.4521
 64  5.591         3.9740         2.4678
 65  5.691         3.9875         2.4713
 66  5.791         4.0002         2.4623
 67  5.891         4.0124         2.4532
 68  5.991         4.0242         2.4545
 69  6.091         4.0361         2.4666
 70  6.191         4.0481         2.4817
 71  6.291         4.0599         2.4908
 72  6.391         4.0719         2.5059
 73  6.491         4.1002         2.8997
 74  6.591         4.1256         2.8809
 75  6.691         4.1457         2.8018
 76  6.791         4.1623         2.7344
 77  6.891         4.1076         2.7344
 78  6.991         4.1198         2.5641
 79  7.091         4.1321         2.5752
 80  7.191         4.1428         2.5327
 81  7.291         4.1554         2.6095
 82  7.391         4.1720         2.7466
 83  7.491         4.1887         2.7657
 84  7.591         4.2238         3.1131
 85  7.691         4.2816         3.3774
 86  7.791         4.3365         3.4115
 87  7.891         4.3871         3.4284
 88  7.991         4.4320         3.4241
 89  8.091         4.4706         3.3996
 90  8.191         4.5042         3.3771
 91  8.291         4.5348         3.3667
 92  8.391         4.5616         3.3387
 93  8.491         4.5841         3.2873
 94  8.591         4.6075         3.3276
 95  8.691         4.6310         3.3519
 96  8.791         4.6535         3.3579
 97  8.891         4.6758         3.3753
 98  8.991         4.6980         3.3950
 99  9.091         4.7200         3.4146
100  9.191         4.7418         3.4306
101  9.291         4.7632         3.4450
102  9.391         4.7842         3.4577
103  9.491         4.8047         3.4689
104  9.591         4.8247         3.4785
105  9.691         4.8442         3.4865
106  9.791         4.8631         3.4927
107  9.891         4.8814         3.4974
108  9.991         4.8992         3.5027
109 10.091         4.9166         3.5102
110 10.191         4.9337         3.5199
111 10.291         4.9506         3.5319
112 10.391         4.9672         3.5425
113 10.491         4.9836         3.5525
114 10.591         5.0000         3.5683


#AGE= 0.100 BINS=114 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.597            NaN         3.5683
  2 -0.497            NaN         3.5683
  3 -0.397            NaN        -2.0049
  4 -0.297         0.7119         1.0406
  5 -0.197         1.3067         1.1794
  6 -0.097         1.5533         1.1899
  7  0.003         1.7132         1.2017
  8  0.103         1.8325         1.2133
  9  0.203         1.9303         1.2349
 10  0.303         2.0137         1.2561
 11  0.403         2.0871         1.2786
 12  0.503         2.1532         1.3033
 13  0.603         2.2139         1.3287
 14  0.703         2.2725         1.3741
 15  0.803         2.3279         1.4061
 16  0.903         2.3848         1.4737
 17  1.003         2.4574         1.6451
 18  1.103         2.5181         1.6330
 19  1.203         2.6325         1.9975
 20  1.303         2.7087         1.9149
 21  1.403         2.7802         1.9618
