#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2537 5.3740E-03 5.3740E-03  -0.50   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=149 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
 24 -0.184         2.7213         1.6512
 25 -0.084         2.7536         1.6089
 26  0.016         2.7787         1.5272
 27  0.116         2.8032         1.5429
 28  0.216         2.8299         1.6053
 29  0.316         2.8605         1.6937
 30  0.416         2.8906         1.7161
 31  0.516         2.9217         1.7607
 32  0.616         2.9575         1.8555
 33  0.716         2.9955         1.9190
 34  0.816         3.0327         1.9471
 35  0.916         3.0703         1.9885
 36  1.016         3.1105         2.0569
 37  1.116         3.1551         2.1449
 38  1.216         3.2048         2.2390
 39  1.316         3.2634         2.3647
 40  1.416         3.2972         2.1715
 41  1.516         3.3181         1.9899
 42  1.616         3.3388         2.0053
 43  1.716         3.3592         2.0209
 44  1.816         3.3794         2.0366
 45  1.916         3.4618         2.6994
 46  2.016         3.4805         2.1055
 47  2.116         3.4990         2.1188
 48  2.216         3.5171         2.1282
 49  2.316         3.5356         2.1561
 50  2.416         3.5540         2.1721
 51  2.516         3.5723         2.1876
 52  2.616         3.5904         2.2008
 53  2.716         3.6082         2.2117
 54  2.816         3.6256         2.2205
 55  2.916         3.6427         2.2308
 56  3.016         3.6598         2.2444
 57  3.116         3.6766         2.2573
 58  3.216         3.6931         2.2649
 59  3.316         3.7094         2.2735
 60  3.416         3.7253         2.2821
 61  3.516         3.7410         2.2913
 62  3.616         3.7565         2.3016
 63  3.716         3.7717         2.3072
 64  3.816         3.7864         2.3082
 65  3.916         3.8005         2.3077
 66  4.016         3.8140         2.2990
 67  4.116         3.8258         2.2550
 68  4.216         3.8359         2.1950
 69  4.316         3.8468         2.2425
 70  4.416         3.8577         2.2520
 71  4.516         3.8686         2.2615
 72  4.616         3.8794         2.2711
 73  4.716         3.8902         2.2807
 74  4.816         3.9010         2.2903
 75  4.916         3.9118         2.3000
 76  5.016         3.9225         2.3097
 77  5.116         3.9332         2.3195
 78  5.216         3.9439         2.3293
 79  5.316         3.9545         2.3392
 80  5.416         3.9652         2.3496
 81  5.516         3.9758         2.3606
 82  5.616         3.9865         2.3704
 83  5.716         3.9971         2.3790
 84  5.816         4.0076         2.3864
 85  5.916         4.0181         2.3954
 86  6.016         4.0285         2.4031
 87  6.116         4.0385         2.3960
 88  6.216         4.0480         2.3836
 89  6.316         4.0572         2.3798
 90  6.416         4.0664         2.3861
 91  6.516         4.0757         2.4016
 92  6.616         4.0850         2.4102
 93  6.716         4.0942         2.4176
 94  6.816         4.1035         2.4304
 95  6.916         4.1130         2.4489
