#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2575 8.1648E-03 8.1648E-03  -0.30   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=148 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -3.184         1.3377         1.3377
  2 -3.084         1.6424         1.3450
  3 -2.984         1.8207         1.3480
  4 -2.884         1.9463         1.3465
  5 -2.784         2.0424         1.3400
  6 -2.684         2.1190         1.3279
  7 -2.584         2.1796         1.2944
  8 -2.484         2.2193         1.1604
  9 -2.384         2.2465         1.0296
 10 -2.284         2.2683         0.9581
 11 -2.184         2.2899         0.9750
 12 -2.084         2.3151         1.0675
 13 -1.984         2.3470         1.1966
 14 -1.884         2.3871         1.3323
 15 -1.784         2.4357         1.4610
 16 -1.684         2.4943         1.5954
 17 -1.584         2.5545         1.6667
 18 -1.484         2.6034         1.6304
 19 -1.384         2.6413         1.5628
 20 -1.284         2.6712         1.4950
 21 -1.184         2.6950         1.4210
 22 -1.084         2.7137         1.3386
 23 -0.984         2.7284         1.2522
 24 -0.884         2.7399         1.1562
 25 -0.784         2.7487         1.0496
 26 -0.684         2.7556         0.9561
 27 -0.584         2.7618         0.9139
 28 -0.484         2.7685         0.9509
 29 -0.384         2.8051         1.7127
 30 -0.284         2.8383         1.7051
 31 -0.184         2.8705         1.7253
 32 -0.084         2.9025         1.7534
 33  0.016         2.9368         1.8173
 34  0.116         2.9701         1.8383
 35  0.216         3.0014         1.8429
 36  0.316         3.0372         1.9360
 37  0.416         3.0717         1.9542
 38  0.516         3.1078         2.0095
 39  0.616         3.1433         2.0386
 40  0.716         3.1762         2.0395
 41  0.816         3.2071         2.0442
 42  0.916         3.2446         2.1613
 43  1.016         3.2931         2.3176
 44  1.116         3.3270         2.2018
 45  1.216         3.3561         2.1678
 46  1.316         3.3769         2.0485
 47  1.416         3.3977         2.0662
 48  1.516         3.4193         2.1052
 49  1.616         3.4424         2.1565
 50  1.716         3.4648         2.1661
 51  1.816         3.4868         2.1802
 52  1.916         3.5087         2.2013
 53  2.016         3.5302         2.2136
 54  2.116         3.5512         2.2253
 55  2.216         3.5718         2.2372
 56  2.316         3.5920         2.2493
 57  2.416         3.6118         2.2614
 58  2.516         3.6313         2.2737
 59  2.616         3.6505         2.2861
 60  2.716         3.6694         2.2986
 61  2.816         3.6880         2.3112
 62  2.916         3.7064         2.3240
 63  3.016         3.7245         2.3368
 64  3.116         3.7425         2.3497
 65  3.216         3.7602         2.3628
 66  3.316         3.7771         2.3579
 67  3.416         3.7936         2.3651
 68  3.516         3.8102         2.3852
 69  3.616         3.8273         2.4125
 70  3.716         3.8470         2.4932
 71  3.816         3.8642         2.4546
 72  3.916         3.8810         2.4599
 73  4.016         3.8980         2.4812
 74  4.116         3.9150         2.5004
 75  4.216         3.9296         2.4503
 76  4.316         3.9432         2.4301
 77  4.416         3.9567         2.4440
 78  4.516         3.9684         2.3922
 79  4.616         3.9797         2.3899
 80  4.716         3.9911         2.4040
 81  4.816         4.0026         2.4190
 82  4.916         4.0142         2.4344
 83  5.016         4.0258         2.4486
 84  5.116         4.0375         2.4608
 85  5.216         4.0483         2.4382
 86  5.316         4.0581         2.4064
 87  5.416         4.0679         2.4178
 88  5.516         4.0778         2.4294
 89  5.616         4.0877         2.4412
 90  5.716         4.0976         2.4532
