#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2454 2.0920E-04 2.0920E-04  -1.90   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=122 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.407            NaN         0.0000
  2 -1.307            NaN         0.0000
  3 -1.207            NaN         0.0000
  4 -1.107            NaN         0.0000
  5 -1.007            NaN         0.0000
  6 -0.907            NaN         0.0000
  7 -0.807            NaN         0.0000
  8 -0.707            NaN         1.3090
  9 -0.607            NaN         1.3376
 10 -0.507            NaN         1.3629
 11 -0.407            NaN         1.3853
 12 -0.307            NaN         1.4048
 13 -0.207            NaN         1.4445
 14 -0.107            NaN         1.4993
 15 -0.007         1.5572         1.5573
 16  0.093         1.9066         1.6491
 17  0.193         2.1204         1.7101
 18  0.293         2.2620         1.7065
 19  0.393         2.3666         1.6971
 20  0.493         2.4550         1.7200
 21  0.593         2.5705         1.9389
 22  0.693         2.6607         1.9338
 23  0.793         2.7244         1.8590
 24  0.893         2.7851         1.9011
 25  0.993         2.8378         1.8957
 26  1.093         2.8933         1.9720
 27  1.193         2.9464         2.0077
 28  1.293         2.9939         2.0089
 29  1.393         3.0372         2.0142
 30  1.493         3.0772         2.0221
 31  1.593         3.1149         2.0343
 32  1.693         3.1509         2.0522
 33  1.793         3.1859         2.0743
 34  1.893         3.2207         2.1075
 35  1.993         3.4310         3.0151
 36  2.093         3.4676         2.3758
 37  2.193         3.4953         2.2861
 38  2.293         3.5158         2.1795
 39  2.393         3.5348         2.1658
 40  2.493         3.5530         2.1662
 41  2.593         3.5705         2.1664
 42  2.693         3.5880         2.1844
 43  2.793         3.6054         2.2010
 44  2.893         3.6228         2.2166
 45  2.993         3.6402         2.2350
 46  3.093         3.6578         2.2557
 47  3.193         3.6755         2.2756
 48  3.293         3.6931         2.2935
 49  3.393         3.7087         2.2559
 50  3.493         3.7220         2.2002
 51  3.593         3.7352         2.2131
 52  3.693         3.7485         2.2263
 53  3.793         3.7617         2.2396
 54  3.893         3.7750         2.2532
 55  3.993         3.7883         2.2669
 56  4.093         3.8016         2.2810
 57  4.193         3.8149         2.2952
 58  4.293         3.8282         2.3096
 59  4.393         3.8416         2.3243
 60  4.493         3.8551         2.3393
 61  4.593         3.8686         2.3545
 62  4.693         3.8822         2.3699
 63  4.793         3.8958         2.3856
 64  4.893         3.9095         2.4015
 65  4.993         3.9232         2.4168
 66  5.093         3.9370         2.4324
 67  5.193         3.9509         2.4487
 68  5.293         3.9649         2.4656
 69  5.393         3.9792         2.4893
 70  5.493         3.9938         2.5138
 71  5.593         4.0079         2.5126
 72  5.693         4.0208         2.4874
 73  5.793         4.0291         2.3029
 74  5.893         4.0365         2.2668
 75  5.993         4.0437         2.2601
 76  6.093         4.0511         2.2778
 77  6.193         4.0585         2.2871
 78  6.293         4.0661         2.3075
 79  6.393         4.0743         2.3444
 80  6.493         4.0834         2.3998
 81  6.593         4.0937         2.4647
 82  6.693         4.1051         2.5191
 83  6.793         4.1175         2.5662
 84  6.893         4.1309         2.6118
 85  6.993         4.1449         2.6478
 86  7.093         4.1585         2.6455
 87  7.193         4.1731         2.6938
 88  7.293         4.1877         2.7060
 89  7.393         4.1999         2.6422
 90  7.493         4.2150         2.7505
 91  7.593         4.2316         2.8059
 92  7.693         4.2479         2.8143
 93  7.793         4.2638         2.8192
 94  7.893         4.3872         3.7804
 95  7.993         4.4240         3.3334
 96  8.093         4.4560         3.3078
 97  8.193         4.4860         3.3102
 98  8.293         4.5145         3.3182
 99  8.393         4.5479         3.4163
100  8.493         4.5771         3.3902
101  8.593         4.6037         3.3778
102  8.693         4.6323         3.4362
103  8.793         4.6583         3.4229
104  8.893         4.6775         3.3141
105  8.993         4.6914         3.1898
106  9.093         4.7086         3.2978
107  9.193         4.7293         3.3968
108  9.293         4.7488         3.3919
109  9.393         4.7680         3.4046
110  9.493         4.7871         3.4190
111  9.593         4.8060         3.4351
112  9.693         4.8248         3.4528
113  9.793         4.8435         3.4672
114  9.893         4.8618         3.4790
115  9.993         4.8799         3.4909
116 10.093         4.8978         3.5026
117 10.193         4.9154         3.5144
118 10.293         4.9328         3.5261
119 10.393         4.9499         3.5366
120 10.493         4.9667         3.5458
121 10.593         4.9833         3.5589
122 10.693         5.0000         3.5762


#AGE= 0.100 BINS=120 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.095            NaN         3.5762
  2 -0.995            NaN         3.5762
  3 -0.895            NaN         3.5762
  4 -0.795            NaN         3.5762
  5 -0.695            NaN         3.5762
  6 -0.595            NaN         3.5762
  7 -0.495            NaN         3.5762
  8 -0.395            NaN         1.2577
  9 -0.295            NaN         1.3617
 10 -0.195            NaN         1.3885
 11 -0.095            NaN         1.4141
 12  0.005            NaN         1.4757
 13  0.105            NaN         1.5395
 14  0.205         0.3285         1.6392
 15  0.305         1.7308         1.7133
 16  0.405         2.0252         1.7174
 17  0.505         2.1462         1.5321
 18  0.605         2.3324         1.8749
 19  0.705         2.4799         1.9392
 20  0.805         2.5913         1.9460
 21  0.905         2.6833         1.9638
 22  1.005         2.7549         1.9367
 23  1.105         2.8142         1.9203
 24  1.205         2.8721         1.9683
 25  1.305         2.9310         2.0340
 26  1.405         2.9829         2.0346
 27  1.505         3.0294         2.0368
 28  1.605         3.0724         2.0462
 29  1.705         3.1142         2.0766
 30  1.805         3.1538         2.0947
 31  1.905         3.1909         2.1041
 32  2.005         3.2266         2.1229
 33  2.105         3.4110         2.9502
 34  2.205         3.4609         2.4959
 35  2.305         3.4846         2.2111
 36  2.405         3.5062         2.1907
 37  2.505         3.5258         2.1715
 38  2.605         3.5445         2.1691
 39  2.705         3.5623         2.1658
 40  2.805         3.5799         2.1787
 41  2.905         3.5976         2.1998
 42  3.005         3.6153         2.2170
 43  3.105         3.6331         2.2352
 44  3.205         3.6509         2.2561
 45  3.305         3.6689         2.2765
 46  3.405         3.6869         2.2948
 47  3.505         3.7023         2.2445
 48  3.605         3.7158         2.2034
 49  3.705         3.7294         2.2164
 50  3.805         3.7429         2.2296
 51  3.905         3.7564         2.2429
 52  4.005         3.7699         2.2565
 53  4.105         3.7835         2.2702
 54  4.205         3.7970         2.2842
 55  4.305         3.8106         2.2983
 56  4.405         3.8242         2.3126
 57  4.505         3.8378         2.3271
 58  4.605         3.8514         2.3419
 59  4.705         3.8651         2.3568
 60  4.805         3.8788         2.3720
 61  4.905         3.8926         2.3873
 62  5.005         3.9065         2.4029
 63  5.105         3.9203         2.4182
 64  5.205         3.9343         2.4337
 65  5.305         3.9483         2.4496
 66  5.405         3.9624         2.4660
 67  5.505         3.9767         2.4890
 68  5.605         3.9914         2.5118
 69  5.705         4.0054         2.5090
 70  5.805         4.0183         2.4837
 71  5.905         4.0303         2.4639
 72  6.005         4.0388         2.3311
 73  6.105         4.0463         2.2743
 74  6.205         4.0536         2.2791
 75  6.305         4.0608         2.2773
 76  6.405         4.0682         2.2936
 77  6.505         4.0760         2.3295
 78  6.605         4.0847         2.3804
 79  6.705         4.0945         2.4413
 80  6.805         4.1055         2.5040
 81  6.905         4.1176         2.5588
 82  7.005         4.1309         2.6100
 83  7.105         4.1441         2.6196
 84  7.205         4.1584         2.6696
 85  7.305         4.1738         2.7164
 86  7.405         4.1876         2.6798
 87  7.505         4.2007         2.6744
 88  7.605         4.2179         2.8075
 89  7.705         4.2349         2.8190
 90  7.805         4.2515         2.8269
 91  7.905         4.2677         2.8307
 92  8.005         4.2833         2.8301
 93  8.105         4.4291         3.8842
