#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2457 4.2491E-04 4.2491E-04  -1.60   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=127 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.797            NaN         0.0000
  2 -1.697            NaN         0.0000
  3 -1.597            NaN         0.0000
  4 -1.497            NaN         0.0000
  5 -1.397            NaN         0.0000
  6 -1.297            NaN         0.0000
  7 -1.197            NaN         0.0000
  8 -1.097            NaN         0.2670
  9 -0.997            NaN         1.4996
 10 -0.897            NaN         1.5632
 11 -0.797            NaN         1.5563
 12 -0.697            NaN         1.5612
 13 -0.597         1.3054         1.5431
 14 -0.497         1.7239         1.5152
 15 -0.397         1.9138         1.4631
 16 -0.297         2.0525         1.4893
 17 -0.197         2.1664         1.5295
 18 -0.097         2.2609         1.5518
 19  0.003         2.3423         1.5750
 20  0.103         2.4165         1.6126
 21  0.203         2.4822         1.6294
 22  0.303         2.5417         1.6491
 23  0.403         2.6077         1.7569
 24  0.503         2.6745         1.8288
 25  0.603         2.7446         1.9174
 26  0.703         2.8114         1.9658
 27  0.803         2.8751         2.0102
 28  0.903         2.9406         2.0861
 29  1.003         3.0044         2.1405
 30  1.103         3.0495         2.0427
 31  1.203         3.0908         2.0487
 32  1.303         3.1273         2.0339
 33  1.403         3.1607         2.0296
 34  1.503         3.1916         2.0286
 35  1.603         3.2208         2.0340
 36  1.703         3.2492         2.0515
 37  1.803         3.2780         2.0854
 38  1.903         3.3820         2.7103
 39  2.003         3.4867         2.8174
 40  2.103         3.5286         2.4923
 41  2.203         3.5526         2.2841
 42  2.303         3.5715         2.2008
 43  2.403         3.5885         2.1705
 44  2.503         3.6051         2.1803
 45  2.603         3.6213         2.1848
 46  2.703         3.6372         2.1930
 47  2.803         3.6531         2.2079
 48  2.903         3.6688         2.2202
 49  3.003         3.6846         2.2361
 50  3.103         3.7005         2.2572
 51  3.203         3.7166         2.2785
 52  3.303         3.7328         2.2947
 53  3.403         3.7445         2.1694
 54  3.503         3.7560         2.1747
 55  3.603         3.7676         2.1898
 56  3.703         3.7794         2.2055
 57  3.803         3.7913         2.2217
 58  3.903         3.8032         2.2384
 59  4.003         3.8154         2.2556
 60  4.103         3.8277         2.2734
 61  4.203         3.8401         2.2917
 62  4.303         3.8528         2.3105
 63  4.403         3.8656         2.3298
 64  4.503         3.8787         2.3497
 65  4.603         3.8919         2.3701
 66  4.703         3.9054         2.3909
 67  4.803         3.9191         2.4124
 68  4.903         3.9331         2.4330
 69  5.003         3.9472         2.4510
 70  5.103         3.9613         2.4662
 71  5.203         3.9754         2.4787
 72  5.303         3.9894         2.4907
 73  5.403         4.0036         2.5129
 74  5.503         4.0176         2.5191
 75  5.603         4.0308         2.5052
 76  5.703         4.0427         2.4773
 77  5.803         4.0539         2.4583
 78  5.903         4.0647         2.4528
 79  6.003         4.0753         2.4614
 80  6.103         4.0863         2.4821
 81  6.203         4.0973         2.4949
 82  6.303         4.1082         2.5045
 83  6.403         4.1192         2.5168
 84  6.503         4.1303         2.5317
 85  6.603         4.1391         2.4394
 86  6.703         4.1457         2.3235
 87  6.803         4.1523         2.3327
 88  6.903         4.1592         2.3564
 89  7.003         4.1650         2.2929
 90  7.103         4.1677         1.9532
 91  7.203         4.1739         2.3288
 92  7.303         4.1820         2.4467
 93  7.403         4.1796         2.4467
 94  7.503         4.1847         2.2512
 95  7.603         4.1969         2.6408
 96  7.703         4.2274         3.0578
 97  7.803         4.2972         3.4693
 98  7.903         4.3583         3.4761
 99  8.003         4.4077         3.4391
100  8.103         4.4471         3.3847
101  8.203         4.4802         3.3458
102  8.303         4.5090         3.3176
103  8.403         4.5350         3.2982
104  8.503         4.5588         3.2868
105  8.603         4.5815         3.2884
106  8.703         4.6040         3.3072
107  8.803         4.6270         3.3396
108  8.903         4.6504         3.3697
109  9.003         4.6724         3.3654
110  9.103         4.6925         3.3487
111  9.203         4.7111         3.3324
112  9.303         4.7286         3.3259
113  9.403         4.7476         3.3797
114  9.503         4.7666         3.3973
115  9.603         4.7856         3.4168
116  9.703         4.8046         3.4365
117  9.803         4.8235         3.4527
118  9.903         4.8422         3.4678
119 10.003         4.8608         3.4819
120 10.103         4.8791         3.4951
121 10.203         4.8972         3.5073
122 10.303         4.9149         3.5184
123 10.403         4.9324         3.5283
124 10.503         4.9495         3.5365
125 10.603         4.9664         3.5473
126 10.703         4.9832         3.5617
127 10.803         5.0000         3.5798


#AGE= 0.100 BINS=125 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.488            NaN         3.5798
  2 -1.388            NaN         3.5798
  3 -1.288            NaN         3.5798
  4 -1.188            NaN         3.5798
  5 -1.088            NaN         3.5798
  6 -0.988            NaN         3.5798
  7 -0.888            NaN         3.5798
  8 -0.788            NaN         3.5798
  9 -0.688            NaN         0.9737
 10 -0.588            NaN         0.8042
 11 -0.488            NaN         1.5327
 12 -0.388            NaN         1.5305
 13 -0.288            NaN         1.5084
 14 -0.188            NaN         1.4747
 15 -0.088         1.2173         1.5461
 16  0.012         1.7365         1.5800
 17  0.112         1.9730         1.5961
 18  0.212         2.1368         1.6340
 19  0.312         2.2601         1.6531
 20  0.412         2.3611         1.6781
 21  0.512         2.4559         1.7486
 22  0.612         2.5571         1.8749
 23  0.712         2.6508         1.9386
 24  0.812         2.7326         1.9674
 25  0.912         2.8094         2.0187
 26  1.012         2.8845         2.0858
 27  1.112         2.9606         2.1663
 28  1.212         3.0123         2.0628
 29  1.312         3.0590         2.0677
 30  1.412         3.1005         2.0604
 31  1.512         3.1377         2.0509
 32  1.612         3.1717         2.0488
 33  1.712         3.2039         2.0588
 34  1.812         3.2351         2.0756
 35  1.912         3.2668         2.1135
 36  2.012         3.3678         2.6848
 37  2.112         3.4737         2.8090
 38  2.212         3.5126         2.4458
 39  2.312         3.5375         2.2832
 40  2.412         3.5579         2.2206
 41  2.512         3.5761         2.1882
 42  2.612         3.5935         2.1864
 43  2.712         3.6105         2.1949
 44  2.812         3.6270         2.2001
 45  2.912         3.6435         2.2141
 46  3.012         3.6598         2.2265
 47  3.112         3.6761         2.2413
 48  3.212         3.6925         2.2615
 49  3.312         3.7091         2.2825
 50  3.412         3.7256         2.2982
 51  3.512         3.7373         2.1624
 52  3.612         3.7491         2.1765
 53  3.712         3.7609         2.1911
 54  3.812         3.7729         2.2063
 55  3.912         3.7849         2.2221
 56  4.012         3.7971         2.2384
 57  4.112         3.8094         2.2553
 58  4.212         3.8218         2.2727
 59  4.312         3.8344         2.2907
 60  4.412         3.8472         2.3092
 61  4.512         3.8602         2.3283
 62  4.612         3.8733         2.3479
 63  4.712         3.8867         2.3681
 64  4.812         3.9003         2.3888
 65  4.912         3.9141         2.4100
 66  5.012         3.9281         2.4312
 67  5.112         3.9423         2.4497
 68  5.212         3.9566         2.4653
 69  5.312         3.9708         2.4778
 70  5.412         3.9848         2.4887
 71  5.512         3.9992         2.5098
 72  5.612         4.0132         2.5166
 73  5.712         4.0264         2.5031
 74  5.812         4.0385         2.4760
 75  5.912         4.0498         2.4581
 76  6.012         4.0607         2.4545
 77  6.112         4.0715         2.4653
 78  6.212         4.0827         2.4861
 79  6.312         4.0938         2.4965
 80  6.412         4.1049         2.5070
 81  6.512         4.1161         2.5203
 82  6.612         4.1273         2.5365
 83  6.712         4.1388         2.5535
 84  6.812         4.1471         2.4252
 85  6.912         4.1537         2.3346
 86  7.012         4.1604         2.3456
 87  7.112         4.1640         2.0805
 88  7.212         4.1680         2.1312
 89  7.312         4.1747         2.3570
 90  7.412         4.1828         2.4519
 91  7.512         4.1760         2.4519
 92  7.612         4.1877         2.6136
 93  7.712         4.2006         2.6663
 94  7.812         4.2164         2.7696
 95  7.912         4.2453         3.0535
 96  8.012         4.3225         3.5343
 97  8.112         4.3847         3.5097
 98  8.212         4.4296         3.4224
 99  8.312         4.4652         3.3606
100  8.412         4.4955         3.3245
101  8.512         4.5227         3.3063
102  8.612         4.5481         3.3022
103  8.712         4.5725         3.3096
104  8.812         4.5968         3.3322
105  8.912         4.6217         3.3679
106  9.012         4.6458         3.3789
107  9.112         4.6676         3.3559
108  9.212         4.6870         3.3281
109  9.312         4.7053         3.3222
110  9.412         4.7251         3.3723
111  9.512         4.7446         3.3870
112  9.612         4.7639         3.4034
113  9.712         4.7832         3.4215
114  9.812         4.8025         3.4410
115  9.912         4.8218         3.4580
116 10.012         4.8408         3.4732
117 10.112         4.8596         3.4873
118 10.212         4.8782         3.5002
119 10.312         4.8965         3.5121
120 10.412         4.9145         3.5227
121 10.512         4.9321         3.5319
122 10.612         4.9494         3.5391
123 10.712         4.9663         3.5490
124 10.812         4.9831         3.5630
125 10.912         5.0000         3.5812


#AGE= 1.000 BINS=131 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.990         0.1366         0.1366
  2 -0.890         0.4462         0.1535
  3 -0.790         0.6315         0.1722
  4 -0.690         0.7634         0.1818
  5 -0.590         0.8656         0.1868
  6 -0.490         0.9490         0.1916
  7 -0.390         1.0199         0.1974
  8 -0.290         1.0810         0.1991
  9 -0.190         1.1344         0.1980
 10 -0.090         1.1823         0.2010
 11  0.010         1.2246         0.1919
 12  0.110         1.2627         0.1875
 13  0.210         1.2974         0.1830
 14  0.310         1.3291         0.1760
 15  0.410         1.4641         0.8911
 16  0.510         1.5342         0.7072
 17  0.610         1.5939         0.7028
 18  0.710         1.6196         0.3786
 19  0.810         1.6479         0.4485
 20  0.910         1.6801         0.5331
 21  1.010         1.7143         0.5938
 22  1.110         1.7396         0.4917
 23  1.210         1.7489         0.0750
 24  1.310         1.7498        -0.9218
 25  1.410         2.0109         1.6658
 26  1.510         2.1410         1.5542
 27  1.610         2.2494         1.5934
 28  1.710         2.3443         1.6373
 29  1.810         2.4287         1.6760
 30  1.910         2.5054         1.7143
 31  2.010         2.5950         1.8656
 32  2.110         2.6855         1.9599
 33  2.210         2.7590         1.9513
 34  2.310         2.8252         1.9754
 35  2.410         2.8889         2.0237
 36  2.510         2.9546         2.1024
 37  2.610         3.0120         2.1047
 38  2.710         3.0661         2.1350
 39  2.810         3.1180         2.1690
 40  2.910         3.1623         2.1491
 41  3.010         3.2047         2.1729
 42  3.110         3.2444         2.1866
 43  3.210         3.2809         2.1870
 44  3.310         3.3121         2.1534
 45  3.410         3.3404         2.1392
 46  3.510         3.3674         2.1481
 47  3.610         3.3929         2.1497
 48  3.710         3.4171         2.1496
 49  3.810         3.4410         2.1711
 50  3.910         3.4642         2.1801
 51  4.010         3.4865         2.1854
 52  4.110         3.5081         2.1932
 53  4.210         3.5291         2.2035
 54  4.310         3.5497         2.2167
 55  4.410         3.5702         2.2334
 56  4.510         3.5905         2.2492
 57  4.610         3.6103         2.2604
 58  4.710         3.6294         2.2631
 59  4.810         3.6474         2.2557
 60  4.910         3.6648         2.2602
 61  5.010         3.6824         2.2799
 62  5.110         3.7002         2.3034
 63  5.210         3.7181         2.3245
 64  5.310         3.7360         2.3436
 65  5.410         3.7540         2.3609
 66  5.510         3.7718         2.3764
 67  5.610         3.7895         2.3900
 68  5.710         3.8069         2.4018
 69  5.810         3.8240         2.4118
 70  5.910         3.8408         2.4197
 71  6.010         3.8572         2.4257
 72  6.110         3.8731         2.4294
 73  6.210         3.8885         2.4308
 74  6.310         3.9034         2.4305
 75  6.410         3.9180         2.4358
 76  6.510         3.9322         2.4413
 77  6.610         3.9462         2.4456
 78  6.710         3.9598         2.4504
 79  6.810         3.9731         2.4521
 80  6.910         3.9859         2.4506
 81  7.010         3.9986         2.4568
 82  7.110         4.0112         2.4689
 83  7.210         4.0238         2.4797
 84  7.310         4.0364         2.4927
 85  7.410         4.0489         2.4993
 86  7.510         4.0612         2.5075
 87  7.610         4.0735         2.5218
 88  7.710         4.0862         2.5439
 89  7.810         4.0991         2.5651
 90  7.910         4.1121         2.5843
 91  8.010         4.1253         2.6018
 92  8.110         4.1389         2.6257
 93  8.210         4.1528         2.6530
 94  8.310         4.1677         2.6936
 95  8.410         4.1834         2.7335
 96  8.510         4.1996         2.7651
 97  8.610         4.2182         2.8399
 98  8.710         4.2375         2.8747
 99  8.810         4.2556         2.8666
100  8.910         4.2757         2.9327
101  9.010         4.2981         2.9992
102  9.110         4.3220         3.0510
103  9.210         4.3467         3.0878
104  9.310         4.3712         3.1115
105  9.410         4.3935         3.0920
106  9.510         4.4194         3.1817
107  9.610         4.4464         3.2268
108  9.710         4.4740         3.2635
109  9.810         4.5025         3.3058
110  9.910         4.5314         3.3399
111 10.010         4.5599         3.3633
112 10.110         4.5876         3.3775
113 10.210         4.6148         3.3994
114 10.310         4.6418         3.4211
