#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2464 8.2772E-04 8.2772E-04  -1.30   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=132 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.865            NaN         0.0000
  2 -1.765            NaN         0.0000
  3 -1.665        -0.1141         0.6456
  4 -1.565         0.9020         0.8580
  5 -1.465         1.4362         1.2860
  6 -1.365         1.6457         1.2287
  7 -1.265         1.7103         0.8507
  8 -1.165         1.8423         1.2607
  9 -1.065         1.9504         1.2935
 10 -0.965         2.0427         1.3246
 11 -0.865         2.1235         1.3536
 12 -0.765         2.1959         1.3824
 13 -0.665         2.1082         1.3824
 14 -0.565         2.1710         1.3001
 15 -0.465         2.2764         1.6095
 16 -0.365         2.3742         1.6787
 17 -0.265         2.4607         1.7177
 18 -0.165         2.5176         1.6065
 19 -0.065         2.5729         1.6508
 20  0.035         2.6192         1.6236
 21  0.135         2.6652         1.6677
 22  0.235         2.7117         1.7185
 23  0.335         2.7573         1.7554
 24  0.435         2.8132         1.8955
 25  0.535         2.8698         1.9570
 26  0.635         2.9208         1.9651
 27  0.735         2.9667         1.9678
 28  0.835         3.0085         1.9709
 29  0.935         3.0460         1.9638
 30  1.035         3.0808         1.9672
 31  1.135         3.1131         1.9684
 32  1.235         3.1436         1.9753
 33  1.335         3.1724         1.9791
 34  1.435         3.2062         2.0807
 35  1.535         3.2296         1.9507
 36  1.635         3.2514         1.9410
 37  1.735         3.2762         2.0197
 38  1.835         3.4035         2.8085
 39  1.935         3.4375         2.3148
 40  2.035         3.4790         2.4384
 41  2.135         3.5014         2.2018
 42  2.235         3.5188         2.1130
 43  2.335         3.5356         2.1156
 44  2.435         3.5522         2.1259
 45  2.535         3.5683         2.1293
 46  2.635         3.5842         2.1398
 47  2.735         3.6004         2.1648
 48  2.835         3.6173         2.1989
 49  2.935         3.6347         2.2290
 50  3.035         3.6531         2.2697
 51  3.135         3.6715         2.2910
 52  3.235         3.6894         2.2954
 53  3.335         3.7061         2.2815
 54  3.435         3.7217         2.2702
 55  3.535         3.7370         2.2771
 56  3.635         3.7519         2.2793
 57  3.735         3.7639         2.1987
 58  3.835         3.7759         2.2128
 59  3.935         3.7880         2.2272
 60  4.035         3.8002         2.2419
 61  4.135         3.8125         2.2568
 62  4.235         3.8248         2.2720
 63  4.335         3.8372         2.2874
 64  4.435         3.8497         2.3033
 65  4.535         3.8624         2.3198
 66  4.635         3.8751         2.3346
 67  4.735         3.8878         2.3474
 68  4.835         3.9004         2.3583
 69  4.935         3.9130         2.3671
 70  5.035         3.9253         2.3738
 71  5.135         3.9376         2.3811
 72  5.235         3.9497         2.3917
 73  5.335         3.9618         2.4009
 74  5.435         3.9738         2.4084
 75  5.535         3.9856         2.4142
 76  5.635         3.9972         2.4184
 77  5.735         4.0086         2.4205
 78  5.835         4.0197         2.4214
 79  5.935         4.0306         2.4255
 80  6.035         4.0414         2.4330
 81  6.135         4.0523         2.4442
 82  6.235         4.0633         2.4609
 83  6.335         4.0751         2.5047
 84  6.435         4.0869         2.5135
 85  6.535         4.0985         2.5195
 86  6.635         4.1098         2.5220
 87  6.735         4.1208         2.5160
 88  6.835         4.1316         2.5215
 89  6.935         4.1364         2.1855
 90  7.035         4.1437         2.3636
 91  7.135         4.1518         2.4198
 92  7.235         4.1594         2.3964
 93  7.335         4.1672         2.4190
 94  7.435         4.1755         2.4506
 95  7.535         4.1843         2.4892
 96  7.635         4.1941         2.5414
 97  7.735         4.2142         2.8704
 98  7.835         4.2621         3.2802
 99  7.935         4.3091         3.3200
100  8.035         4.3529         3.3354
101  8.135         4.3931         3.3394
102  8.235         4.4322         3.3678
103  8.335         4.4660         3.3400
104  8.435         4.4948         3.3020
105  8.535         4.5198         3.2681
106  8.635         4.5420         3.2378
107  8.735         4.5619         3.2143
108  8.835         4.5805         3.2024
109  8.935         4.5986         3.2090
110  9.035         4.6173         3.2419
111  9.135         4.6379         3.3054
112  9.235         4.6606         3.3658
113  9.335         4.6778         3.2670
114  9.435         4.6958         3.3044
115  9.535         4.7134         3.3122
116  9.635         4.7304         3.3157
117  9.735         4.7470         3.3215
118  9.835         4.7633         3.3298
119  9.935         4.7794         3.3407
120 10.035         4.7955         3.3544
121 10.135         4.8115         3.3709
122 10.235         4.8277         3.3902
123 10.335         4.8440         3.4122
124 10.435         4.8607         3.4368
125 10.535         4.8775         3.4554
126 10.635         4.8941         3.4697
127 10.735         4.9108         3.4881
128 10.835         4.9278         3.5111
129 10.935         4.9452         3.5387
130 11.035         4.9631         3.5707
131 11.135         4.9816         3.5997
132 11.235         5.0000         3.6189

