## Mr-color sequences for He (DB and DC) white dwarfs. 
## Based on Bergeron et al. (1995) models, adjusted to fit SDSS data. 
## For details, see Palaversa et al. (2024). 
    Mr     ug       gr       ri       iz 
  10.88  -0.203   -0.403   -0.311   -0.300  
  10.90  -0.200   -0.401   -0.310   -0.300  
  10.92  -0.200   -0.398   -0.310   -0.300  
  10.94  -0.200   -0.393   -0.310   -0.300  
  10.96  -0.197   -0.388   -0.308   -0.298  
  10.98  -0.193   -0.383   -0.307   -0.297  
  11.00  -0.190   -0.378   -0.305   -0.295  
  11.02  -0.187   -0.374   -0.303   -0.293  
  11.04  -0.183   -0.370   -0.302   -0.292  
  11.06  -0.180   -0.367   -0.300   -0.290  
  11.08  -0.178   -0.363   -0.298   -0.289  
  11.10  -0.176   -0.360   -0.296   -0.288  
  11.12  -0.174   -0.357   -0.294   -0.287  
  11.14  -0.172   -0.353   -0.292   -0.286  
  11.16  -0.169   -0.350   -0.289   -0.285  
  11.18  -0.167   -0.348   -0.287   -0.284  
  11.20  -0.165   -0.346   -0.285   -0.283  
  11.22  -0.163   -0.344   -0.283   -0.282  
  11.24  -0.161   -0.342   -0.281   -0.281  
  11.26  -0.159   -0.339   -0.280   -0.280  
  11.28  -0.157   -0.337   -0.280   -0.280  
  11.30  -0.155   -0.335   -0.280   -0.280  
  11.32  -0.154   -0.333   -0.280   -0.280  
  11.34  -0.152   -0.331   -0.280   -0.280  
  11.36  -0.150   -0.328   -0.280   -0.280  
  11.38  -0.148   -0.325   -0.278   -0.279  
  11.40  -0.146   -0.321   -0.276   -0.277  
  11.42  -0.143   -0.317   -0.273   -0.276  
  11.44  -0.141   -0.314   -0.271   -0.274  
  11.46  -0.139   -0.310   -0.269   -0.273  
  11.48  -0.137   -0.308   -0.267   -0.271  
  11.50  -0.134   -0.306   -0.264   -0.270  
  11.52  -0.132   -0.303   -0.262   -0.268  
  11.54  -0.130   -0.301   -0.260   -0.267  
  11.56  -0.128   -0.299   -0.258   -0.265  
  11.58  -0.126   -0.297   -0.256   -0.264  
  11.60  -0.123   -0.294   -0.253   -0.262  
  11.62  -0.121   -0.292   -0.251   -0.261  
  11.64  -0.119   -0.290   -0.249   -0.259  
  11.66  -0.116   -0.288   -0.248   -0.258  
  11.68  -0.113   -0.286   -0.247   -0.257  
  11.70  -0.111   -0.283   -0.245   -0.255  
  11.72  -0.108   -0.281   -0.244   -0.254  
  11.74  -0.105   -0.278   -0.243   -0.253  
