DAh_rfratio,DAh_Mr,DAh_ug,DAh_gr,DAh_ri,DAh_iz,DAh_deltaMr,DAd_rfratio,DAd_Mr,DAd_ug,DAd_gr,DAd_ri,DAd_iz,DAd_deltaMr,DBCh_rfratio,DBCh_Mr,DBCh_ug,DBCh_gr,DBCh_ri,DBCh_iz,DBCh_deltaMr,DBCd_rfratio,DBCd_Mr,DBCd_ug,DBCd_gr,DBCd_ri,DBCd_iz,DBCd_deltaMr
1.0,7.747425010840047,-0.37821045365475925,-0.04201314603484363,0.13958749632351086,0.09002514841344933,0.0,1.0,7.747425010840047,-0.39875184420662535,-0.018583783539579457,0.3279915884080751,0.22851404083208493,0.0,1.0,7.747425010840047,-0.5678400216075836,-0.09095795567859,0.0888243702141196,0.07749084629007541,0.0,1.0,7.747425010840047,-0.5879082659595518,-0.06857205412350709,0.2854759171509613,0.22454669345917821,0.0
1.0964781961431875,7.796274124999279,-0.3949189971062843,-0.07271179788861559,0.1314977751254638,0.0889757226388177,-0.09999999999999787,1.0964781961431875,7.796274124999279,-0.4115173182971894,-0.05377996214522085,0.32195721099664354,0.23219624330894106,-0.09999999999999787,1.0964781961431875,7.796274124999279,-0.5840266856256093,-0.12246308394621153,0.07793294305736609,0.07566143454061347,-0.09999999999999787,1.0964781961431875,7.796274124999279,-0.6002311945908616,-0.10438627811632273,0.27719108499674405,0.22818362372163392,-0.09999999999999787
1.2022644346174132,7.842826336934628,-0.4099661878620502,-0.10297083485260927,0.12281757644144164,0.08749923605848764,-0.19999999999999574,1.2022644346174132,7.842826336934628,-0.42319792921831123,-0.08784704012968092,0.3147718091558751,0.2354214464510882,-0.19999999999999574,1.2022644346174132,7.842826336934628,-0.5985850423507912,-0.1534571239782423,0.06638346077644997,0.07334918339210006,-0.19999999999999574,1.2022644346174132,7.842826336934628,-0.6114992921872577,-0.13902506734021713,0.26768431726719655,0.23135163363875932,-0.19999999999999574
1.3182567385564103,7.8870961729112175,-0.4234860374773035,-0.13264405632146037,0.11344290061526507,0.08572476768869564,-0.2999999999999936,1.3182567385564103,7.8870961729112175,-0.4338698331137678,-0.12071537121889264,0.3066134111635641,0.238285379059743,-0.2999999999999936,1.3182567385564103,7.8870961729112175,-0.6116503402711828,-0.18379781618246582,0.054070871900112394,0.07068675364279642,-0.2999999999999936,1.3182567385564103,7.8870961729112175,-0.6217880528076947,-0.17242099598070482,0.2571424890627121,0.23414957047442897,-0.2999999999999936
1.445439770745928,7.929107572604398,-0.4356449296776468,-0.16156967525052224,0.1036033962986842,0.08360673314950162,-0.3999999999999915,1.445439770745928,7.929107572604398,-0.4436559043621848,-0.1522781715336663,0.2972430606764789,0.24056006696484644,-0.3999999999999915,1.445439770745928,7.929107572604398,-0.6233869460565202,-0.21332913979778922,0.04124219104009086,0.06762563023719181,-0.3999999999999915,1.445439770745928,7.929107572604398,-0.6312172025755665,-0.2044719597018947,0.24531644455218427,0.2363344597807604,-0.3999999999999915
1.5848931924611174,7.96889349301415,-0.44658490636191317,-0.1896149661270634,0.093329796611755,0.08129619399143095,-0.49999999999998934,1.5848931924611174,7.96889349301415,-0.45262417443696634,-0.18249345206904977,0.28678941997000607,0.24232937712633174,-0.49999999999998934,1.5848931924611174,7.96889349301415,-0.6339360646762451,-0.24192382785733813,0.027935638780540728,0.06432608097419745,-0.49999999999998934,1.5848931924611174,7.96889349301415,-0.6398537627327698,-0.23513833090844471,0.23234089611642617,0.237991448208291,-0.49999999999998934
1.7378008287493765,8.006495373450072,-0.45639776687997724,-0.21670032999731248,0.08271649271082637,0.07865795893857808,-0.5999999999999872,1.7378008287493765,8.006495373450072,-0.46084644197789615,-0.2113242307160732,0.2751844235726253,0.2433114524593094,-0.5999999999999872,1.7378008287493765,8.006495373450072,-0.6433913897533934,-0.2695061371533818,0.014257306354696908,0.06064190737016162,-0.5999999999999872,1.7378008287493765,8.006495373450072,-0.6477681011867276,-0.26438585568802964,0.21814399145761243,0.23881840009418553,-0.5999999999999872
1.9054607179632446,8.041962479694945,-0.4652080320468528,-0.24272877350934152,0.07179693619281124,0.07584385068397026,-0.6999999999999833,1.9054607179632446,8.041962479694945,-0.4683902946177234,-0.2387488324117868,0.26244273897007275,0.24364525802855042,-0.6999999999999833,1.9054607179632446,8.041962479694945,-0.6518762820058441,-0.2959845144302875,0.00024893198120423676,0.05673578804516666,-0.6999999999999833,1.9054607179632446,8.041962479694945,-0.6550259036304453,-0.2921954132442366,0.2027400341769976,0.23895660952911868,-0.6999999999999833
2.089296130854041,8.075351148774018,-0.4731084721482972,-0.2676512429240674,0.06071905665162092,0.07295663190355484,-0.7999999999999847,2.089296130854041,8.075351148774018,-0.4753129849108717,-0.26475944347652813,0.2487163950124014,0.24333649825899073,-0.7999999999999847,2.089296130854041,8.075351148774018,-0.6594821584240158,-0.3213137417404752,-0.013925208626375252,0.05272170489840988,-0.7999999999999847,2.089296130854041,8.075351148774018,-0.661683398725053,-0.3185615717367938,0.18628831503821885,0.2384073449867259,-0.7999999999999847
2.2908676527677705,8.106723957913722,-0.48020215892750073,-0.29142031180709793,0.04940294708013937,0.06989981548560209,-0.8999999999999808,2.2908676527677705,8.106723957913722,-0.4816631319286948,-0.289367111076551,0.23397204034873553,0.24218961040046594,-0.8999999999999808,2.2908676527677705,8.106723957913722,-0.666309129445029,-0.3454507138542162,-0.028344361813172014,0.048492822053528783,-0.8999999999999808,2.2908676527677705,8.106723957913722,-0.6677878757451268,-0.343497277334734,0.16875220089111664,0.23695595131414393,-0.8999999999999808
