## Mr-color sequences for H (DA) white dwarf plus M dwarf with [Fe/H] = 0.0 
## Mr is the total, dMr is the difference between WD and MD. 
## For details, see Palaversa et al. (2024). 
    Mr     ug       gr       ri       iz       dMr
   8.58  -0.546   -0.589   -0.261   -0.068   -4.10  
   8.58  -0.546   -0.591   -0.270   -0.082   -4.20  
   8.58  -0.546   -0.592   -0.279   -0.095   -4.30  
   8.58  -0.547   -0.594   -0.287   -0.108   -4.40  
   8.58  -0.547   -0.595   -0.295   -0.121   -4.50  
   8.58  -0.547   -0.597   -0.302   -0.133   -4.60  
   8.59  -0.547   -0.598   -0.309   -0.145   -4.70  
   8.59  -0.547   -0.599   -0.315   -0.156   -4.80  
   8.59  -0.547   -0.600   -0.321   -0.167   -4.90  
   8.59  -0.548   -0.601   -0.326   -0.177   -5.00  
   8.59  -0.548   -0.602   -0.331   -0.187   -5.10  
   8.59  -0.548   -0.602   -0.336   -0.197   -5.20  
   8.59  -0.548   -0.603   -0.341   -0.206   -5.30  
   8.59  -0.548   -0.604   -0.345   -0.215   -5.40  
   8.59  -0.548   -0.604   -0.349   -0.226   -5.50  
   8.59  -0.548   -0.605   -0.353   -0.235   -5.60  
   8.59  -0.548   -0.605   -0.357   -0.245   -5.70  
   8.59  -0.548   -0.606   -0.360   -0.254   -5.80  
   8.60  -0.548   -0.606   -0.363   -0.262   -5.90  
   7.84  -0.360    0.057    0.376    0.249    0.20  
   7.90  -0.375    0.020    0.372    0.254    0.10  
   7.95  -0.389   -0.017    0.366    0.258    0.00  
   8.00  -0.401   -0.052    0.360    0.262   -0.10  
   8.04  -0.413   -0.087    0.353    0.266   -0.20  
   8.09  -0.423   -0.120    0.344    0.269   -0.30  
   8.13  -0.433   -0.151    0.334    0.271   -0.40  
   8.17  -0.442   -0.182    0.322    0.273   -0.50  
   8.21  -0.450   -0.210    0.310    0.274   -0.60  
   8.24  -0.457   -0.238    0.296    0.274   -0.70  
   8.28  -0.464   -0.264    0.281    0.274   -0.80  
   8.31  -0.471   -0.288    0.265    0.273   -0.90  
   8.34  -0.477   -0.312    0.249    0.271   -1.00  
   8.36  -0.482   -0.333    0.231    0.268   -1.10  
   8.39  -0.487   -0.354    0.213    0.264   -1.20  
   8.41  -0.491   -0.373    0.195    0.260   -1.30  
   8.44  -0.495   -0.391    0.176    0.255   -1.40  
   8.46  -0.499   -0.408    0.156    0.249   -1.50  
   8.48  -0.503   -0.424    0.137    0.243   -1.60  
   8.49  -0.506   -0.438    0.117    0.236   -1.70  
   8.51  -0.509   -0.452    0.097    0.228   -1.80  
   8.53  -0.511   -0.464    0.078    0.220   -1.90  
   8.54  -0.514   -0.476    0.058    0.211   -2.00  
   8.55  -0.516   -0.487    0.039    0.202   -2.10  
   8.57  -0.518   -0.497    0.020    0.192   -2.20  
   8.58  -0.520   -0.506    0.001    0.182   -2.30  
   8.59  -0.522   -0.515   -0.017    0.171   -2.40  
   8.60  -0.523   -0.522   -0.035    0.160   -2.50  
   8.61  -0.525   -0.530   -0.053    0.148   -2.60  
   8.61  -0.526   -0.536   -0.070    0.136   -2.70  
   8.62  -0.527   -0.542   -0.086    0.124   -2.80  
   8.63  -0.528   -0.548   -0.102    0.112   -2.90  
   8.63  -0.529   -0.553   -0.118    0.099   -3.00  
   8.64  -0.530   -0.558   -0.132    0.086   -3.10  
   8.64  -0.531   -0.562   -0.147    0.074   -3.20  
   8.65  -0.532   -0.566   -0.161    0.061   -3.30  
   8.65  -0.533   -0.570   -0.175    0.045   -3.40  
   8.66  -0.533   -0.573   -0.189    0.029   -3.50  
   8.66  -0.534   -0.576   -0.203    0.014   -3.60  
   8.66  -0.534   -0.579   -0.215   -0.002   -3.70  
   8.67  -0.535   -0.581   -0.227   -0.017   -3.80  
   8.67  -0.535   -0.584   -0.238   -0.032   -3.90  
   8.67  -0.535   -0.586   -0.249   -0.047   -4.00  
   8.68  -0.536   -0.588   -0.259   -0.061   -4.10  
   8.68  -0.536   -0.590   -0.268   -0.075   -4.20  
   8.68  -0.536   -0.591   -0.277   -0.089   -4.30  
   8.68  -0.537   -0.593   -0.285   -0.102   -4.40  
   8.68  -0.537   -0.594   -0.293   -0.115   -4.50  
   8.68  -0.537   -0.596   -0.300   -0.127   -4.60  
   8.69  -0.537   -0.597   -0.307   -0.139   -4.70  
   8.69  -0.537   -0.598   -0.313   -0.151   -4.80  
   8.69  -0.538   -0.599   -0.319   -0.162   -4.90  
   8.69  -0.538   -0.600   -0.325   -0.172   -5.00  
   8.69  -0.538   -0.600   -0.330   -0.183   -5.10  
   8.69  -0.538   -0.601   -0.335   -0.193   -5.20  
   8.69  -0.538   -0.602   -0.340   -0.202   -5.30  
   8.69  -0.538   -0.603   -0.344   -0.213   -5.40  
   8.69  -0.538   -0.603   -0.349   -0.224   -5.50  
   8.69  -0.538   -0.604   -0.353   -0.234   -5.60  
   8.69  -0.538   -0.604   -0.356   -0.243   -5.70  
   8.69  -0.538   -0.605   -0.360   -0.252   -5.80  
   7.89  -0.334    0.103    0.398    0.259    0.30  
   7.94  -0.350    0.065    0.396    0.265    0.20  
   8.00  -0.365    0.028    0.391    0.270    0.10  
   8.05  -0.379   -0.009    0.386    0.275    0.00  
   8.10  -0.391   -0.044    0.380    0.279   -0.10  
   8.14  -0.403   -0.079    0.372    0.283   -0.20  
   8.19  -0.413   -0.112    0.363    0.286   -0.30  
   8.23  -0.423   -0.143    0.352    0.288   -0.40  
   8.27  -0.432   -0.173    0.340    0.290   -0.50  
   8.31  -0.440   -0.202    0.327    0.291   -0.60  
   8.34  -0.448   -0.229    0.313    0.291   -0.70  
   8.38  -0.455   -0.255    0.297    0.291   -0.80  
   8.41  -0.461   -0.280    0.281    0.289   -0.90  
   8.44  -0.467   -0.303    0.264    0.288   -1.00  
   8.46  -0.472   -0.325    0.246    0.285   -1.10  
   8.49  -0.477   -0.345    0.227    0.281   -1.20  
   8.51  -0.482   -0.365    0.208    0.277   -1.30  
