Mr,ug,gr,ri,iz,gi
8.5,-0.7333333333333336,-0.6677777777777769,-0.5766666666666671,-0.5566666666666671,-1.2622222222222232
8.52,-0.7288888888888893,-0.6655555555555548,-0.574444444444445,-0.554444444444445,-1.257777777777779
8.54,-0.7244444444444449,-0.6633333333333327,-0.5722222222222229,-0.5522222222222228,-1.2533333333333347
8.559999999999999,-0.7200000000000005,-0.6611111111111105,-0.5700000000000006,-0.5500000000000006,-1.2488888888888905
8.579999999999998,-0.7155555555555562,-0.6588888888888883,-0.5677777777777784,-0.5477777777777784,-1.244444444444446
8.599999999999998,-0.7111111111111118,-0.6566666666666662,-0.5655555555555563,-0.5455555555555562,-1.2400000000000015
8.619999999999997,-0.7066666666666674,-0.6544444444444439,-0.5633333333333341,-0.5433333333333341,-1.2355555555555573
8.639999999999997,-0.7022222222222232,-0.6522222222222218,-0.5611111111111119,-0.5411111111111119,-1.2311111111111128
8.659999999999997,-0.6977777777777787,-0.6499999999999997,-0.5588888888888897,-0.5388888888888896,-1.2266666666666686
8.679999999999996,-0.6933333333333345,-0.6477777777777775,-0.5566666666666675,-0.5366666666666675,-1.222222222222224
8.699999999999996,-0.68888888888889,-0.6455555555555553,-0.5544444444444454,-0.5344444444444454,-1.2177777777777798
8.719999999999995,-0.6844444444444457,-0.6433333333333331,-0.5522222222222232,-0.5322222222222232,-1.2133333333333354
8.739999999999995,-0.6800000000000013,-0.641111111111111,-0.5500000000000009,-0.5300000000000009,-1.2088888888888911
8.759999999999994,-0.675555555555557,-0.6388888888888888,-0.5477777777777788,-0.5277777777777788,-1.2044444444444466
8.779999999999994,-0.6711111111111127,-0.6366666666666667,-0.5455555555555567,-0.5255555555555567,-1.2000000000000024
8.799999999999994,-0.6666666666666683,-0.6344444444444445,-0.5433333333333344,-0.5233333333333344,-1.195555555555558
8.819999999999993,-0.6622222222222239,-0.6322222222222222,-0.5411111111111122,-0.5211111111111122,-1.1911111111111137
8.839999999999993,-0.6577777777777796,-0.6300000000000001,-0.5388888888888901,-0.5188888888888901,-1.1866666666666692
8.859999999999992,-0.6533333333333352,-0.627777777777778,-0.536666666666668,-0.5166666666666679,-1.182222222222225
8.879999999999992,-0.6488888888888908,-0.6255555555555559,-0.5344444444444457,-0.5144444444444457,-1.1777777777777805
8.899999999999991,-0.6444444444444465,-0.6233333333333336,-0.5322222222222235,-0.5122222222222235,-1.1733333333333362
8.919999999999991,-0.6400000000000021,-0.6211111111111115,-0.5300000000000014,-0.5100000000000013,-1.1688888888888918
8.93999999999999,-0.6355555555555579,-0.6188888888888893,-0.5277777777777792,-0.5077777777777792,-1.1644444444444475
8.95999999999999,-0.6311111111111134,-0.6166666666666671,-0.525555555555557,-0.505555555555557,-1.1600000000000033
8.97999999999999,-0.6266666666666691,-0.614444444444445,-0.5233333333333349,-0.5033333333333349,-1.1555555555555588
8.99999999999999,-0.6222222222222247,-0.6122222222222228,-0.5211111111111126,-0.5011111111111126,-1.1511111111111143
9.019999999999989,-0.6177777777777804,-0.6100000000000007,-0.5188888888888905,-0.4988888888888905,-1.14666666666667
9.039999999999988,-0.613333333333336,-0.6077777777777784,-0.5166666666666683,-0.49666666666666826,-1.1422222222222258
9.059999999999988,-0.6088888888888917,-0.6055555555555563,-0.5144444444444461,-0.49444444444444613,-1.1377777777777813
9.079999999999988,-0.6044444444444473,-0.6033333333333342,-0.5122222222222239,-0.4922222222222239,-1.1333333333333369
9.099999999999987,-0.600000000000003,-0.6011111111111119,-0.5100000000000018,-0.49000000000000177,-1.1288888888888926
9.119999999999987,-0.5955555555555586,-0.5988888888888898,-0.5077777777777795,-0.48777777777777953,-1.1244444444444484
9.139999999999986,-0.5911111111111143,-0.5966666666666676,-0.5055555555555574,-0.4855555555555574,-1.1200000000000039
9.159999999999986,-0.5866666666666699,-0.5944444444444454,-0.5033333333333352,-0.48333333333333517,-1.1155555555555594
9.179999999999986,-0.5822222222222255,-0.5922222222222233,-0.5011111111111131,-0.48111111111111304,-1.1111111111111152
9.199999999999985,-0.5777777777777813,-0.5900000000000011,-0.4988888888888908,-0.4788888888888908,-1.106666666666671
9.219999999999985,-0.5733333333333368,-0.587777777777779,-0.4966666666666687,-0.4766666666666687,-1.1022222222222264
9.239999999999984,-0.5688888888888926,-0.5855555555555567,-0.49444444444444646,-0.47444444444444644,-1.097777777777782
9.259999999999984,-0.5644444444444481,-0.5833333333333346,-0.49222222222222434,-0.4722222222222243,-1.0933333333333377
9.279999999999983,-0.5600000000000038,-0.5811111111111125,-0.4900000000000021,-0.4700000000000021,-1.0888888888888935
9.299999999999983,-0.5555555555555594,-0.5788888888888903,-0.48777777777778,-0.46777777777777996,-1.084444444444449
9.319999999999983,-0.5511111111111151,-0.5766666666666681,-0.48555555555555774,-0.4655555555555577,-1.0800000000000045
9.339999999999982,-0.5466666666666706,-0.574444444444446,-0.4833333333333356,-0.4633333333333356,-1.0755555555555603
9.359999999999982,-0.5422222222222264,-0.5722222222222237,-0.4811111111111134,-0.46111111111111336,-1.071111111111116
9.379999999999981,-0.537777777777782,-0.5700000000000016,-0.47888888888889125,-0.45888888888889123,-1.0666666666666715
9.39999999999998,-0.5333333333333377,-0.5677777777777795,-0.476666666666669,-0.456666666666669,-1.062222222222227
9.41999999999998,-0.5288888888888933,-0.5655555555555573,-0.4744444444444469,-0.45444444444444687,-1.0577777777777828
9.43999999999998,-0.5244444444444489,-0.5633333333333351,-0.47222222222222465,-0.45222222222222463,-1.0533333333333386
