## Mr-color sequences for He (DB+DC) white dwarf plus M dwarf with [Fe/H] = -1.5 
## Mr is the total, dMr is the difference between WD and MD. 
## For details, see Palaversa et al. (2024). 
    Mr     ug       gr       ri       iz       dMr
   8.57  -0.707   -0.632   -0.415   -0.203   -3.90  
   8.57  -0.707   -0.634   -0.423   -0.212   -4.00  
   8.58  -0.708   -0.636   -0.430   -0.221   -4.10  
   8.58  -0.708   -0.637   -0.437   -0.230   -4.20  
   8.58  -0.708   -0.639   -0.444   -0.239   -4.30  
   8.58  -0.709   -0.641   -0.450   -0.248   -4.40  
   8.58  -0.709   -0.642   -0.457   -0.257   -4.50  
   8.58  -0.709   -0.643   -0.463   -0.266   -4.60  
   8.59  -0.709   -0.644   -0.468   -0.274   -4.70  
   8.59  -0.709   -0.645   -0.473   -0.283   -4.80  
   8.59  -0.710   -0.646   -0.479   -0.291   -4.90  
   8.59  -0.710   -0.647   -0.483   -0.299   -5.00  
   8.59  -0.710   -0.648   -0.488   -0.307   -5.10  
   8.59  -0.710   -0.649   -0.492   -0.315   -5.20  
   8.59  -0.710   -0.650   -0.496   -0.323   -5.30  
   8.59  -0.710   -0.650   -0.500   -0.330   -5.40  
   8.59  -0.710   -0.651   -0.505   -0.344   -5.50  
   8.59  -0.710   -0.651   -0.510   -0.358   -5.60  
   8.59  -0.710   -0.652   -0.514   -0.370   -5.70  
   8.59  -0.710   -0.652   -0.518   -0.382   -5.80  
   8.60  -0.711   -0.653   -0.522   -0.394   -5.90  
   7.84  -0.490   -0.000    0.139    0.101    0.20  
   7.90  -0.509   -0.033    0.130    0.100    0.10  
   7.95  -0.526   -0.066    0.120    0.099    0.00  
   8.00  -0.542   -0.098    0.110    0.098   -0.10  
   8.04  -0.556   -0.130    0.099    0.096   -0.20  
   8.09  -0.569   -0.160    0.087    0.094   -0.30  
   8.13  -0.580   -0.190    0.075    0.092   -0.40  
   8.17  -0.590   -0.219    0.062    0.090   -0.50  
   8.21  -0.599   -0.247    0.049    0.087   -0.60  
   8.24  -0.607   -0.274    0.036    0.084   -0.70  
   8.28  -0.615   -0.299    0.022    0.081   -0.80  
   8.31  -0.622   -0.324    0.008    0.078   -0.90  
   8.34  -0.628   -0.347   -0.006    0.075   -1.00  
   8.36  -0.633   -0.369   -0.020    0.071   -1.10  
   8.39  -0.638   -0.389   -0.035    0.067   -1.20  
   8.41  -0.642   -0.408   -0.050    0.062   -1.30  
   8.44  -0.646   -0.426   -0.065    0.057   -1.40  
   8.46  -0.650   -0.443   -0.080    0.052   -1.50  
   8.48  -0.653   -0.459   -0.096    0.046   -1.60  
   8.49  -0.657   -0.474   -0.112    0.039   -1.70  
   8.51  -0.659   -0.487   -0.128    0.032   -1.80  
   8.53  -0.662   -0.500   -0.144    0.024   -1.90  
   8.54  -0.664   -0.512   -0.160    0.015   -2.00  
   8.55  -0.666   -0.523   -0.176    0.006   -2.10  
   8.57  -0.668   -0.533   -0.192   -0.003   -2.20  
   8.58  -0.670   -0.542   -0.208   -0.013   -2.30  
   8.59  -0.672   -0.551   -0.223   -0.024   -2.40  
   8.60  -0.673   -0.559   -0.239   -0.035   -2.50  
   8.61  -0.675   -0.566   -0.254   -0.046   -2.60  
   8.61  -0.676   -0.573   -0.268   -0.058   -2.70  
   8.62  -0.677   -0.579   -0.282   -0.070   -2.80  
   8.63  -0.678   -0.584   -0.296   -0.082   -2.90  
   8.63  -0.679   -0.590   -0.309   -0.094   -3.00  
   8.64  -0.680   -0.594   -0.322   -0.107   -3.10  
   8.64  -0.681   -0.599   -0.334   -0.119   -3.20  
   8.65  -0.681   -0.603   -0.346   -0.131   -3.30  
   8.65  -0.682   -0.606   -0.356   -0.140   -3.40  
   8.66  -0.683   -0.610   -0.366   -0.149   -3.50  
   8.66  -0.683   -0.613   -0.375   -0.158   -3.60  
   8.66  -0.684   -0.616   -0.384   -0.167   -3.70  
   8.67  -0.684   -0.618   -0.393   -0.176   -3.80  
   8.67  -0.685   -0.620   -0.401   -0.185   -3.90  
   8.67  -0.685   -0.623   -0.409   -0.194   -4.00  
   8.68  -0.685   -0.625   -0.416   -0.203   -4.10  
   8.68  -0.686   -0.626   -0.424   -0.213   -4.20  
   8.68  -0.686   -0.628   -0.430   -0.222   -4.30  
   8.68  -0.686   -0.630   -0.437   -0.231   -4.40  
   8.68  -0.687   -0.631   -0.443   -0.239   -4.50  
   8.68  -0.687   -0.632   -0.449   -0.248   -4.60  
   8.69  -0.687   -0.633   -0.455   -0.257   -4.70  
   8.69  -0.687   -0.634   -0.461   -0.266   -4.80  
   8.69  -0.687   -0.635   -0.466   -0.274   -4.90  
   8.69  -0.688   -0.636   -0.471   -0.282   -5.00  
   8.69  -0.688   -0.637   -0.475   -0.291   -5.10  
   8.69  -0.688   -0.638   -0.480   -0.299   -5.20  
   8.69  -0.688   -0.638   -0.484   -0.306   -5.30  
   8.69  -0.688   -0.639   -0.489   -0.321   -5.40  
   8.69  -0.688   -0.640   -0.494   -0.335   -5.50  
   8.69  -0.688   -0.640   -0.499   -0.349   -5.60  
   8.69  -0.688   -0.641   -0.503   -0.361   -5.70  
   8.69  -0.688   -0.641   -0.507   -0.373   -5.80  
   7.89  -0.449    0.046    0.162    0.111    0.30  
   7.94  -0.470    0.013    0.155    0.111    0.20  
   8.00  -0.488   -0.021    0.146    0.111    0.10  
   8.05  -0.505   -0.054    0.136    0.110    0.00  
   8.10  -0.521   -0.086    0.126    0.109   -0.10  
   8.14  -0.534   -0.118    0.115    0.108   -0.20  
   8.19  -0.547   -0.149    0.104    0.107   -0.30  
   8.23  -0.558   -0.179    0.092    0.105   -0.40  
   8.27  -0.568   -0.208    0.080    0.103   -0.50  
   8.31  -0.577   -0.236    0.067    0.101   -0.60  
   8.34  -0.585   -0.263    0.054    0.099   -0.70  
   8.38  -0.592   -0.289    0.041    0.096   -0.80  
   8.41  -0.599   -0.313    0.027    0.093   -0.90  
   8.44  -0.605   -0.336    0.013    0.090   -1.00  
   8.46  -0.610   -0.358   -0.001    0.087   -1.10  
   8.49  -0.615   -0.378   -0.016    0.083   -1.20  
   8.51  -0.620   -0.398   -0.031    0.079   -1.30  
   8.54  -0.624   -0.416   -0.046    0.074   -1.40  
   8.56  -0.628   -0.433   -0.062    0.069   -1.50  
   8.58  -0.631   -0.448   -0.078    0.063   -1.60  
   8.59  -0.634   -0.463   -0.094    0.056   -1.70  
   8.61  -0.637   -0.477   -0.110    0.048   -1.80  
   8.63  -0.639   -0.489   -0.127    0.040   -1.90  
   8.64  -0.642   -0.501   -0.143    0.032   -2.00  
   8.65  -0.644   -0.512   -0.160    0.023   -2.10  
   8.67  -0.646   -0.522   -0.176    0.013   -2.20  
   8.68  -0.648   -0.531   -0.192    0.003   -2.30  
   8.69  -0.649   -0.540   -0.208   -0.008   -2.40  
   8.70  -0.651   -0.548   -0.223   -0.019   -2.50  
   8.71  -0.652   -0.555   -0.238   -0.031   -2.60  
   8.71  -0.654   -0.562   -0.253   -0.042   -2.70  
   8.72  -0.655   -0.568   -0.268   -0.054   -2.80  
   8.73  -0.656   -0.573   -0.281   -0.067   -2.90  
   8.73  -0.657   -0.579   -0.295   -0.079   -3.00  
   8.74  -0.658   -0.583   -0.308   -0.092   -3.10  
   8.74  -0.658   -0.588   -0.320   -0.103   -3.20  
   8.75  -0.659   -0.592   -0.331   -0.112   -3.30  
   8.75  -0.660   -0.595   -0.341   -0.121   -3.40  
   8.76  -0.660   -0.599   -0.351   -0.130   -3.50  
