## Mr-color sequences for H (DA) white dwarf plus M dwarf with [Fe/H] = -1.5 
## Mr is the total, dMr is the difference between WD and MD. 
## For details, see Palaversa et al. (2024). 
    Mr     ug       gr       ri       iz       dMr
   8.57  -0.545   -0.587   -0.280   -0.129   -4.00  
   8.58  -0.545   -0.589   -0.286   -0.135   -4.10  
   8.58  -0.546   -0.591   -0.292   -0.142   -4.20  
   8.58  -0.546   -0.593   -0.297   -0.149   -4.30  
   8.58  -0.546   -0.594   -0.303   -0.155   -4.40  
   8.58  -0.547   -0.595   -0.308   -0.162   -4.50  
   8.58  -0.547   -0.597   -0.313   -0.168   -4.60  
   8.59  -0.547   -0.598   -0.318   -0.174   -4.70  
   8.59  -0.547   -0.599   -0.322   -0.180   -4.80  
   8.59  -0.547   -0.600   -0.326   -0.186   -4.90  
   8.59  -0.548   -0.601   -0.331   -0.192   -5.00  
   8.59  -0.548   -0.602   -0.334   -0.198   -5.10  
   8.59  -0.548   -0.602   -0.338   -0.204   -5.20  
   8.59  -0.548   -0.603   -0.341   -0.210   -5.30  
   8.59  -0.548   -0.604   -0.345   -0.215   -5.40  
   8.59  -0.548   -0.604   -0.349   -0.226   -5.50  
   8.59  -0.548   -0.605   -0.353   -0.235   -5.60  
   8.59  -0.548   -0.605   -0.357   -0.245   -5.70  
   8.59  -0.548   -0.606   -0.360   -0.254   -5.80  
   8.60  -0.548   -0.606   -0.363   -0.262   -5.90  
   7.84  -0.336    0.030    0.178    0.110    0.20  
   7.90  -0.356   -0.003    0.171    0.110    0.10  
   7.95  -0.373   -0.035    0.164    0.110    0.00  
   8.00  -0.389   -0.066    0.156    0.109   -0.10  
   8.04  -0.403   -0.098    0.147    0.108   -0.20  
   8.09  -0.416   -0.128    0.138    0.107   -0.30  
   8.13  -0.428   -0.158    0.128    0.105   -0.40  
   8.17  -0.438   -0.186    0.118    0.104   -0.50  
   8.21  -0.447   -0.214    0.108    0.102   -0.60  
   8.24  -0.456   -0.240    0.097    0.100   -0.70  
   8.28  -0.463   -0.266    0.086    0.098   -0.80  
   8.31  -0.470   -0.290    0.075    0.095   -0.90  
   8.34  -0.476   -0.312    0.064    0.093   -1.00  
   8.36  -0.482   -0.334    0.052    0.090   -1.10  
   8.39  -0.487   -0.354    0.040    0.087   -1.20  
   8.41  -0.491   -0.373    0.028    0.084   -1.30  
   8.44  -0.496   -0.391    0.015    0.080   -1.40  
   8.46  -0.499   -0.408    0.002    0.076   -1.50  
   8.48  -0.503   -0.424   -0.011    0.071   -1.60  
   8.49  -0.506   -0.438   -0.024    0.066   -1.70  
   8.51  -0.509   -0.452   -0.038    0.060   -1.80  
   8.53  -0.511   -0.465   -0.051    0.053   -1.90  
   8.54  -0.514   -0.476   -0.065    0.046   -2.00  
   8.55  -0.516   -0.487   -0.078    0.039   -2.10  
   8.57  -0.518   -0.497   -0.092    0.031   -2.20  
   8.58  -0.520   -0.506   -0.105    0.023   -2.30  
   8.59  -0.522   -0.515   -0.118    0.015   -2.40  
   8.60  -0.523   -0.523   -0.131    0.006   -2.50  
   8.61  -0.525   -0.530   -0.144   -0.003   -2.60  
   8.61  -0.526   -0.536   -0.156   -0.012   -2.70  
   8.62  -0.527   -0.543   -0.168   -0.022   -2.80  
   8.63  -0.528   -0.548   -0.180   -0.031   -2.90  
   8.63  -0.529   -0.553   -0.191   -0.041   -3.00  
   8.64  -0.530   -0.558   -0.202   -0.051   -3.10  
   8.64  -0.531   -0.562   -0.213   -0.061   -3.20  
   8.65  -0.531   -0.566   -0.223   -0.070   -3.30  
   8.65  -0.532   -0.570   -0.231   -0.077   -3.40  
   8.66  -0.533   -0.573   -0.239   -0.083   -3.50  
   8.66  -0.533   -0.576   -0.247   -0.090   -3.60  
   8.66  -0.534   -0.579   -0.255   -0.097   -3.70  
   8.67  -0.534   -0.582   -0.262   -0.104   -3.80  
   8.67  -0.535   -0.584   -0.269   -0.111   -3.90  
   8.67  -0.535   -0.586   -0.276   -0.118   -4.00  
   8.68  -0.536   -0.588   -0.282   -0.125   -4.10  
   8.68  -0.536   -0.590   -0.288   -0.132   -4.20  
   8.68  -0.536   -0.592   -0.294   -0.138   -4.30  
   8.68  -0.537   -0.593   -0.300   -0.145   -4.40  
   8.68  -0.537   -0.594   -0.305   -0.152   -4.50  
   8.68  -0.537   -0.596   -0.310   -0.159   -4.60  
   8.69  -0.537   -0.597   -0.315   -0.165   -4.70  
   8.69  -0.537   -0.598   -0.320   -0.172   -4.80  
   8.69  -0.538   -0.599   -0.324   -0.178   -4.90  
   8.69  -0.538   -0.600   -0.328   -0.184   -5.00  
   8.69  -0.538   -0.601   -0.332   -0.190   -5.10  
   8.69  -0.538   -0.601   -0.336   -0.196   -5.20  
   8.69  -0.538   -0.602   -0.340   -0.202   -5.30  
   8.69  -0.538   -0.603   -0.344   -0.213   -5.40  
   8.69  -0.538   -0.603   -0.349   -0.224   -5.50  
   8.69  -0.538   -0.604   -0.353   -0.234   -5.60  
   8.69  -0.538   -0.604   -0.356   -0.243   -5.70  
   8.69  -0.538   -0.605   -0.360   -0.252   -5.80  
   7.89  -0.308    0.074    0.196    0.121    0.30  
   7.94  -0.329    0.041    0.191    0.121    0.20  
   8.00  -0.348    0.008    0.184    0.121    0.10  
   8.05  -0.365   -0.024    0.177    0.121    0.00  
