# SDSS/LSST colors as functions of Mr and FeH for BHB stars 
# taken from table 2 from Sirko et al. 2004 (AJ 127, 899)  
# All input data are spline interpolated on a regular 
# equidistant Mr grid
#  Mr   FeH      ug      gr      ri      iz      zy
#                       ---- AB colors ----
 1.36  -2.00  0.6975 -0.3057 -0.2490 -0.2270 -0.1135 
 1.37  -2.00  0.6915 -0.3067 -0.2496 -0.2273 -0.1136 
 1.38  -2.00  0.6856 -0.3076 -0.2502 -0.2276 -0.1138 
 1.39  -2.00  0.6797 -0.3086 -0.2509 -0.2279 -0.1140 
 1.40  -2.00  0.6739 -0.3096 -0.2515 -0.2283 -0.1141 
 1.41  -2.00  0.6682 -0.3106 -0.2521 -0.2286 -0.1143 
 1.42  -2.00  0.6625 -0.3116 -0.2527 -0.2289 -0.1145 
 1.43  -2.00  0.6568 -0.3126 -0.2534 -0.2292 -0.1146 
 1.44  -2.00  0.6512 -0.3136 -0.2540 -0.2295 -0.1148 
 1.45  -2.00  0.6457 -0.3146 -0.2546 -0.2299 -0.1149 
 1.46  -2.00  0.6402 -0.3156 -0.2552 -0.2302 -0.1151 
 1.47  -2.00  0.6347 -0.3165 -0.2559 -0.2305 -0.1152 
 1.48  -2.00  0.6293 -0.3175 -0.2565 -0.2308 -0.1154 
 1.49  -2.00  0.6239 -0.3185 -0.2571 -0.2311 -0.1156 
 1.50  -2.00  0.6185 -0.3195 -0.2577 -0.2314 -0.1157 
 1.51  -2.00  0.6132 -0.3204 -0.2583 -0.2317 -0.1159 
 1.52  -2.00  0.6079 -0.3214 -0.2589 -0.2320 -0.1160 
 1.53  -2.00  0.6027 -0.3223 -0.2594 -0.2323 -0.1162 
 1.54  -2.00  0.5974 -0.3232 -0.2600 -0.2326 -0.1163 
 1.55  -2.00  0.5922 -0.3242 -0.2606 -0.2329 -0.1165 
 1.56  -2.00  0.5870 -0.3251 -0.2612 -0.2332 -0.1166 
 1.57  -2.00  0.5819 -0.3260 -0.2617 -0.2335 -0.1167 
 1.58  -2.00  0.5767 -0.3269 -0.2623 -0.2338 -0.1169 
 1.59  -2.00  0.5716 -0.3278 -0.2628 -0.2340 -0.1170 
 1.60  -2.00  0.5665 -0.3286 -0.2634 -0.2343 -0.1172 
 1.61  -2.00  0.5614 -0.3295 -0.2639 -0.2346 -0.1173 
 1.62  -2.00  0.5564 -0.3304 -0.2645 -0.2349 -0.1174 
 1.63  -2.00  0.5513 -0.3312 -0.2650 -0.2351 -0.1176 
 1.64  -2.00  0.5463 -0.3321 -0.2655 -0.2354 -0.1177 
 1.65  -2.00  0.5412 -0.3330 -0.2661 -0.2357 -0.1178 
 1.66  -2.00  0.5362 -0.3338 -0.2666 -0.2360 -0.1180 
 1.67  -2.00  0.5312 -0.3347 -0.2671 -0.2362 -0.1181 
 1.68  -2.00  0.5262 -0.3355 -0.2676 -0.2365 -0.1182 
 1.69  -2.00  0.5212 -0.3364 -0.2682 -0.2368 -0.1184 
 1.70  -2.00  0.5162 -0.3372 -0.2687 -0.2370 -0.1185 
 0.60  -1.00  1.1050  0.0613 -0.0469 -0.1239 -0.0620 
 0.61  -1.00  1.1202  0.0334 -0.0609 -0.1310 -0.0655 
 0.62  -1.00  1.1348  0.0062 -0.0746 -0.1380 -0.0690 
 0.63  -1.00  1.1485 -0.0203 -0.0879 -0.1448 -0.0724 
 0.64  -1.00  1.1611 -0.0457 -0.1007 -0.1514 -0.0757 
 0.65  -1.00  1.1723 -0.0698 -0.1129 -0.1576 -0.0788 
 0.66  -1.00  1.1819 -0.0923 -0.1244 -0.1634 -0.0817 
 0.67  -1.00  1.1896 -0.1131 -0.1350 -0.1689 -0.0844 
 0.68  -1.00  1.1951 -0.1318 -0.1447 -0.1738 -0.0869 
 0.69  -1.00  1.1983 -0.1483 -0.1533 -0.1782 -0.0891 
 0.70  -1.00  1.1993 -0.1628 -0.1610 -0.1821 -0.0910 
 0.71  -1.00  1.1983 -0.1753 -0.1677 -0.1855 -0.0928 
 0.72  -1.00  1.1954 -0.1861 -0.1736 -0.1885 -0.0943 
 0.73  -1.00  1.1908 -0.1953 -0.1787 -0.1911 -0.0956 
 0.74  -1.00  1.1848 -0.2030 -0.1831 -0.1934 -0.0967 
 0.75  -1.00  1.1773 -0.2093 -0.1868 -0.1953 -0.0976 
 0.76  -1.00  1.1687 -0.2145 -0.1900 -0.1969 -0.0985 
 0.77  -1.00  1.1591 -0.2187 -0.1927 -0.1983 -0.0991 
 0.78  -1.00  1.1487 -0.2219 -0.1949 -0.1994 -0.0997 
 0.79  -1.00  1.1376 -0.2245 -0.1968 -0.2004 -0.1002 
 0.80  -1.00  1.1259 -0.2264 -0.1984 -0.2012 -0.1006 
 0.81  -1.00  1.1140 -0.2279 -0.1997 -0.2018 -0.1009 
 0.82  -1.00  1.1018 -0.2291 -0.2009 -0.2024 -0.1012 
 0.83  -1.00  1.0897 -0.2302 -0.2019 -0.2030 -0.1015 
 0.84  -1.00  1.0777 -0.2313 -0.2030 -0.2035 -0.1018 
 0.85  -1.00  1.0660 -0.2325 -0.2041 -0.2041 -0.1020 
 0.86  -1.00  1.0547 -0.2339 -0.2052 -0.2047 -0.1023 
 0.87  -1.00  1.0438 -0.2355 -0.2064 -0.2053 -0.1026 
 0.88  -1.00  1.0333 -0.2373 -0.2077 -0.2059 -0.1030 
 0.89  -1.00  1.0230 -0.2392 -0.2090 -0.2066 -0.1033 
 0.90  -1.00  1.0131 -0.2413 -0.2103 -0.2073 -0.1036 
 0.91  -1.00  1.0035 -0.2434 -0.2117 -0.2080 -0.1040 
 0.92  -1.00  0.9941 -0.2457 -0.2131 -0.2087 -0.1043 
 0.93  -1.00  0.9850 -0.2481 -0.2145 -0.2094 -0.1047 
 0.94  -1.00  0.9761 -0.2505 -0.2159 -0.2101 -0.1051 
 0.95  -1.00  0.9674 -0.2530 -0.2173 -0.2108 -0.1054 
 0.96  -1.00  0.9589 -0.2555 -0.2188 -0.2116 -0.1058 
 0.97  -1.00  0.9506 -0.2581 -0.2202 -0.2123 -0.1062 
 0.98  -1.00  0.9424 -0.2606 -0.2216 -0.2130 -0.1065 
 0.99  -1.00  0.9344 -0.2632 -0.2231 -0.2138 -0.1069 
 1.00  -1.00  0.9265 -0.2657 -0.2245 -0.2145 -0.1072 
 1.01  -1.00  0.9186 -0.2682 -0.2258 -0.2152 -0.1076 
 1.02  -1.00  0.9109 -0.2706 -0.2272 -0.2159 -0.1079 
 1.03  -1.00  0.9032 -0.2729 -0.2285 -0.2165 -0.1083 
 1.04  -1.00  0.8955 -0.2752 -0.2297 -0.2172 -0.1086 
 1.05  -1.00  0.8878 -0.2773 -0.2309 -0.2178 -0.1089 
 1.06  -1.00  0.8802 -0.2793 -0.2321 -0.2184 -0.1092 
 1.07  -1.00  0.8725 -0.2812 -0.2332 -0.2189 -0.1095 
 1.08  -1.00  0.8648 -0.2830 -0.2342 -0.2194 -0.1097 
 1.09  -1.00  0.8572 -0.2847 -0.2352 -0.2199 -0.1100 
 1.10  -1.00  0.8495 -0.2862 -0.2361 -0.2204 -0.1102 
 1.11  -1.00  0.8418 -0.2877 -0.2370 -0.2209 -0.1104 
 1.12  -1.00  0.8342 -0.2890 -0.2379 -0.2213 -0.1107 
 1.13  -1.00  0.8266 -0.2903 -0.2387 -0.2217 -0.1109 
 1.14  -1.00  0.8190 -0.2915 -0.2395 -0.2221 -0.1111 
 1.15  -1.00  0.8114 -0.2927 -0.2402 -0.2225 -0.1113 
 1.16  -1.00  0.8039 -0.2937 -0.2410 -0.2229 -0.1114 
 1.17  -1.00  0.7964 -0.2948 -0.2417 -0.2232 -0.1116 
 1.18  -1.00  0.7889 -0.2957 -0.2423 -0.2236 -0.1118 
 1.19  -1.00  0.7815 -0.2967 -0.2430 -0.2239 -0.1120 
 1.20  -1.00  0.7741 -0.2975 -0.2436 -0.2242 -0.1121 
 1.21  -1.00  0.7668 -0.2984 -0.2442 -0.2246 -0.1123 
 1.22  -1.00  0.7595 -0.2992 -0.2448 -0.2249 -0.1124 
 1.23  -1.00  0.7524 -0.3001 -0.2454 -0.2252 -0.1126 
 1.24  -1.00  0.7452 -0.3009 -0.2460 -0.2255 -0.1127 
 1.25  -1.00  0.7382 -0.3017 -0.2466 -0.2258 -0.1129 
 1.26  -1.00  0.7312 -0.3025 -0.2472 -0.2261 -0.1130 
 1.27  -1.00  0.7243 -0.3033 -0.2478 -0.2264 -0.1132 
 1.28  -1.00  0.7175 -0.3042 -0.2484 -0.2267 -0.1133 
 1.29  -1.00  0.7108 -0.3051 -0.2489 -0.2270 -0.1135 
 1.30  -1.00  0.7041 -0.3060 -0.2495 -0.2273 -0.1136 
 1.31  -1.00  0.6976 -0.3069 -0.2501 -0.2276 -0.1138 
 1.32  -1.00  0.6911 -0.3078 -0.2507 -0.2279 -0.1139 
 1.33  -1.00  0.6847 -0.3087 -0.2513 -0.2282 -0.1141 
 1.34  -1.00  0.6783 -0.3096 -0.2519 -0.2285 -0.1142 
 1.35  -1.00  0.6720 -0.3106 -0.2526 -0.2288 -0.1144 
 1.36  -1.00  0.6658 -0.3115 -0.2532 -0.2291 -0.1146 
 1.37  -1.00  0.6597 -0.3125 -0.2538 -0.2294 -0.1147 
 1.38  -1.00  0.6536 -0.3135 -0.2544 -0.2297 -0.1149 
 1.39  -1.00  0.6476 -0.3144 -0.2550 -0.2300 -0.1150 
 1.40  -1.00  0.6416 -0.3154 -0.2556 -0.2304 -0.1152 
 1.41  -1.00  0.6357 -0.3164 -0.2562 -0.2307 -0.1153 
 1.42  -1.00  0.6299 -0.3173 -0.2568 -0.2310 -0.1155 
 1.43  -1.00  0.6241 -0.3183 -0.2574 -0.2313 -0.1156 
 1.44  -1.00  0.6183 -0.3193 -0.2580 -0.2316 -0.1158 
 1.45  -1.00  0.6126 -0.3202 -0.2586 -0.2319 -0.1159 
 1.46  -1.00  0.6070 -0.3212 -0.2592 -0.2322 -0.1161 
 1.47  -1.00  0.6014 -0.3221 -0.2597 -0.2325 -0.1162 
 1.48  -1.00  0.5958 -0.3231 -0.2603 -0.2328 -0.1164 
 1.49  -1.00  0.5902 -0.3240 -0.2609 -0.2331 -0.1165 
 1.50  -1.00  0.5847 -0.3249 -0.2615 -0.2333 -0.1167 
 1.51  -1.00  0.5793 -0.3258 -0.2620 -0.2336 -0.1168 
 1.52  -1.00  0.5738 -0.3267 -0.2626 -0.2339 -0.1170 
 1.53  -1.00  0.5684 -0.3276 -0.2631 -0.2342 -0.1171 
 1.54  -1.00  0.5630 -0.3285 -0.2637 -0.2345 -0.1172 
 1.55  -1.00  0.5577 -0.3293 -0.2642 -0.2347 -0.1174 
 1.56  -1.00  0.5523 -0.3302 -0.2647 -0.2350 -0.1175 
 1.57  -1.00  0.5470 -0.3311 -0.2653 -0.2353 -0.1176 
 1.58  -1.00  0.5417 -0.3319 -0.2658 -0.2356 -0.1178 
 1.59  -1.00  0.5365 -0.3327 -0.2663 -0.2358 -0.1179 
 1.60  -1.00  0.5312 -0.3336 -0.2668 -0.2361 -0.1180 
 1.61  -1.00  0.5260 -0.3344 -0.2674 -0.2364 -0.1182 
 1.62  -1.00  0.5208 -0.3352 -0.2679 -0.2366 -0.1183 
 1.63  -1.00  0.5156 -0.3361 -0.2684 -0.2369 -0.1184 
 1.64  -1.00  0.5104 -0.3369 -0.2689 -0.2371 -0.1186 
 1.65  -1.00  0.5052 -0.3377 -0.2694 -0.2374 -0.1187 
 1.66  -1.00  0.5000 -0.3385 -0.2699 -0.2377 -0.1188 
 1.67  -1.00  0.4948 -0.3393 -0.2704 -0.2379 -0.1190 
 1.68  -1.00  0.4896 -0.3402 -0.2710 -0.2382 -0.1191 
 1.69  -1.00  0.4844 -0.3410 -0.2715 -0.2384 -0.1192 
 1.70  -1.00  0.4792 -0.3418 -0.2720 -0.2387 -0.1194 
