Mr,ug,gr,ri,iz,gi
8.5,-0.55,-0.6100000000000001,-0.4,-0.37,-1.02
8.52,-0.55,-0.6100000000000001,-0.4,-0.37,-1.02
8.54,-0.55,-0.6100000000000001,-0.4,-0.37,-1.02
8.559999999999999,-0.55,-0.6100000000000001,-0.4,-0.37,-1.02
8.579999999999998,-0.55,-0.6100000000000001,-0.4,-0.37,-1.02
8.599999999999998,-0.5490000000000003,-0.6100000000000001,-0.4,-0.37,-1.02
8.619999999999997,-0.5470000000000003,-0.6100000000000001,-0.4,-0.37,-1.02
8.639999999999997,-0.5450000000000003,-0.6100000000000001,-0.4,-0.37,-1.0190000000000001
8.659999999999997,-0.5430000000000004,-0.6100000000000001,-0.4,-0.37,-1.0170000000000003
8.679999999999996,-0.5410000000000004,-0.6100000000000001,-0.4,-0.37,-1.0150000000000003
8.699999999999996,-0.5390909090909095,-0.6090000000000004,-0.4,-0.37,-1.0130000000000003
8.719999999999995,-0.5372727272727277,-0.6070000000000005,-0.4,-0.37,-1.0110000000000003
8.739999999999995,-0.535454545454546,-0.6050000000000005,-0.4,-0.3688888888888895,-1.01
8.759999999999994,-0.5336363636363642,-0.6030000000000005,-0.4,-0.3666666666666673,-1.01
8.779999999999994,-0.5318181818181824,-0.6010000000000006,-0.4,-0.3644444444444451,-1.01
8.799999999999994,-0.5300000000000007,-0.6000000000000001,-0.4,-0.36222222222222294,-1.01
8.819999999999993,-0.526923076923078,-0.6000000000000001,-0.4,-0.36000000000000076,-1.01
8.839999999999993,-0.5238461538461551,-0.6000000000000001,-0.4,-0.36,-1.01
8.859999999999992,-0.520769230769232,-0.6000000000000001,-0.4,-0.36,-1.008461538461539
8.879999999999992,-0.517692307692309,-0.6000000000000001,-0.4,-0.36,-1.0069230769230775
8.899999999999991,-0.5146153846153859,-0.6000000000000001,-0.4,-0.36,-1.005384615384616
8.919999999999991,-0.5115384615384629,-0.5984615384615393,-0.4,-0.36,-1.0038461538461545
8.93999999999999,-0.5092857142857149,-0.5969230769230778,-0.4,-0.36,-1.002307692307693
8.95999999999999,-0.5078571428571436,-0.5953846153846162,-0.4,-0.36,-1.0007692307692315
8.97999999999999,-0.5064285714285721,-0.5938461538461547,-0.4,-0.36,-0.9992857142857149
8.99999999999999,-0.5050000000000008,-0.5923076923076932,-0.4,-0.36,-0.9978571428571436
9.019999999999989,-0.5035714285714293,-0.5907692307692317,-0.4,-0.36,-0.9964285714285721
9.039999999999988,-0.502142857142858,-0.5900000000000001,-0.3992857142857151,-0.36,-0.9950000000000008
9.059999999999988,-0.5007142857142866,-0.5900000000000001,-0.3978571428571437,-0.36,-0.9935714285714293
9.079999999999988,-0.4982352941176493,-0.5900000000000001,-0.3964285714285723,-0.36,-0.992142857142858
9.099999999999987,-0.4947058823529435,-0.5900000000000001,-0.3950000000000009,-0.36,-0.9907142857142865
9.119999999999987,-0.49117647058823766,-0.5900000000000001,-0.3935714285714295,-0.36,-0.9894117647058831
9.139999999999986,-0.4876470588235319,-0.5900000000000001,-0.3921428571428581,-0.36,-0.9882352941176478
9.159999999999986,-0.48411764705882604,-0.5900000000000001,-0.39071428571428674,-0.36,-0.9870588235294125
9.179999999999986,-0.4805882352941202,-0.5894117647058833,-0.39,-0.36,-0.9858823529411773
9.199999999999985,-0.4770588235294144,-0.588235294117648,-0.39,-0.36,-0.984705882352942
9.219999999999985,-0.4735294117647086,-0.5870588235294127,-0.39,-0.36,-0.9835294117647068
9.239999999999984,-0.4700000000000028,-0.5858823529411775,-0.39,-0.36,-0.9823529411764714
9.259999999999984,-0.4661904761904793,-0.5847058823529422,-0.39,-0.36,-0.9811764705882362
9.279999999999983,-0.4623809523809556,-0.583529411764707,-0.39,-0.36,-0.9800000000000009
9.299999999999983,-0.4585714285714319,-0.5823529411764716,-0.39,-0.36,-0.9771428571428595
9.319999999999983,-0.4547619047619082,-0.5811764705882364,-0.39,-0.36,-0.9742857142857166
9.339999999999982,-0.45095238095238444,-0.5800000000000011,-0.39,-0.36,-0.9714285714285739
9.359999999999982,-0.44714285714286073,-0.5780952380952399,-0.3890476190476199,-0.36,-0.9685714285714311
9.379999999999981,-0.443333333333337,-0.576190476190478,-0.388095238095239,-0.36,-0.9657142857142883
9.39999999999998,-0.4395238095238133,-0.5742857142857162,-0.38714285714285807,-0.36,-0.9628571428571455
9.41999999999998,-0.4357142857142896,-0.5723809523809543,-0.38619047619047714,-0.36,-0.9600000000000027
9.43999999999998,-0.4319047619047659,-0.5704761904761925,-0.3852380952380962,-0.36,-0.95714285714286
9.45999999999998,-0.42777777777778253,-0.5685714285714306,-0.3842857142857153,-0.36,-0.9542857142857172
9.479999999999979,-0.42333333333333817,-0.5666666666666688,-0.38333333333333436,-0.36,-0.9514285714285744
9.499999999999979,-0.41888888888889386,-0.5647619047619069,-0.38238095238095343,-0.36,-0.9491666666666684
9.519999999999978,-0.4144444444444495,-0.562857142857145,-0.3814285714285725,-0.36,-0.9475000000000018
9.539999999999978,-0.41000000000000514,-0.5609523809523832,-0.3804761904761916,-0.36,-0.9458333333333352
9.559999999999977,-0.4055555555555608,-0.5594444444444457,-0.37972222222222285,-0.36,-0.9441666666666685
9.579999999999977,-0.4011111111111164,-0.5583333333333347,-0.3791666666666673,-0.36,-0.9425000000000019
9.599999999999977,-0.39666666666667205,-0.5572222222222236,-0.3786111111111118,-0.36,-0.9408333333333352
9.619999999999976,-0.3922222222222277,-0.5561111111111126,-0.37805555555555626,-0.36,-0.9391666666666686
