#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2452 1.2534E-04 1.2534E-04  -2.20   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=116 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.873            NaN         0.0000
  2 -0.773         0.9999         1.1316
  3 -0.673         1.4547         1.2670
  4 -0.573         1.6822         1.2927
  5 -0.473         1.8357         1.3093
  6 -0.373         1.9525         1.3254
  7 -0.273         2.0469         1.3377
  8 -0.173         2.1263         1.3488
  9 -0.073         2.1952         1.3617
 10  0.027         2.1889         1.3617
 11  0.127         2.0095         1.3617
 12  0.227         2.0523         1.0239
 13  0.327         2.1187         1.2706
 14  0.427         2.1360         0.7288
 15  0.527         2.2306         1.5219
 16  0.627         2.3122         1.5461
 17  0.727         2.4746         1.9688
 18  0.827         2.5597         1.8096
 19  0.927         2.6431         1.8859
 20  1.027         2.7152         1.8995
 21  1.127         2.7818         1.9346
 22  1.227         2.8469         1.9906
 23  1.327         2.9148         2.0758
 24  1.427         3.0007         2.2547
 25  1.527         3.0511         2.0903
 26  1.627         3.0967         2.0953
 27  1.727         3.1339         2.0485
 28  1.827         3.1700         2.0714
 29  1.927         3.2102         2.1574
 30  2.027         3.4374         3.0473
 31  2.127         3.4726         2.3642
 32  2.227         3.4928         2.1494
 33  2.327         3.5128         2.1677
 34  2.427         3.5322         2.1709
 35  2.527         3.5505         2.1659
 36  2.627         3.5679         2.1632
 37  2.727         3.5851         2.1738
 38  2.827         3.6021         2.1859
 39  2.927         3.6190         2.2003
 40  3.027         3.6360         2.2209
 41  3.127         3.6532         2.2438
 42  3.227         3.6706         2.2642
 43  3.327         3.6874         2.2649
 44  3.427         3.7004         2.1728
 45  3.527         3.7134         2.1822
 46  3.627         3.7263         2.1921
 47  3.727         3.7391         2.2025
 48  3.827         3.7519         2.2135
 49  3.927         3.7646         2.2251
 50  4.027         3.7773         2.2374
 51  4.127         3.7900         2.2502
 52  4.227         3.8028         2.2638
 53  4.327         3.8155         2.2780
 54  4.427         3.8284         2.2929
 55  4.527         3.8413         2.3086
 56  4.627         3.8543         2.3250
 57  4.727         3.8675         2.3422
 58  4.827         3.8808         2.3601
 59  4.927         3.8943         2.3788
 60  5.027         3.9079         2.3980
 61  5.127         3.9217         2.4160
 62  5.227         3.9355         2.4321
 63  5.327         3.9494         2.4463
 64  5.427         3.9633         2.4612
 65  5.527         3.9774         2.4823
 66  5.627         3.9912         2.4883
 67  5.727         4.0043         2.4770
 68  5.827         4.0166         2.4623
 69  5.927         4.0264         2.3744
 70  6.027         4.0350         2.3277
 71  6.127         4.0435         2.3296
 72  6.227         4.0517         2.3259
 73  6.327         4.0600         2.3353
 74  6.427         4.0686         2.3629
 75  6.527         4.0780         2.4055
 76  6.627         4.0881         2.4507
 77  6.727         4.0992         2.5031
 78  6.827         4.1112         2.5452
 79  6.927         4.1240         2.5860
 80  7.027         4.1363         2.5851
 81  7.127         4.1493         2.6187
 82  7.227         4.1632         2.6588
 83  7.327         4.1772         2.6809
 84  7.427         4.1924         2.7291
 85  7.527         4.2109         2.8299
 86  7.627         4.2295         2.8526
 87  7.727         4.2715         3.2356
 88  7.827         4.3370         3.4832
 89  7.927         4.3945         3.4880
 90  8.027         4.4422         3.4598
 91  8.127         4.4852         3.4588
 92  8.227         4.5326         3.5474
 93  8.327         4.5595         3.3378
 94  8.427         4.5798         3.2405
 95  8.527         4.5978         3.2052
 96  8.627         4.6157         3.2228
 97  8.727         4.6342         3.2550
 98  8.827         4.6565         3.3543
 99  8.927         4.6791         3.3842
100  9.027         4.7014         3.4021
101  9.127         4.7232         3.4131
102  9.227         4.7445         3.4239
103  9.327         4.7653         3.4346
104  9.427         4.7856         3.4451
105  9.527         4.8054         3.4555
106  9.627         4.8249         3.4658
107  9.727         4.8439         3.4760
108  9.827         4.8625         3.4851
109  9.927         4.8806         3.4927
110 10.027         4.8984         3.5015
111 10.127         4.9159         3.5115
112 10.227         4.9331         3.5229
113 10.327         4.9501         3.5355
114 10.427         4.9669         3.5448
115 10.527         4.9834         3.5563
116 10.627         5.0000         3.5728


#AGE= 0.100 BINS=116 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.760            NaN         3.5728
  2 -0.660            NaN         3.5728
  3 -0.560            NaN         3.5728
  4 -0.460            NaN         3.5728
  5 -0.360            NaN         3.5728
  6 -0.260         1.0918         1.2628
  7 -0.160         1.5199         1.3170
  8 -0.060         1.7381         1.3348
  9  0.040         1.8879         1.3528
 10  0.140         2.0021         1.3663
 11  0.240         1.7996         1.3663
 12  0.340         1.6193         1.3663
 13  0.440         1.7797         1.2695
 14  0.540         1.8599         1.0866
 15  0.640         1.9861         1.3876
 16  0.740         2.1334         1.5925
 17  0.840         2.3620         1.9738
 18  0.940         2.4807         1.8594
 19  1.040         2.5905         1.9397
 20  1.140         2.6741         1.9174
 21  1.240         2.7496         1.9525
 22  1.340         2.8296         2.0553
 23  1.440         2.9093         2.1336
 24  1.540         2.9981         2.2655
 25  1.640         3.0465         2.0691
 26  1.740         3.0879         2.0470
 27  1.840         3.1268         2.0588
 28  1.940         3.1667         2.1110
 29  2.040         3.2127         2.2146
 30  2.140         3.4267         3.0166
 31  2.240         3.4594         2.3201
 32  2.340         3.4811         2.1700
 33  2.440         3.5017         2.1675
 34  2.540         3.5219         2.1781
 35  2.640         3.5410         2.1749
 36  2.740         3.5590         2.1685
 37  2.840         3.5766         2.1751
 38  2.940         3.5940         2.1877
 39  3.040         3.6112         2.2006
 40  3.140         3.6285         2.2205
 41  3.240         3.6460         2.2436
 42  3.340         3.6637         2.2641
 43  3.440         3.6803         2.2550
 44  3.540         3.6938         2.1773
 45  3.640         3.7071         2.1882
 46  3.740         3.7204         2.1979
 47  3.840         3.7335         2.2080
 48  3.940         3.7466         2.2187
 49  4.040         3.7596         2.2300
 50  4.140         3.7726         2.2420
 51  4.240         3.7856         2.2546
 52  4.340         3.7986         2.2678
 53  4.440         3.8116         2.2818
 54  4.540         3.8246         2.2964
 55  4.640         3.8378         2.3118
 56  4.740         3.8510         2.3279
 57  4.840         3.8643         2.3448
 58  4.940         3.8778         2.3625
 59  5.040         3.8914         2.3809
 60  5.140         3.9052         2.4001
 61  5.240         3.9191         2.4181
 62  5.340         3.9331         2.4341
 63  5.440         3.9471         2.4479
 64  5.540         3.9611         2.4631
 65  5.640         3.9753         2.4829
 66  5.740         3.9892         2.4868
 67  5.840         4.0023         2.4740
 68  5.940         4.0146         2.4613
 69  6.040         4.0265         2.4599
 70  6.140         4.0363         2.3835
 71  6.240         4.0449         2.3371
 72  6.340         4.0531         2.3262
 73  6.440         4.0613         2.3350
 74  6.540         4.0700         2.3652
 75  6.640         4.0793         2.4069
 76  6.740         4.0894         2.4504
 77  6.840         4.1005         2.5032
 78  6.940         4.1126         2.5505
 79  7.040         4.1247         2.5647
 80  7.140         4.1370         2.5831
 81  7.240         4.1503         2.6285
 82  7.340         4.1642         2.6616
 83  7.440         4.1779         2.6719
 84  7.540         4.1963         2.8133
 85  7.640         4.2151         2.8425
 86  7.740         4.2341         2.8653
 87  7.840         4.2531         2.8845
 88  7.940         4.3093         3.3934
 89  8.040         4.3696         3.4821
 90  8.140         4.4227         3.4843
 91  8.240         4.4695         3.4786
 92  8.340         4.5200         3.5606
 93  8.440         4.5458         3.3073
 94  8.540         4.5668         3.2397
 95  8.640         4.5862         3.2265
 96  8.740         4.6058         3.2507
 97  8.840         4.6280         3.3247
 98  8.940         4.6511         3.3670
 99  9.040         4.6747         3.3973
100  9.140         4.6977         3.4102
101  9.240         4.7201         3.4217
102  9.340         4.7420         3.4327
103  9.440         4.7633         3.4433
104  9.540         4.7840         3.4536
105  9.640         4.8043         3.4634
106  9.740         4.8241         3.4729
107  9.840         4.8434         3.4821
108  9.940         4.8623         3.4904
109 10.040         4.8806         3.4975
110 10.140         4.8986         3.5054
111 10.240         4.9161         3.5143
112 10.340         4.9334         3.5245
113 10.440         4.9504         3.5356
114 10.540         4.9671         3.5431
115 10.640         4.9836         3.5535
116 10.740         5.0000         3.5700


#AGE= 1.000 BINS=130 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.034         0.1689         0.1689
  2 -0.934         0.5468         0.3111
  3 -0.834         0.7081         0.1996
  4 -0.734         0.8306         0.2214
  5 -0.634         0.9282         0.2316
  6 -0.534         1.0096         0.2427
  7 -0.434         1.0796         0.2524
  8 -0.334         1.1416         0.2656
  9 -0.234         1.1964         0.2705
 10 -0.134         1.2458         0.2773
 11 -0.034         1.2911         0.2869
 12  0.066         1.3326         0.2921
 13  0.166         1.3710         0.2985
 14  0.266         1.4673         0.7660
 15  0.366         1.5895         0.9792
 16  0.466         1.6096         0.2647
 17  0.566         1.6293         0.2758
 18  0.666         1.6493         0.3034
 19  0.766         1.6710         0.3582
 20  0.866         1.6954         0.4323
 21  0.966         1.7252         0.5472
 22  1.066         1.7618         0.6695
 23  1.166         1.8062         0.7939
 24  1.266         1.8577         0.9059
 25  1.366         1.9068         0.9362
 26  1.466         1.9483         0.9072
 27  1.566         1.9904         0.9565
 28  1.666         2.1450         1.6212
 29  1.766         2.3156         1.8274
 30  1.866         2.4173         1.7369
 31  1.966         2.4961         1.7161
 32  2.066         2.5731         1.7837
 33  2.166         2.6456         1.8322
 34  2.266         2.7185         1.9080
 35  2.366         2.7867         1.9487
 36  2.466         2.8531         2.0049
 37  2.566         2.9208         2.0801
 38  2.666         2.9795         2.0813
 39  2.766         3.0408         2.1601
 40  2.866         3.0927         2.1442
 41  2.966         3.1404         2.1579
 42  3.066         3.1842         2.1665
 43  3.166         3.2248         2.1755
 44  3.266         3.2627         2.1846
 45  3.366         3.2967         2.1736
 46  3.466         3.3260         2.1394
 47  3.566         3.3528         2.1300
 48  3.666         3.3786         2.1398
 49  3.766         3.4030         2.1407
 50  3.866         3.4261         2.1414
 51  3.966         3.4491         2.1603
 52  4.066         3.4717         2.1779
 53  4.166         3.4932         2.1772
 54  4.266         3.5142         2.1887
 55  4.366         3.5350         2.2032
 56  4.466         3.5554         2.2184
 57  4.566         3.5756         2.2317
 58  4.666         3.5952         2.2407
 59  4.766         3.6145         2.2538
 60  4.866         3.6337         2.2677
 61  4.966         3.6525         2.2811
 62  5.066         3.6711         2.2939
 63  5.166         3.6895         2.3061
 64  5.266         3.7076         2.3176
 65  5.366         3.7253         2.3286
 66  5.466         3.7428         2.3389
 67  5.566         3.7600         2.3485
 68  5.666         3.7768         2.3574
 69  5.766         3.7934         2.3656
 70  5.866         3.8096         2.3747
 71  5.966         3.8257         2.3849
 72  6.066         3.8415         2.3944
 73  6.166         3.8570         2.4032
 74  6.266         3.8723         2.4113
 75  6.366         3.8873         2.4192
 76  6.466         3.9021         2.4276
 77  6.566         3.9167         2.4358
 78  6.666         3.9311         2.4444
 79  6.766         3.9453         2.4508
 80  6.866         3.9591         2.4549
 81  6.966         3.9728         2.4647
 82  7.066         3.9864         2.4760
 83  7.166         4.0001         2.4931
 84  7.266         4.0139         2.5098
 85  7.366         4.0277         2.5202
 86  7.466         4.0414         2.5332
 87  7.566         4.0552         2.5505
 88  7.666         4.0692         2.5709
