#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2478 1.7242E-03 1.7242E-03  -1.00   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=135 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.973            NaN         0.0000
  2 -1.873            NaN         0.0000
  3 -1.773            NaN         0.0000
  4 -1.673            NaN         0.0000
  5 -1.573            NaN         0.0000
  6 -1.473            NaN         0.0000
  7 -1.373            NaN        -1.7876
  8 -1.273            NaN        -1.7876
  9 -1.173            NaN        -1.7876
 10 -1.073            NaN         0.6964
 11 -0.973            NaN         0.9419
 12 -0.873            NaN         1.0920
 13 -0.773            NaN         1.3453
 14 -0.673         1.0951         1.3627
 15 -0.573         1.5622         1.3811
 16 -0.473         1.7873         1.3942
 17 -0.373         1.9365         1.4001
 18 -0.273         2.0497         1.4104
 19 -0.173         2.1418         1.4228
 20 -0.073         2.2173         1.4203
 21  0.027         2.2770         1.3858
 22  0.127         2.3267         1.3605
 23  0.227         2.4488         1.8382
 24  0.327         2.5447         1.8415
 25  0.427         2.6186         1.8132
 26  0.527         2.7024         1.9464
 27  0.627         2.7710         1.9361
 28  0.727         2.8241         1.8853
 29  0.827         2.8709         1.8799
 30  0.927         2.9133         1.8815
 31  1.027         2.9518         1.8806
 32  1.127         2.9887         1.8993
 33  1.227         3.0253         1.9328
 34  1.327         3.0631         1.9841
 35  1.427         3.1038         2.0562
 36  1.527         3.1500         2.1538
 37  1.627         3.2656         2.6340
 38  1.727         3.3380         2.5245
 39  1.827         3.3936         2.4731
 40  1.927         3.4149         2.0950
 41  2.027         3.4350         2.0911
 42  2.127         3.4546         2.0999
 43  2.227         3.4743         2.1200
 44  2.327         3.4938         2.1360
 45  2.427         3.5130         2.1500
 46  2.527         3.5321         2.1657
 47  2.627         3.5511         2.1830
 48  2.727         3.5701         2.2011
 49  2.827         3.5883         2.2023
 50  2.927         3.6062         2.2106
 51  3.027         3.6246         2.2424
 52  3.127         3.6448         2.3021
 53  3.227         3.6702         2.4247
 54  3.327         3.6999         2.5208
 55  3.427         3.7182         2.3339
 56  3.527         3.7356         2.3280
 57  3.627         3.7536         2.3643
 58  3.727         3.7716         2.3784
 59  3.827         3.7893         2.3911
 60  3.927         3.8040         2.3266
 61  4.027         3.8166         2.2742
 62  4.127         3.8292         2.2833
 63  4.227         3.8416         2.2914
 64  4.327         3.8539         2.2986
 65  4.427         3.8659         2.3048
 66  4.527         3.8779         2.3100
 67  4.627         3.8896         2.3140
 68  4.727         3.9010         2.3175
 69  4.827         3.9123         2.3220
 70  4.927         3.9235         2.3273
 71  5.027         3.9345         2.3336
 72  5.127         3.9454         2.3408
 73  5.227         3.9563         2.3491
 74  5.327         3.9671         2.3583
 75  5.427         3.9779         2.3686
 76  5.527         3.9888         2.3799
 77  5.627         3.9996         2.3923
 78  5.727         4.0105         2.4057
 79  5.827         4.0215         2.4172
 80  5.927         4.0324         2.4274
 81  6.027         4.0433         2.4384
 82  6.127         4.0543         2.4502
 83  6.227         4.0653         2.4628
 84  6.327         4.0763         2.4763
 85  6.427         4.0873         2.4865
 86  6.527         4.0968         2.4297
 87  6.627         4.1023         2.2045
 88  6.727         4.1073         2.1644
 89  6.827         4.1117         2.1210
 90  6.927         4.1170         2.1996
 91  7.027         4.1234         2.2860
 92  7.127         4.1309         2.3628
 93  7.227         4.1388         2.3961
 94  7.327         4.1470         2.4206
 95  7.427         4.1555         2.4393
 96  7.527         4.1639         2.4471
 97  7.627         4.1734         2.5076
 98  7.727         4.1840         2.5679
 99  7.827         4.1961         2.6347
100  7.927         4.2101         2.7106
101  8.027         4.3160         3.6512
102  8.127         4.3938         3.6091
103  8.227         4.4334         3.3729
104  8.327         4.4631         3.2842
105  8.427         4.4883         3.2396
106  8.527         4.5112         3.2219
107  8.627         4.5329         3.2208
108  8.727         4.5540         3.2287
109  8.827         4.5746         3.2404
110  8.927         4.5949         3.2556
111  9.027         4.6141         3.2497
112  9.127         4.6314         3.2241
113  9.227         4.6475         3.2070
114  9.327         4.6628         3.2016
115  9.427         4.6779         3.2111
116  9.527         4.6908         3.1586
117  9.627         4.7050         3.2108
118  9.727         4.7189         3.2174
119  9.827         4.7327         3.2280
120  9.927         4.7465         3.2424
121 10.027         4.7605         3.2608
122 10.127         4.7747         3.2829
123 10.227         4.7893         3.3086
124 10.327         4.8044         3.3376
125 10.427         4.8200         3.3697
126 10.527         4.8364         3.4043
127 10.627         4.8530         3.4265
128 10.727         4.8696         3.4442
129 10.827         4.8864         3.4660
130 10.927         4.9036         3.4923
131 11.027         4.9213         3.5234
132 11.127         4.9398         3.5595
133 11.227         4.9593         3.6016
134 11.327         4.9796         3.6397
135 11.427         5.0000         3.6612


#AGE= 0.100 BINS=132 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.565            NaN         3.6612
  2 -1.465            NaN         3.6612
  3 -1.365            NaN         3.6612
  4 -1.265            NaN         3.6612
  5 -1.165            NaN         3.6612
  6 -1.065            NaN        -0.3730
  7 -0.965            NaN        -0.3730
  8 -0.865            NaN         0.4422
  9 -0.765            NaN         0.8877
 10 -0.665            NaN         1.0049
 11 -0.565            NaN         1.0521
 12 -0.465            NaN         1.0932
 13 -0.365         0.9556         1.1735
 14 -0.265         1.5442         1.4147
 15 -0.165         1.7902         1.4262
 16 -0.065         1.9512         1.4423
 17  0.035         2.0695         1.4466
 18  0.135         2.1564         1.4151
 19  0.235         2.2204         1.3573
 20  0.335         2.3856         1.8858
 21  0.435         2.4945         1.8406
 22  0.535         2.5807         1.8357
 23  0.635         2.6547         1.8498
 24  0.735         2.7429         2.0072
 25  0.835         2.8030         1.9147
 26  0.935         2.8547         1.9046
 27  1.035         2.8995         1.8912
 28  1.135         2.9404         1.8935
 29  1.235         2.9789         1.9080
 30  1.335         3.0167         1.9377
 31  1.435         3.0554         1.9860
 32  1.535         3.0969         2.0561
 33  1.635         3.1436         2.1521
 34  1.735         3.2529         2.6004
 35  1.835         3.2986         2.2983
 36  1.935         3.3811         2.6187
 37  2.035         3.4018         2.0702
 38  2.135         3.4229         2.0983
 39  2.235         3.4430         2.1002
 40  2.335         3.4630         2.1150
 41  2.435         3.4829         2.1343
 42  2.535         3.5025         2.1477
 43  2.635         3.5219         2.1627
 44  2.735         3.5412         2.1795
 45  2.835         3.5605         2.1979
 46  2.935         3.5791         2.2013
 47  3.035         3.5972         2.2090
 48  3.135         3.6160         2.2413
 49  3.235         3.6366         2.3027
 50  3.335         3.6635         2.4432
 51  3.435         3.6903         2.4674
 52  3.535         3.7086         2.3241
 53  3.635         3.7263         2.3269
 54  3.735         3.7446         2.3602
 55  3.835         3.7627         2.3738
 56  3.935         3.7807         2.3876
 57  4.035         3.7939         2.2729
 58  4.135         3.8069         2.2741
 59  4.235         3.8197         2.2840
 60  4.335         3.8324         2.2929
 61  4.435         3.8450         2.3008
 62  4.535         3.8574         2.3075
 63  4.635         3.8697         2.3132
 64  4.735         3.8817         2.3177
 65  4.835         3.8935         2.3211
 66  4.935         3.9050         2.3247
 67  5.035         3.9164         2.3295
 68  5.135         3.9277         2.3353
 69  5.235         3.9388         2.3421
 70  5.335         3.9499         2.3500
 71  5.435         3.9609         2.3590
 72  5.535         3.9718         2.3691
 73  5.635         3.9828         2.3804
 74  5.735         3.9938         2.3927
 75  5.835         4.0049         2.4061
 76  5.935         4.0160         2.4171
 77  6.035         4.0270         2.4274
 78  6.135         4.0381         2.4385
 79  6.235         4.0492         2.4505
 80  6.335         4.0603         2.4632
 81  6.435         4.0715         2.4759
 82  6.535         4.0826         2.4859
 83  6.635         4.0965         2.5954
 84  6.735         4.1033         2.2952
 85  6.835         4.1072         2.0553
 86  6.935         4.1114         2.0993
 87  7.035         4.1166         2.1869
 88  7.135         4.1229         2.2835
 89  7.235         4.1303         2.3545
 90  7.335         4.1380         2.3834
 91  7.435         4.1461         2.4135
 92  7.535         4.1543         2.4287
 93  7.635         4.1629         2.4560
 94  7.735         4.1728         2.5236
 95  7.835         4.1838         2.5828
 96  7.935         4.1967         2.6626
 97  8.035         4.2106         2.7075
 98  8.135         4.2231         2.6765
 99  8.235         4.3145         3.5930
100  8.335         4.3951         3.6241
101  8.435         4.4380         3.4106
102  8.535         4.4702         3.3252
103  8.635         4.4972         3.2768
104  8.735         4.5212         3.2510
105  8.835         4.5432         3.2385
106  8.935         4.5639         3.2320
107  9.035         4.5837         3.2316
108  9.135         4.6031         3.2436
109  9.235         4.6218         3.2471
110  9.335         4.6391         3.2310
111  9.435         4.6559         3.2337
112  9.535         4.6702         3.1825
113  9.635         4.6857         3.2281
114  9.735         4.7006         3.2287
115  9.835         4.7151         3.2329
116  9.935         4.7295         3.2412
117 10.035         4.7437         3.2535
118 10.135         4.7581         3.2698
119 10.235         4.7726         3.2902
120 10.335         4.7875         3.3143
121 10.435         4.8028         3.3421
122 10.535         4.8186         3.3732
123 10.635         4.8352         3.4074
124 10.735         4.8521         3.4343
125 10.835         4.8690         3.4522
126 10.935         4.8862         3.4736
127 11.035         4.9036         3.4990
128 11.135         4.9216         3.5285
129 11.235         4.9401         3.5623
130 11.335         4.9596         3.6014
131 11.435         4.9798         3.6368
132 11.535         5.0000         3.6578


#AGE= 1.000 BINS=137 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.981         0.0703         0.0703
  2 -0.881         0.3676         0.0627
  3 -0.781         0.5422         0.0623
  4 -0.681         0.6676         0.0669
  5 -0.581         0.7653         0.0696
  6 -0.481         0.8444         0.0655
  7 -0.381         0.9102         0.0586
  8 -0.281         0.9660         0.0472
  9 -0.181         1.0147         0.0405
 10 -0.081         1.0578         0.0323
 11  0.019         1.0963         0.0255
 12  0.119         1.1313         0.0201
 13  0.219         1.1632         0.0132
 14  0.319         1.1924         0.0060
 15  0.419         1.2193        -0.0020
 16  0.519         1.3639         0.8159
 17  0.619         1.4529         0.7208
 18  0.719         1.5250         0.7094
 19  0.819         1.5841         0.6885
 20  0.919         1.6183         0.4984
 21  1.019         1.6244        -0.2338
 22  1.119         1.8154         1.3666
 23  1.219         2.0021         1.5453
 24  1.319         2.1270         1.5248
 25  1.419         2.2288         1.5490
 26  1.519         2.3183         1.5882
 27  1.619         2.4011         1.6405
 28  1.719         2.4799         1.7000
 29  1.819         2.5546         1.7534
 30  1.919         2.6229         1.7859
 31  2.019         2.6898         1.8444
 32  2.119         2.7565         1.9095
 33  2.219         2.8193         1.9490
 34  2.319         2.8780         1.9796
 35  2.419         2.9313         1.9943
 36  2.519         2.9760         1.9657
 37  2.619         3.0224         2.0285
 38  2.719         3.0715         2.1002
 39  2.819         3.1139         2.0821
 40  2.919         3.1525         2.0828
 41  3.019         3.1864         2.0622
 42  3.119         3.2171         2.0508
 43  3.219         3.2464         2.0615
 44  3.319         3.2743         2.0684
 45  3.419         3.3004         2.0648
 46  3.519         3.3260         2.0836
 47  3.619         3.3506         2.0918
 48  3.719         3.3738         2.0898
 49  3.819         3.3966         2.1068
 50  3.919         3.4190         2.1203
 51  4.019         3.4410         2.1332
 52  4.119         3.4623         2.1441
 53  4.219         3.4837         2.1641
 54  4.319         3.5049         2.1827
 55  4.419         3.5254         2.1893
 56  4.519         3.5451         2.1937
 57  4.619         3.5643         2.2003
 58  4.719         3.5832         2.2123
 59  4.819         3.6019         2.2261
 60  4.919         3.6204         2.2406
 61  5.019         3.6387         2.2547
 62  5.119         3.6568         2.2677
 63  5.219         3.6747         2.2797
 64  5.319         3.6923         2.2905
 65  5.419         3.7095         2.3002
 66  5.519         3.7264         2.3088
 67  5.619         3.7430         2.3162
 68  5.719         3.7592         2.3225
 69  5.819         3.7750         2.3274
 70  5.919         3.7903         2.3313
 71  6.019         3.8054         2.3390
 72  6.119         3.8203         2.3469
 73  6.219         3.8348         2.3523
 74  6.319         3.8490         2.3553
 75  6.419         3.8627         2.3559
 76  6.519         3.8760         2.3558
 77  6.619         3.8890         2.3581
 78  6.719         3.9018         2.3630
 79  6.819         3.9143         2.3699
 80  6.919         3.9267         2.3751
 81  7.019         3.9388         2.3779
 82  7.119         3.9506         2.3788
 83  7.219         3.9621         2.3798
 84  7.319         3.9736         2.3893
 85  7.419         3.9851         2.4034
 86  7.519         3.9967         2.4169
 87  7.619         4.0082         2.4238
 88  7.719         4.0197         2.4386
 89  7.819         4.0315         2.4585
 90  7.919         4.0436         2.4826
 91  8.019         4.0561         2.5106
 92  8.119         4.0689         2.5299
 93  8.219         4.0818         2.5496
 94  8.319         4.0950         2.5726
 95  8.419         4.1087         2.5996
 96  8.519         4.1229         2.6303
 97  8.619         4.1378         2.6663
 98  8.719         4.1532         2.6942
 99  8.819         4.1692         2.7266
100  8.919         4.1859         2.7636
