#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2453 1.7240E-04 1.7240E-04  -2.00   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=119 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.136            NaN         0.0000
  2 -1.036            NaN         0.0000
  3 -0.936            NaN         0.0000
  4 -0.836            NaN         0.0000
  5 -0.736            NaN         1.0741
  6 -0.636            NaN         0.7752
  7 -0.536            NaN         0.6910
  8 -0.436            NaN         1.4682
  9 -0.336            NaN         1.4686
 10 -0.236            NaN         1.4595
 11 -0.136            NaN         1.4773
 12 -0.036            NaN         1.5249
 13  0.064         1.4738         1.6112
 14  0.164         1.8913         1.6821
 15  0.264         2.0854         1.6422
 16  0.364         2.2401         1.7166
 17  0.464         2.3022         1.4271
 18  0.564         2.4046         1.7270
 19  0.664         2.5124         1.8542
 20  0.764         2.6013         1.8691
 21  0.864         2.6914         1.9641
 22  0.964         2.7796         2.0439
 23  1.064         2.8676         2.1308
 24  1.164         2.9363         2.1020
 25  1.264         2.9819         1.9806
 26  1.364         3.0222         1.9696
 27  1.464         3.0588         1.9665
 28  1.564         3.0934         1.9767
 29  1.664         3.1272         2.0013
 30  1.764         3.1634         2.0670
 31  1.864         3.2006         2.1152
 32  1.964         3.2796         2.5002
 33  2.064         3.4663         3.0097
 34  2.164         3.4885         2.1861
 35  2.264         3.5090         2.1733
 36  2.364         3.5283         2.1645
 37  2.464         3.5464         2.1588
 38  2.564         3.5635         2.1511
 39  2.664         3.5804         2.1609
 40  2.764         3.5973         2.1787
 41  2.864         3.6141         2.1939
 42  2.964         3.6310         2.2129
 43  3.064         3.6481         2.2352
 44  3.164         3.6654         2.2571
 45  3.264         3.6829         2.2776
 46  3.364         3.6998         2.2820
 47  3.464         3.7129         2.1867
 48  3.564         3.7261         2.2016
 49  3.664         3.7393         2.2152
 50  3.764         3.7524         2.2258
 51  3.864         3.7654         2.2369
 52  3.964         3.7785         2.2486
 53  4.064         3.7915         2.2610
 54  4.164         3.8045         2.2739
 55  4.264         3.8175         2.2875
 56  4.364         3.8305         2.3018
 57  4.464         3.8436         2.3168
 58  4.564         3.8568         2.3325
 59  4.664         3.8701         2.3489
 60  4.764         3.8835         2.3661
 61  4.864         3.8970         2.3840
 62  4.964         3.9107         2.4019
 63  5.064         3.9245         2.4189
 64  5.164         3.9383         2.4355
 65  5.264         3.9523         2.4515
 66  5.364         3.9633         2.3616
 67  5.464         3.9741         2.3663
 68  5.564         3.9847         2.3680
 69  5.664         3.9945         2.3433
 70  5.764         4.0034         2.3085
 71  5.864         4.0118         2.2936
 72  5.964         4.0202         2.3010
 73  6.064         4.0289         2.3299
 74  6.164         4.0381         2.3556
 75  6.264         4.0478         2.3949
 76  6.364         4.0587         2.4538
 77  6.464         4.0709         2.5129
 78  6.564         4.0843         2.5667
 79  6.664         4.0987         2.6119
 80  6.764         4.1140         2.6526
 81  6.864         4.1321         2.7440
 82  6.964         4.1471         2.6776
 83  7.064         4.1627         2.7102
 84  7.164         4.1786         2.7333
 85  7.264         4.1953         2.7721
 86  7.364         4.2123         2.7956
 87  7.464         4.2288         2.8001
 88  7.564         4.2450         2.8088
 89  7.664         4.2632         2.8762
 90  7.764         4.2811         2.8874
 91  7.864         4.3666         3.6191
 92  7.964         4.4420         3.6441
 93  8.064         4.4853         3.4625
 94  8.164         4.5190         3.3919
 95  8.264         4.5536         3.4386
 96  8.364         4.5804         3.3565
 97  8.464         4.5998         3.2401
 98  8.564         4.6194         3.2644
 99  8.664         4.6389         3.2815
100  8.764         4.6560         3.2432
101  8.864         4.6726         3.2462
102  8.964         4.6893         3.2671
103  9.064         4.7078         3.3264
104  9.164         4.7295         3.4179
105  9.264         4.7494         3.4008
106  9.364         4.7689         3.4117
107  9.464         4.7881         3.4240
108  9.564         4.8071         3.4379
109  9.664         4.8259         3.4532
110  9.764         4.8445         3.4670
111  9.864         4.8627         3.4762
112  9.964         4.8806         3.4862
113 10.064         4.8982         3.4972
114 10.164         4.9156         3.5092
115 10.264         4.9328         3.5223
116 10.364         4.9499         3.5355
117 10.464         4.9667         3.5459
118 10.564         4.9833         3.5591
119 10.664         5.0000         3.5760


#AGE= 0.100 BINS=118 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.923            NaN         3.5760
  2 -0.823            NaN         3.5760
  3 -0.723            NaN         3.5760
  4 -0.623            NaN         3.5760
  5 -0.523            NaN         3.5760
  6 -0.423            NaN         3.5760
  7 -0.323            NaN         3.5760
  8 -0.223            NaN         1.4593
  9 -0.123            NaN         1.4679
 10 -0.023            NaN         1.4721
 11  0.077            NaN         1.5119
 12  0.177            NaN         1.6126
 13  0.277            NaN         1.7036
 14  0.377         1.1830         1.6699
 15  0.477         1.7019         1.5453
 16  0.577         1.9623         1.6164
 17  0.677         2.2164         1.8627
 18  0.777         2.3787         1.8728
 19  0.877         2.5069         1.9144
 20  0.977         2.6233         1.9944
 21  1.077         2.7275         2.0566
 22  1.177         2.8259         2.1331
 23  1.277         2.9086         2.1472
 24  1.377         2.9604         2.0115
 25  1.477         3.0055         1.9995
 26  1.577         3.0488         2.0266
 27  1.677         3.0884         2.0279
 28  1.777         3.1261         2.0468
 29  1.877         3.1641         2.0862
 30  1.977         3.2034         2.1411
 31  2.077         3.2793         2.4843
 32  2.177         3.4535         2.9725
 33  2.277         3.4759         2.1778
 34  2.377         3.4974         2.1812
 35  2.477         3.5175         2.1730
 36  2.577         3.5364         2.1667
 37  2.677         3.5542         2.1575
 38  2.777         3.5714         2.1603
 39  2.877         3.5886         2.1786
 40  2.977         3.6058         2.1936
 41  3.077         3.6230         2.2120
 42  3.177         3.6404         2.2340
 43  3.277         3.6579         2.2562
 44  3.377         3.6756         2.2770
 45  3.477         3.6923         2.2674
 46  3.577         3.7056         2.1872
 47  3.677         3.7191         2.2020
 48  3.777         3.7325         2.2172
 49  3.877         3.7460         2.2305
 50  3.977         3.7594         2.2415
 51  4.077         3.7727         2.2530
 52  4.177         3.7860         2.2651
 53  4.277         3.7993         2.2778
 54  4.377         3.8125         2.2912
 55  4.477         3.8258         2.3052
 56  4.577         3.8392         2.3199
 57  4.677         3.8526         2.3353
 58  4.777         3.8661         2.3514
 59  4.877         3.8796         2.3683
 60  4.977         3.8934         2.3859
 61  5.077         3.9072         2.4037
 62  5.177         3.9211         2.4208
 63  5.277         3.9352         2.4372
 64  5.377         3.9492         2.4528
 65  5.477         3.9634         2.4698
 66  5.577         3.9768         2.4606
 67  5.677         3.9876         2.3763
 68  5.777         3.9973         2.3426
 69  5.877         4.0060         2.3029
 70  5.977         4.0142         2.2840
 71  6.077         4.0223         2.2890
 72  6.177         4.0307         2.3138
 73  6.277         4.0393         2.3318
 74  6.377         4.0483         2.3618
 75  6.477         4.0584         2.4197
 76  6.577         4.0701         2.4925
 77  6.677         4.0831         2.5525
 78  6.777         4.0972         2.6035
 79  6.877         4.1120         2.6365
 80  6.977         4.1290         2.7138
 81  7.077         4.1447         2.6949
 82  7.177         4.1605         2.7143
 83  7.277         4.1772         2.7530
 84  7.377         4.1945         2.7866
 85  7.477         4.2116         2.7979
 86  7.577         4.2280         2.7956
 87  7.677         4.2465         2.8669
 88  7.777         4.2650         2.8868
 89  7.877         4.2833         2.8975
 90  7.977         4.3011         2.9055
 91  8.077         4.4009         3.7134
 92  8.177         4.4600         3.5645
 93  8.277         4.5031         3.4779
 94  8.377         4.5422         3.4780
 95  8.477         4.5688         3.3425
 96  8.577         4.5884         3.2319
 97  8.677         4.6069         3.2271
 98  8.777         4.6247         3.2283
 99  8.877         4.6431         3.2620
100  8.977         4.6616         3.2812
101  9.077         4.6819         3.3408
102  9.177         4.7049         3.4186
103  9.277         4.7261         3.4033
104  9.377         4.7467         3.4118
105  9.477         4.7667         3.4217
106  9.577         4.7864         3.4329
107  9.677         4.8058         3.4454
108  9.777         4.8249         3.4592
109  9.877         4.8438         3.4729
110  9.977         4.8623         3.4821
111 10.077         4.8804         3.4914
112 10.177         4.8982         3.5014
113 10.277         4.9157         3.5124
114 10.377         4.9330         3.5243
115 10.477         4.9500         3.5361
116 10.577         4.9668         3.5449
117 10.677         4.9834         3.5573
118 10.777         5.0000         3.5743


#AGE= 1.000 BINS=130 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.992         0.1684         0.1684
  2 -0.892         0.4767         0.1829
  3 -0.792         0.6593         0.1949
  4 -0.692         0.7903         0.2060
  5 -0.592         0.8925         0.2138
  6 -0.492         0.9755         0.2162
  7 -0.392         1.0455         0.2181
  8 -0.292         1.1062         0.2220
  9 -0.192         1.1597         0.2236
 10 -0.092         1.2078         0.2287
 11  0.008         1.2511         0.2276
 12  0.108         1.2907         0.2310
 13  0.208         1.3277         0.2394
 14  0.308         1.4555         0.8622
 15  0.408         1.5452         0.8157
 16  0.508         1.5773         0.4301
 17  0.608         1.5979         0.2648
 18  0.708         1.6198         0.3109
 19  0.808         1.6439         0.3772
 20  0.908         1.6716         0.4625
 21  1.008         1.7039         0.5583
 22  1.108         1.7410         0.6546
 23  1.208         1.7773         0.6808
 24  1.308         1.7956         0.4123
 25  1.408         1.8012        -0.0953
 26  1.508         1.9886         1.5333
 27  1.608         2.1251         1.5561
 28  1.708         2.2348         1.5833
 29  1.808         2.3314         1.6313
 30  1.908         2.4147         1.6569
 31  2.008         2.5013         1.7581
 32  2.108         2.5935         1.8755
 33  2.208         2.6758         1.9129
 34  2.308         2.7533         1.9665
 35  2.408         2.8280         2.0270
 36  2.508         2.9030         2.1032
 37  2.608         2.9555         2.0122
 38  2.708         3.0204         2.1625
 39  2.808         3.0801         2.1890
 40  2.908         3.1274         2.1404
 41  3.008         3.1724         2.1661
 42  3.108         3.2139         2.1737
 43  3.208         3.2528         2.1858
 44  3.308         3.2887         2.1877
 45  3.408         3.3194         2.1539
 46  3.508         3.3469         2.1338
 47  3.608         3.3731         2.1415
 48  3.708         3.3983         2.1491
 49  3.808         3.4216         2.1400
 50  3.908         3.4449         2.1618
 51  4.008         3.4677         2.1775
 52  4.108         3.4897         2.1829
 53  4.208         3.5108         2.1878
 54  4.308         3.5317         2.2024
 55  4.408         3.5523         2.2178
 56  4.508         3.5726         2.2331
 57  4.608         3.5925         2.2444
 58  4.708         3.6119         2.2514
 59  4.808         3.6311         2.2660
 60  4.908         3.6500         2.2802
 61  5.008         3.6687         2.2938
 62  5.108         3.6872         2.3067
 63  5.208         3.7054         2.3189
 64  5.308         3.7233         2.3304
 65  5.408         3.7410         2.3413
 66  5.508         3.7584         2.3514
 67  5.608         3.7754         2.3608
 68  5.708         3.7921         2.3695
 69  5.808         3.8085         2.3773
 70  5.908         3.8246         2.3861
 71  6.008         3.8405         2.3962
 72  6.108         3.8562         2.4053
 73  6.208         3.8716         2.4136
 74  6.308         3.8867         2.4211
 75  6.408         3.9016         2.4291
 76  6.508         3.9162         2.4368
 77  6.608         3.9307         2.4448
 78  6.708         3.9449         2.4518
 79  6.808         3.9587         2.4547
 80  6.908         3.9722         2.4582
 81  7.008         3.9856         2.4682
 82  7.108         3.9989         2.4785
 83  7.208         4.0123         2.4960
 84  7.308         4.0257         2.5088
 85  7.408         4.0390         2.5179
 86  7.508         4.0523         2.5300
 87  7.608         4.0656         2.5476
 88  7.708         4.0792         2.5674
 89  7.808         4.0930         2.5872
 90  7.908         4.1071         2.6132
 91  8.008         4.1219         2.6455
 92  8.108         4.1370         2.6702
 93  8.208         4.1531         2.7153
 94  8.308         4.1700         2.7510
 95  8.408         4.1877         2.7892
 96  8.508         4.2067         2.8370
 97  8.608         4.2283         2.9144
 98  8.708         4.2514         2.9661
 99  8.808         4.2745         2.9897
100  8.908         4.2963         2.9854
101  9.008         4.3153         2.9469
102  9.108         4.3387         3.0583
103  9.208         4.3672         3.1706
104  9.308         4.3955         3.1955
105  9.408         4.4239         3.2247
106  9.508         4.4528         3.2623
107  9.608         4.4818         3.2912
108  9.708         4.5103         3.3138
109  9.808         4.5387         3.3392
110  9.908         4.5667         3.3633
111 10.008         4.5945         3.3856
112 10.108         4.6217         3.4064
113 10.208         4.6489         3.4321
114 10.308         4.6760         3.4571
115 10.408         4.7026         3.4769
116 10.508         4.7285         3.4913
117 10.608         4.7535         3.5001
118 10.708         4.7773         3.5056
119 10.808         4.8007         3.5193
120 10.908         4.8233         3.5296
121 11.008         4.8451         3.5342
122 11.108         4.8658         3.5331
123 11.208         4.8852         3.5263
124 11.308         4.9035         3.5181
125 11.408         4.9208         3.5142
126 11.508         4.9376         3.5150
127 11.608         4.9539         3.5199
128 11.708         4.9695         3.5181
129 11.808         4.9847         3.5221
130 11.908         5.0000         3.5382


#AGE= 2.000 BINS=150 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -2.646        -0.4438        -0.4438
  2 -2.546        -0.1332        -0.4249
  3 -2.446         0.0552        -0.3982
  4 -2.346         0.1933        -0.3715
  5 -2.246         0.3037        -0.3453
  6 -2.146         0.3963        -0.3203
  7 -2.046         0.4770        -0.2935
  8 -1.946         0.5488        -0.2686
  9 -1.846         0.6139        -0.2424
 10 -1.746         0.6735        -0.2180
 11 -1.646         0.7282        -0.1992
 12 -1.546         0.8909         0.3856
 13 -1.446         0.9723         0.2053
 14 -1.346         1.0086        -0.0876
 15 -1.246         1.0435        -0.0682
 16 -1.146         1.0777        -0.0430
 17 -1.046         1.1114        -0.0162
 18 -0.946         1.1444         0.0087
 19 -0.846         1.1772         0.0398
 20 -0.746         1.2098         0.0685
 21 -0.646         1.2419         0.0949
 22 -0.546         1.2737         0.1227
 23 -0.446         1.3053         0.1515
 24 -0.346         1.3367         0.1806
 25 -0.246         1.3678         0.2070
 26 -0.146         1.3987         0.2358
 27 -0.046         1.4293         0.2613
 28  0.054         1.4597         0.2901
 29  0.154         1.4900         0.3182
 30  0.254         1.5207         0.3549
 31  0.354         1.5520         0.3937
 32  0.454         1.5844         0.4422
 33  0.554         1.6164         0.4668
 34  0.654         1.6480         0.4941
 35  0.754         1.6784         0.5084
 36  0.854         1.7072         0.5155
 37  0.954         1.7354         0.5339
 38  1.054         1.8108         1.0132
 39  1.154         1.9102         1.2209
 40  1.254         1.9338         0.6572
 41  1.354         1.9575         0.6833
 42  1.454         1.9843         0.7606
