#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2467 1.0499E-03 1.0499E-03  -1.20   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=133 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.901            NaN         0.0000
  2 -1.801            NaN         0.0000
  3 -1.701            NaN         0.8945
  4 -1.601            NaN         0.8945
  5 -1.501            NaN         0.8736
  6 -1.401         0.8326         1.1225
  7 -1.301         1.4805         1.3698
  8 -1.201         1.7388         1.3903
  9 -1.101         1.9010         1.3947
 10 -1.001         2.0162         1.3833
 11 -0.901         2.0914         1.2931
 12 -0.801         2.1530         1.2743
 13 -0.701         2.1987         1.1983
 14 -0.601         2.2744         1.4787
 15 -0.501         2.3340         1.4416
 16 -0.401         2.3290         1.4416
 17 -0.301         2.3647         1.2616
 18 -0.201         2.4366         1.6200
 19 -0.101         2.5078         1.6874
 20 -0.001         2.5705         1.6993
 21  0.099         2.6222         1.6721
 22  0.199         2.6747         1.7312
 23  0.299         2.7254         1.7678
 24  0.399         2.7924         1.9475
 25  0.499         2.8494         1.9390
 26  0.599         2.8993         1.9349
 27  0.699         2.9456         1.9501
 28  0.799         2.9877         1.9541
 29  0.899         3.0261         1.9535
 30  0.999         3.0610         1.9484
 31  1.099         3.1051         2.0903
 32  1.199         3.1369         1.9846
 33  1.299         3.1651         1.9642
 34  1.399         3.1914         1.9598
 35  1.499         3.2174         1.9817
 36  1.599         3.2455         2.0426
 37  1.699         3.2798         2.1599
 38  1.799         3.4050         2.8040
 39  1.899         3.4335         2.2360
 40  1.999         3.4542         2.1229
 41  2.099         3.4997         2.4972
 42  2.199         3.5174         2.1188
 43  2.299         3.5345         2.1216
 44  2.399         3.5513         2.1283
 45  2.499         3.5678         2.1394
