      glon       glat        FeHEst FeHUnc  MrEst  MrUnc  ArEst  ArUnc  chi2min    MrdS     FeHdS      ArdS 
  1.33848500 -44.99270248   -0.47   0.44   13.75   0.10    0.20   0.04   0.06     -38.0     -10.5     -96.7       229
  1.07541525 -44.76530075   -0.38   0.29   10.26   0.26    0.17   0.05   3.85     -26.9     -11.5     -45.3       230
  0.37024271 -45.36165619   -0.29   0.18   13.36   0.09    0.09   0.04   3.08     -41.2     -15.5     -57.8       231
  0.06845194 -45.05674744   -0.17   0.10   12.39   0.11    0.15   0.03   0.48     -38.1     -24.5     -97.2       232
  1.08756173 -44.91898727   -0.14   0.05    6.77   0.11    0.14   0.06   2.21     -35.4     -17.9     -51.0       233
  0.59775674 -44.72043228   -0.17   0.10   12.37   0.11    0.10   0.03   0.15     -38.3     -23.4    -116.4       234
  1.35009682 -44.84243774   -0.41   0.17   12.31   0.15    0.16   0.03   1.48     -32.2     -11.6    -123.3       235
  1.35089719 -44.90808105   -0.28   0.18   13.35   0.10    0.19   0.04   0.37     -40.4     -16.1     -70.3       236
  1.15351760 -44.69672775   -0.70   0.57   13.90   0.10    0.22   0.04   0.21     -38.7      -7.0    -103.2       237
  1.47590971 -44.65371704   -0.30   0.18   12.69   0.13    0.14   0.03   0.07     -34.5     -12.8    -111.3       238
  0.06146689 -45.31681824   -0.34   0.14    9.24   0.14    0.08   0.01   1.54     -30.6      -6.4    -200.1       239
  1.10750246 -45.17559052   -0.30   0.14    9.13   0.12    0.11   0.02   2.53     -37.8      -4.6    -142.0       240
  1.05199564 -44.63642502   -0.27   0.13    9.17   0.12    0.13   0.01   5.64     -32.9      -7.0    -222.7       241
  0.46650201 -45.33846283   -0.30   0.19   10.79   0.18    0.11   0.02   2.21     -32.4     -14.1    -156.9       242
  0.68178946 -44.89758301   -0.14   0.06   12.10   0.08    0.11   0.02   2.88     -39.0     -24.7    -135.9       243
  0.28342766 -45.39953995   -0.28   0.16   12.10   0.17    0.17   0.04   0.10     -32.9     -16.3     -56.7       244
  0.91556507 -45.23516083   -0.30   0.21   12.16   0.25    0.15   0.08   1.30     -24.0     -16.1      -6.3       245
  0.69008464 -44.67801666   -0.32   0.24   13.51   0.12    0.15   0.06   0.48     -36.7     -14.6     -24.4       246
  0.35351285 -45.47589874   -0.25   0.17   12.10   0.21    0.12   0.07   0.13     -26.6     -19.1      -0.1       247
  0.21899077 -45.58420181   -0.21   0.12    0.33   0.22    0.10   0.04   0.40     -29.8      -7.2     -78.6       248
  1.45004284 -44.82529831   -0.59   0.43   13.94   0.07    0.21   0.04   3.06     -45.1      -9.0    -116.4       249
  1.14917386 -44.95598221   -0.12   0.05   13.69   0.03    0.03   0.01   1.02     -50.9     -23.8    -147.9       250
  0.18086308 -45.67358780   -0.43   0.18   14.04   0.11    0.16   0.05   1.64     -39.1     -14.5     -49.4       251
  0.39169040 -44.86476135   -0.21   0.14   12.68   0.12    0.13   0.03   0.66     -37.0     -19.2     -99.6       252
  1.31249547 -44.54071426   -0.37   0.28   13.54   0.09    0.22   0.04   0.52     -40.7     -12.8    -127.3       253
  0.48134482 -45.16431427   -0.25   0.11   11.95   0.10    0.12   0.02   0.36     -35.3     -14.5    -147.8       254
  1.35855281 -45.00294113   -0.17   0.07    5.87   0.11    0.10   0.04   1.06     -42.0     -14.5    -127.9       255
  0.47608680 -44.76510239   -0.27   0.17   10.29   0.17    0.13   0.02   8.92     -31.9     -13.9    -152.3       256
  0.47375074 -45.48365402   -0.81   0.51   14.10   0.08    0.24   0.02   5.61     -43.2      -7.8    -199.5       257
  1.02664053 -45.20426559   -0.26   0.17   11.58   0.21    0.16   0.08   2.61     -27.1     -18.4      -1.2       258
  0.64959806 -45.26910019   -0.33   0.25    8.15   0.24    0.08   0.04   1.15     -27.7     -11.3     -48.1       259
  1.24647319 -44.32926941   -0.16   0.09   12.40   0.09    0.07   0.03   1.49     -39.0     -24.0    -123.7       260
  0.26880887 -45.56601715   -0.25   0.13    9.54   0.13    0.09   0.01   0.53     -32.5     -12.0    -205.2       261
  0.21426459 -45.00459290   -0.34   0.22   10.35   0.21    0.15   0.02   1.34     -30.1     -11.6    -151.4       262
  1.19986558 -44.86949539   -0.16   0.07    4.24   0.17    0.07   0.03   3.32     -34.5     -13.2     -90.0       263
  0.21731769 -45.21131134   -0.27   0.15   10.79   0.15    0.15   0.02   3.73     -31.1     -12.2    -182.3       264
  0.70947939 -44.64122391   -0.43   0.18   14.03   0.08    0.22   0.03   0.48     -42.6     -14.5    -135.0       265
  0.35721704 -44.80918884   -1.20   0.54   14.08   0.10    0.19   0.04  10.37     -39.2      -8.8     -78.4       266
  0.52204961 -45.05411911   -0.13   0.06    6.05   0.10    0.10   0.03   0.66     -45.4     -17.8    -162.0       267
  0.48087540 -44.88430786   -0.12   0.05    8.35   0.06    0.10   0.02   5.05     -47.0     -20.0    -171.9       268
  0.73582006 -44.94768524   -0.27   0.07    6.88   0.11    0.05   0.04   6.39     -38.5     -13.3    -113.6       269
  0.95826858 -44.64175034   -0.14   0.06    4.55   0.15    0.08   0.04   0.87     -37.1     -16.8     -89.2       270
  1.06287456 -44.69311142   -0.60   0.46   13.79   0.13    0.21   0.05   4.72     -34.5      -6.0     -78.4       271
  1.04195905 -44.70188141   -0.30   0.16   12.63   0.12    0.07   0.02   0.70     -35.2     -13.5    -131.9       272
  0.89312238 -44.89150238   -0.29   0.18   13.76   0.08    0.07   0.04   4.32     -43.9     -15.3     -61.4       273
  0.00182841 -45.07387543   -0.19   0.12   10.52   0.12    0.12   0.02   3.90     -35.0     -17.6    -168.1       274
  0.79262358 -44.80738831   -0.19   0.11    8.18   0.10    0.08   0.02   1.45     -36.5     -12.8    -159.6       275
  0.64146227 -45.44182587   -0.44   0.15   14.36   0.05    0.20   0.01  19.69     -50.2     -16.4    -332.7       276
  0.68550754 -44.69260406   -0.14   0.07    5.16   0.12    0.09   0.03   6.16     -44.7     -15.9    -141.5       277
  1.12864268 -44.53129196   -0.21   0.13   12.51   0.13    0.08   0.04   0.98     -36.1     -20.7     -64.4       278
  0.60599381 -44.89977264   -0.19   0.08   -0.76   0.16    0.11   0.03   4.12     -34.6     -11.8     -96.2       279
  0.65109235 -45.21559525   -0.47   0.30    9.98   0.26    0.13   0.02   1.52     -25.7      -6.4    -153.1       280
  1.16922355 -44.99890137   -0.32   0.25    9.33   0.23    0.11   0.06   1.29     -28.9     -13.6     -30.5       281
  0.26481980 -44.96271133   -0.49   0.45   13.75   0.11    0.16   0.06   2.21     -37.4      -9.9     -35.3       282
  0.40469411 -45.38319778   -0.25   0.15   13.44   0.08    0.08   0.03   4.19     -43.3     -17.6     -87.9       283
  1.05962801 -44.77907944   -0.49   0.17    8.59   0.13    0.12   0.02   0.41     -32.2      -1.1    -145.3       284
  0.44913706 -45.14225388   -0.73   0.06    3.74   0.23    0.19   0.04   0.70     -28.0     -14.7     -95.7       285
  1.39317858 -44.79504776   -0.27   0.20   11.85   0.26    0.13   0.08   1.84     -23.3     -17.6      -0.1       286
  1.47456813 -44.42266846   -0.34   0.26   13.46   0.11    0.21   0.04   3.73     -35.7     -14.3    -106.8       287
  0.45152646 -44.85846710   -0.33   0.17   11.98   0.17    0.11   0.03   1.16     -30.9     -12.6    -127.7       288
  0.61606318 -44.83238220   -0.28   0.11    5.94   0.16    0.18   0.04   0.55     -40.4      -9.2    -105.5       289
  0.44860539 -44.96752548   -0.58   0.43   13.94   0.07    0.22   0.03   0.54     -44.6      -9.0    -152.6       290
  0.72312677 -45.11802673   -0.42   0.08    7.10   0.13    0.10   0.07   0.51     -33.2     -11.9     -54.3       291
  1.27125847 -44.70216751   -0.32   0.11    9.52   0.11    0.11   0.01   3.03     -35.1      -7.1    -230.5       292
  0.65851492 -44.68053818   -0.44   0.13    6.36   0.19    0.16   0.05   0.20     -31.4      -5.8    -105.7       293
  0.32514828 -45.28177261   -0.75   0.50   14.04   0.08    0.22   0.03   1.93     -41.6      -7.8    -123.5       294
  0.91649193 -45.11524582   -0.38   0.17    9.18   0.16    0.13   0.01   0.91     -28.2      -5.8    -212.2       295
  0.02735856 -45.31395340   -0.25   0.18   13.07   0.14    0.15   0.07   2.48     -33.7     -18.6     -10.5       296
  0.16910556 -45.02654648   -0.41   0.32   10.28   0.28    0.12   0.07   0.47     -24.3     -10.5      -3.6       297
  1.21410859 -44.70194244   -0.74   0.57   13.90   0.10    0.22   0.05   3.11     -38.6      -6.8     -83.0       298
  1.24743199 -44.91537857   -0.51   0.12    6.48   0.17    0.17   0.05   3.26     -33.6      -6.1    -125.3       299
  0.96690816 -45.19171524   -0.19   0.12   12.01   0.14    0.14   0.05   1.41     -35.9     -22.9     -43.6       300
  1.48711908 -44.86669922   -0.69   0.14    5.78   0.21    0.09   0.05   4.11     -33.0      -3.7     -70.2       301
  1.32869446 -44.55463409   -0.48   0.11    4.37   0.28    0.16   0.05   2.05     -26.7      -7.4     -42.6       302
  0.22816436 -45.12672806   -0.35   0.21    8.52   0.19    0.08   0.02   1.44     -27.3      -7.6    -154.2       303
  0.69257241 -45.15887833   -0.23   0.15   12.91   0.11    0.19   0.03   0.09     -39.1     -19.3     -95.2       304
  1.05937052 -44.91166306   -0.21   0.13   10.21   0.13    0.12   0.02   0.44     -35.4     -16.0    -202.3       305
  1.12453771 -44.94513321   -0.45   0.16   12.38   0.13    0.11   0.03   0.56     -34.4     -12.9    -124.5       306
  0.42955279 -45.26617050   -0.38   0.19    8.20   0.15    0.12   0.03   0.36     -29.2      -4.1    -112.8       307
  1.05041456 -45.22814178   -0.19   0.12   12.02   0.16    0.12   0.07   2.03     -32.8     -23.7      -1.3       308
  0.71398300 -44.64614105   -0.38   0.30   10.76   0.27    0.16   0.07   0.38     -23.9     -11.7      -9.3       309
  1.19607282 -44.50194931   -0.22   0.14    9.52   0.14    0.11   0.02   3.30     -35.7     -16.8    -210.1       310
  1.35111988 -44.72078323   -0.29   0.19   13.06   0.11    0.20   0.03   0.37     -38.5     -16.2    -123.1       311
  0.54942352 -45.21810913   -0.30   0.09    2.85   0.16    0.15   0.05   1.71     -33.8      -9.4     -28.6       312
  0.31415370 -45.18865585   -0.34   0.26   13.41   0.14    0.21   0.05   1.03     -32.2     -14.2     -79.1       313
  1.28560305 -44.54396820   -0.21   0.14   11.82   0.16    0.09   0.07   2.70     -31.2     -21.5     -21.9       314
  0.71988946 -44.95040894   -0.26   0.15    6.52   0.18    0.20   0.05   8.65     -31.0     -15.3     -87.8       315
  1.02430046 -44.86296844   -0.30   0.21   12.92   0.14    0.22   0.05   0.79     -34.1     -15.5     -76.3       316
  1.20880306 -44.46138000   -0.24   0.15   11.46   0.15    0.08   0.03   0.12     -35.0     -17.8    -124.0       317
  1.19528306 -45.04838562   -0.38   0.20   12.09   0.20    0.15   0.06   0.08     -30.2     -13.1     -28.8       318
  0.12476496 -45.05321884   -0.28   0.21   13.42   0.13    0.14   0.07   1.95     -34.6     -16.7      -4.0       319
  0.84917521 -45.31521988   -0.21   0.12   11.76   0.13    0.22   0.04   1.09     -36.8     -21.4     -89.8       320
  0.24326357 -44.94294739   -0.40   0.08    7.20   0.10    0.07   0.06   0.41     -38.3     -11.7     -74.3       321
  1.33241606 -44.81229401   -0.47   0.44    8.32   0.34    0.11   0.04   5.02     -24.8      -6.6     -51.8       322
  0.35672018 -45.44003677   -0.37   0.17   12.21   0.16    0.15   0.04   2.49     -33.2     -14.6     -91.3       323
  0.64359313 -45.43630219   -0.28   0.18   10.61   0.18    0.09   0.03   1.80     -32.1     -14.7    -112.4       324
  1.14738739 -45.00133514   -0.19   0.11    8.23   0.12    0.14   0.03   1.95     -34.1     -15.5    -143.3       325
  0.65014249 -44.89928436   -0.41   0.11    4.81   0.26    0.16   0.05   6.35     -27.5      -6.0     -34.7       326
  0.36940205 -44.94437790   -0.32   0.23   11.98   0.28    0.13   0.07   3.39     -21.9     -15.1      -0.4       327
  0.20842476 -45.58737564   -0.31   0.14    7.44   0.10    0.10   0.07   0.07     -34.2      -6.9     -34.5       328
  1.43597126 -44.88133240   -0.44   0.15    8.63   0.13    0.10   0.02   0.56     -36.4      -2.7    -154.9       329
  0.18571410 -45.44823837   -0.27   0.11    4.95   0.23    0.18   0.05   0.46     -25.7     -13.0     -59.2       330
  0.04861746 -45.68314743   -0.21   0.14   13.06   0.13    0.10   0.06   1.33     -35.7     -21.7     -17.3       331
  0.17274866 -45.67394638   -0.31   0.21   12.81   0.14    0.14   0.05   0.35     -34.3     -15.0     -23.0       332
  0.97506952 -44.57031631   -0.19   0.11   10.89   0.11    0.10   0.02   2.44     -37.3     -18.9    -202.3       333
  0.80040759 -45.06526566   -0.31   0.20   10.15   0.19    0.12   0.02   2.18     -29.7     -11.7    -153.2       334
  0.75287247 -45.28489685   -0.35   0.25   13.35   0.11    0.19   0.05   1.82     -36.7     -13.7     -53.4       335
  1.35995102 -44.84356689   -0.29   0.21   13.37   0.13    0.17   0.06   0.09     -33.6     -16.8     -32.1       336
  0.99244964 -44.90084457   -0.50   0.40   13.71   0.13    0.19   0.05   0.40     -33.8      -8.4     -67.4       337
  0.91045082 -45.00158310   -0.33   0.05    3.33   0.10    0.03   0.03   6.18     -37.0     -17.6    -135.9       338
  0.52488363 -45.09584808   -0.29   0.22   13.43   0.13    0.19   0.07   0.68     -35.1     -15.9     -31.0       339
  0.84407538 -44.96615982   -0.31   0.17    7.79   0.10    0.10   0.04   1.10     -38.0      -2.2     -73.4       340
  1.08071363 -44.96658325   -0.19   0.11   11.85   0.12    0.20   0.04   2.07     -38.4     -23.0     -94.6       341
  0.12119564 -45.57036591   -0.27   0.17   11.60   0.17    0.13   0.04   0.57     -33.4     -16.6     -77.6       342
  1.19900584 -44.76642990   -0.32   0.20   10.61   0.19    0.09   0.02   0.20     -30.7     -12.4    -153.5       343
  1.44816864 -44.22089005   -0.42   0.15    6.12   0.21    0.12   0.05   0.76     -30.6      -5.0     -77.4       344
  0.66541284 -44.86906815   -0.43   0.06   12.25   0.05    0.10   0.02   0.65     -43.6     -17.8    -145.3       345
  0.05410809 -45.44070053   -0.25   0.16   12.74   0.13    0.16   0.04   0.45     -36.7     -17.5     -62.9       346
  0.87576556 -45.12044144   -0.53   0.23   12.28   0.18    0.13   0.04   2.37     -32.0     -11.4     -69.1       347
  1.43357003 -44.40651703   -0.42   0.30   11.27   0.25    0.12   0.03  15.25     -28.1      -9.1    -121.8       348
  1.33615005 -44.43630219   -0.71   0.56   13.88   0.11    0.18   0.05   0.76     -37.8      -7.1     -54.0       349
  0.20288686 -44.97520447   -0.48   0.07    4.16   0.25    0.07   0.04   3.46     -27.9     -12.6     -74.9       350
  0.26722425 -44.93676758   -0.66   0.47   14.00   0.09    0.20   0.04   0.62     -40.8      -8.2     -84.7       351
  0.70990580 -45.01149368   -0.21   0.10    5.33   0.18    0.20   0.04   1.41     -37.2      -9.7     -95.5       352
  0.82647610 -44.96763992   -0.50   0.43    9.42   0.34    0.15   0.06   2.99     -24.2      -6.7     -34.0       353
  0.78358221 -45.21839905   -0.13   0.05    6.35   0.08    0.16   0.03  14.22     -47.4     -17.9    -131.3       354
  0.69803512 -44.63776398   -0.35   0.12   10.16   0.12    0.11   0.01   0.74     -33.4      -7.3    -199.4       355
  0.06525917 -44.98499298   -0.37   0.29    9.70   0.26    0.17   0.07   0.47     -26.3     -11.8     -16.4       356
  0.96818274 -44.59271240   -0.23   0.15   12.99   0.10    0.18   0.03   1.08     -39.7     -18.9     -91.7       357
  1.13659191 -44.97639084   -0.28   0.14    5.51   0.23    0.19   0.05   2.42     -35.1      -5.6     -77.7       358
  0.38942459 -45.21831512   -0.23   0.15   12.60   0.14    0.11   0.05   0.53     -34.6     -19.1     -26.3       359
  1.24778056 -44.84241867   -0.28   0.11    7.71   0.07    0.07   0.03   2.95     -44.0      -6.3     -82.0       360
  0.29497883 -45.29786682   -0.43   0.12    6.55   0.19    0.10   0.06   1.68     -31.8      -5.6     -88.8       361
  0.39447540 -44.82895660   -0.25   0.14   12.05   0.15    0.17   0.03   0.24     -34.5     -17.8    -102.3       362
  0.69350570 -44.87944794   -0.38   0.28   13.53   0.11    0.18   0.06   2.51     -37.5     -12.5     -40.3       363
  1.21187031 -44.80838013   -0.27   0.20   13.31   0.13    0.14   0.07   0.29     -34.7     -17.1      -6.2       364
  0.92313063 -45.21089172   -0.95   0.49   14.00   0.09    0.21   0.03   0.82     -38.5      -3.2    -150.1       365
  1.07908189 -45.20833206   -0.39   0.31   13.47   0.19    0.18   0.06   2.29     -27.6     -12.4     -41.6       366
  1.22403634 -44.53964233   -0.20   0.14   12.68   0.17    0.15   0.08   2.92     -30.2     -22.7      -1.5       367
  1.34732628 -44.36035156   -0.19   0.06    6.30   0.08    0.20   0.03   0.41     -45.1     -16.0    -157.5       368
  0.50698107 -44.88689423   -0.32   0.20   10.41   0.19    0.13   0.02   0.31     -31.3     -12.7    -182.4       369
  0.19333757 -45.47845078   -0.30   0.22   12.21   0.29    0.14   0.08   1.40     -21.4     -16.5      -1.0       370
  1.10014331 -45.11903000   -0.29   0.16   10.69   0.15    0.09   0.02   0.42     -30.9     -11.3    -190.3       371
  1.15144646 -44.47694778   -0.34   0.25   11.08   0.25    0.13   0.07   0.56     -25.0     -13.8      -0.7       372
  0.69164574 -45.15362549   -0.32   0.21   11.26   0.20    0.15   0.03   0.17     -31.0     -12.9    -132.0       373
  1.32360148 -44.94485474   -0.16   0.09   10.87   0.10    0.08   0.02   7.26     -40.5     -22.3    -189.5       374
  0.36564150 -45.38547897   -0.30   0.21   11.61   0.24    0.15   0.08   0.02     -24.9     -16.0      -2.8       375
  0.25558716 -45.32113266   -0.32   0.21   11.40   0.19    0.15   0.03   0.17     -31.5     -13.6    -110.6       376
  0.68756634 -44.86819077   -0.24   0.16   10.55   0.16    0.11   0.02   1.79     -35.6     -18.0    -149.5       377
  0.29910094 -44.96724701   -0.26   0.10    7.28   0.08    0.15   0.06   1.42     -41.1      -8.2     -44.2       378
  1.07383478 -44.49337769   -0.36   0.20   13.58   0.09    0.19   0.04   8.67     -42.1     -12.8     -73.8       379
  0.15938383 -45.54781723   -0.25   0.11    4.27   0.27    0.15   0.05   0.42     -27.4      -6.5     -49.0       380
  0.21719554 -45.22724915   -0.35   0.12   12.23   0.11    0.12   0.02   2.10     -35.7     -15.5    -119.8       381
  0.40227818 -45.40966797   -0.34   0.16   10.93   0.15    0.11   0.01   4.78     -29.5      -8.5    -193.2       382
  0.64423811 -45.32584381   -0.29   0.17    9.89   0.16    0.15   0.01   7.90     -30.5     -10.8    -223.3       383
  0.06360830 -45.26430893   -0.34   0.20   12.69   0.15    0.16   0.05   0.49     -33.9     -13.4     -41.6       384
  0.17113851 -45.02185059   -0.17   0.10   11.47   0.11    0.13   0.02   7.40     -39.6     -23.5    -123.3       385
  0.69083792 -45.27278519   -0.22   0.14   10.62   0.14    0.17   0.02   1.49     -36.5     -18.4    -197.2       386
  1.10916555 -44.46480179   -0.23   0.15   11.08   0.16    0.12   0.03   2.21     -35.0     -18.7     -88.8       387
  0.26073730 -45.51445389   -0.26   0.13    8.92   0.12    0.12   0.02   1.86     -32.3      -8.4    -178.6       388
  0.63734758 -44.73699951   -1.11   0.60   14.04   0.09    0.23   0.02   0.45     -40.1      -8.1    -189.3       389
  0.02356850 -45.59134674   -0.20   0.13   12.59   0.12    0.19   0.04   0.47     -37.2     -22.2     -79.2       390
  1.25262201 -45.11498260   -0.24   0.12    4.26   0.28    0.16   0.05   0.21     -27.7      -7.6     -54.2       391
  0.53360146 -45.37064743   -0.25   0.14    8.04   0.11    0.09   0.02   0.92     -34.6      -6.6    -145.3       392
  0.31995139 -44.89415359   -0.30   0.10    2.91   0.20    0.12   0.07   0.53     -30.1      -8.3      -9.5       393
  0.47781554 -44.85132980   -0.27   0.17   11.60   0.18    0.11   0.05   0.56     -32.4     -16.8     -30.1       394
  0.15972084 -45.62963104   -0.22   0.15   12.37   0.16    0.10   0.06   0.55     -32.4     -20.3     -14.2       395
  1.46914876 -44.52928162   -0.29   0.20   11.40   0.23    0.09   0.07   2.18     -25.1     -16.4     -11.0       396
  0.93364334 -44.76015091   -0.48   0.20   10.56   0.18    0.16   0.02   0.64     -26.8      -4.8    -199.1       397
  0.75490057 -44.80721664   -0.47   0.10    6.66   0.14    0.09   0.04   1.73     -31.4      -9.8    -131.6       398
  0.04251336 -45.04976654   -0.14   0.07   12.77   0.07    0.11   0.02   2.05     -42.5     -26.9    -129.9       399
  0.27454463 -45.42804337   -0.40   0.19   13.93   0.08    0.20   0.04   6.35     -46.2     -13.9    -104.3       400
  1.40510881 -44.92805862   -0.31   0.16    8.23   0.14    0.11   0.03   0.26     -30.7      -5.0    -133.5       401
  0.07310612 -45.57003403   -0.81   0.50   13.93   0.12    0.24   0.04   2.86     -34.8      -4.6    -131.0       402
  1.39293540 -44.95840836   -0.26   0.17   13.43   0.10    0.15   0.05   0.48     -39.6     -17.0     -39.2       403
  0.76661557 -44.94454575   -0.32   0.18   10.32   0.18    0.10   0.01   0.07     -29.2      -9.4    -200.2       404
  0.61210090 -44.71832275   -0.25   0.17   12.60   0.15    0.19   0.05   3.35     -33.4     -18.7     -72.8       405
  1.00378931 -44.82547760   -0.31   0.21   10.18   0.20    0.12   0.03   0.24     -31.3     -13.5    -117.2       406
  0.00357552 -45.43925476   -0.33   0.23   10.77   0.23    0.17   0.07   0.16     -26.7     -14.2     -15.9       407
  0.11880266 -45.05622482   -0.18   0.12   12.75   0.10    0.14   0.04   0.41     -39.2     -23.3     -81.0       408
  0.54997301 -45.08363342   -0.17   0.09    5.09   0.16    0.11   0.04   0.88     -34.0     -12.4     -81.2       409
  0.37257740 -45.11606216   -0.25   0.15    8.74   0.15    0.11   0.02   0.93     -31.7     -12.8    -189.1       410
  0.49068514 -44.96865845   -0.46   0.17   10.22   0.15    0.12   0.02   1.41     -29.4      -4.9    -162.7       411
  1.21616745 -45.06750107   -0.27   0.18   12.46   0.17    0.20   0.06   0.04     -32.2     -17.2     -53.3       412
  1.17015517 -44.39766693   -0.17   0.08    4.93   0.17    0.12   0.04   5.29     -37.9     -11.9     -76.9       413
  0.07293371 -45.19898224   -0.31   0.20   13.63   0.09    0.08   0.05   0.07     -41.8     -14.6     -33.9       414
  0.11879981 -45.20135498   -0.32   0.27   13.48   0.13    0.18   0.07   0.03     -34.6     -14.8     -28.8       415
  1.19803524 -44.82078552   -0.16   0.08    2.54   0.15    0.16   0.04   0.78     -32.0     -12.8     -61.0       416
  0.94280064 -44.72388458   -0.29   0.18   11.42   0.18    0.14   0.03   3.34     -32.5     -14.8    -102.9       417
  1.29202580 -44.90995407   -0.50   0.41   13.72   0.13    0.20   0.05   0.97     -33.5      -8.3     -78.7       418
  0.01771401 -45.18930054   -0.30   0.13    5.59   0.21    0.10   0.05   2.22     -27.6     -11.5     -74.2       419
  1.19117510 -44.64017105   -0.22   0.15   12.68   0.15    0.09   0.06   0.50     -33.8     -20.2     -26.4       420
  0.94934350 -45.12512970   -0.17   0.11   12.63   0.10    0.15   0.03   0.59     -38.6     -23.3     -99.5       421
  0.10684658 -45.43029022   -0.32   0.22   11.91   0.21    0.13   0.06   0.13     -29.2     -14.2     -17.1       422
  0.66609174 -45.09376526   -0.50   0.44    7.90   0.35    0.13   0.06   0.54     -23.4      -5.8      -5.2       423
  0.97656131 -44.64580917   -0.19   0.12   13.10   0.12    0.12   0.06   5.73     -36.8     -23.8     -15.5       424
  1.20608652 -44.42570496   -0.30   0.15   11.21   0.15    0.09   0.02   0.24     -30.6     -11.1    -171.2       425
  1.08813548 -44.85666275   -0.20   0.12    9.60   0.12    0.10   0.02   0.90     -36.0     -16.6    -204.3       426
  0.58743399 -45.21230316   -0.23   0.15   11.01   0.15    0.13   0.03  12.73     -34.7     -18.0    -136.8       427
  0.17959359 -45.67557907   -0.28   0.18   11.27   0.18    0.14   0.03   0.03     -32.8     -15.6     -90.3       428
  0.12309817 -45.01586914   -0.36   0.30   13.60   0.11    0.20   0.04   0.85     -36.1     -13.4     -98.9       429
  0.54881549 -44.76484680   -0.24   0.16   12.82   0.12    0.13   0.04   3.44     -37.7     -18.5     -73.1       430
  0.67366481 -44.64303589   -0.17   0.10   12.18   0.13    0.09   0.05   1.80     -36.1     -25.7     -43.5       431
  0.26495010 -45.54531097   -0.34   0.24    7.42   0.24    0.16   0.06  10.33     -27.5     -11.1     -34.6       432
  0.51040083 -44.84589386   -0.38   0.19   13.91   0.05    0.20   0.03   0.34     -49.8     -13.2    -125.0       433
  1.38503337 -44.84814453   -0.82   0.51   14.13   0.09    0.22   0.02   3.98     -41.6      -7.7    -222.0       434
  0.88123137 -45.29005814   -0.29   0.21   13.28   0.13    0.16   0.06   2.97     -35.2     -16.0     -20.9       435
  0.08420280 -45.00841522   -0.31   0.23   13.39   0.12    0.15   0.06   0.04     -36.1     -15.0     -17.4       436
  0.28893676 -44.98669815   -0.11   0.04    4.67   0.11    0.17   0.04   4.57     -41.5     -21.4     -99.1       437
  0.25910816 -45.04360580   -0.16   0.07    4.73   0.17    0.10   0.04   0.94     -34.6     -13.9     -65.9       438
  0.97609085 -44.51737213   -0.29   0.21   11.90   0.26    0.14   0.08   0.03     -23.1     -16.4      -0.9       439
  1.11754131 -44.49111557   -0.22   0.15   13.39   0.10    0.15   0.05   5.49     -39.3     -20.1     -30.3       440
  0.23677486 -45.01270294   -0.20   0.11    5.28   0.18    0.11   0.04   3.65     -38.3      -8.7     -88.8       441
  0.60874146 -44.72167206   -0.23   0.12   11.72   0.12    0.11   0.02   1.06     -33.8     -15.0    -183.5       442
  0.04495190 -45.61508560   -0.28   0.18   11.35   0.18    0.19   0.04   0.06     -32.5     -16.1     -68.4       443
  0.47941941 -45.28813934   -0.17   0.05    3.48   0.18    0.15   0.04   1.23     -31.4     -17.0     -78.3       444
  0.62583727 -44.90097427   -0.23   0.15   11.47   0.15    0.18   0.04   0.75     -35.4     -18.9     -86.0       445
  0.69097364 -44.89219666   -0.19   0.12   12.84   0.10    0.14   0.04   0.50     -39.5     -22.5     -93.7       446
  0.39151883 -45.28781509   -0.14   0.06    6.57   0.11    0.12   0.06   0.79     -34.4     -18.2     -72.5       447
  0.66949010 -44.74743652   -0.13   0.05    3.54   0.17    0.11   0.03   1.86     -28.7     -20.0    -126.9       448
  0.24074258 -44.95530319   -0.21   0.13   10.23   0.14    0.13   0.02   5.49     -34.8     -17.1    -173.6       449
  1.06338394 -44.55078125   -0.24   0.16   12.94   0.11    0.14   0.03   1.73     -38.6     -18.1     -82.0       450
  0.08811238 -45.32587814   -0.26   0.17   10.36   0.16    0.16   0.02   2.08     -34.0     -15.6    -201.3       451
  0.16118751 -45.26769638   -0.44   0.16   14.20   0.10    0.24   0.02   5.94     -40.9     -15.9    -183.9       452
  1.24252033 -44.62310791   -0.18   0.10    7.69   0.08    0.15   0.03   0.90     -39.8     -11.2    -134.6       453
  0.00337350 -45.03911209   -0.22   0.15   12.73   0.15    0.12   0.06   0.67     -33.8     -20.1      -8.7       454
  0.08917742 -45.03616714   -0.37   0.28   13.64   0.11    0.18   0.06   0.55     -37.3     -12.9     -36.5       455
  1.00521767 -44.70499420   -0.19   0.10   12.52   0.09    0.11   0.02   3.93     -38.3     -20.0    -121.6       456
  0.43956751 -45.08470154   -0.19   0.11   11.71   0.12    0.16   0.03   0.96     -37.6     -21.6    -115.9       457
  0.21628560 -44.92812347   -0.19   0.12   12.44   0.14    0.10   0.05   0.51     -35.5     -23.2     -44.4       458
  1.11559021 -44.46901703   -0.22   0.14   11.21   0.14    0.14   0.02   0.97     -36.3     -19.3    -135.1       459
  0.05529456 -45.21203613   -0.39   0.18   14.29   0.07    0.11   0.02   6.33     -45.4     -12.6    -133.6       460
