      glon       glat        FeHEst FeHUnc  MrEst  MrUnc  ArEst  ArUnc  chi2min    MrdS     FeHdS      ArdS 
  0.72810787 -44.60675812   -0.27   0.09    4.12   0.24    0.15   0.04   0.56     -28.1      -9.1     -73.2        52
  1.00079238 -44.90487671   -0.27   0.15    9.75   0.14    0.14   0.02   1.48     -30.8     -10.2    -188.9        53
  1.34408951 -44.91942978   -0.29   0.16   13.75   0.06    0.18   0.03   1.53     -46.0     -15.4     -92.2        54
  0.66340947 -45.16097260   -0.22   0.12   11.62   0.12    0.13   0.02   0.57     -35.4     -17.2    -182.5        55
  1.20744920 -44.45973969   -0.44   0.17   14.11   0.09    0.20   0.02   1.61     -42.4     -15.2    -154.6        56
  0.35481703 -44.98911285   -0.31   0.16    8.36   0.13    0.10   0.03   3.15     -31.0      -5.0    -134.6        57
  0.22330672 -45.03119659   -0.36   0.20   13.63   0.07    0.09   0.03   0.12     -44.3     -11.7     -88.0        58
  0.20981176 -45.06930161   -0.30   0.18   11.34   0.18    0.09   0.03   1.19     -30.3     -12.4    -136.2        59
  1.33245468 -44.89322281   -0.34   0.24   11.29   0.21    0.16   0.04   1.58     -30.4     -12.5     -95.6        60
  1.44410646 -44.66015244   -0.22   0.12    7.62   0.08    0.08   0.04   0.42     -37.9      -8.8     -95.2        61
  0.42584506 -45.38196182   -0.30   0.17   10.21   0.17    0.14   0.02   0.68     -28.9      -6.9    -204.1        62
  0.95485151 -45.13250351   -0.15   0.08    9.93   0.08    0.07   0.02   3.71     -38.2     -19.5    -172.5        63
  0.05748185 -45.10104370   -0.22   0.15   13.18   0.11    0.09   0.05   7.73     -37.3     -20.2     -14.0        64
  0.52132285 -45.42434311   -0.34   0.19   13.63   0.08    0.10   0.05   5.82     -42.7     -13.5     -41.7        65
  0.74225235 -44.62070847   -0.38   0.05    3.46   0.17    0.08   0.04   0.16     -32.7     -16.0     -59.7        66
  0.61252534 -45.32077789   -0.37   0.22   13.02   0.12    0.15   0.02   3.24     -35.9      -9.5    -122.3        67
  0.89339769 -44.52449799   -0.16   0.06   11.84   0.06    0.05   0.02   0.72     -44.2     -15.9    -140.6        68
  0.68592411 -44.98632812   -0.39   0.07    7.08   0.10    0.14   0.06   3.34     -37.3     -12.0     -58.6        69
  0.11463055 -45.08898544   -0.45   0.18   14.09   0.08    0.20   0.03   1.76     -43.7     -13.7    -130.1        70
  1.18491757 -44.41105270   -0.22   0.14    9.87   0.14    0.11   0.02   2.77     -33.2     -16.3    -151.1        71
  1.24630964 -44.75738525   -0.26   0.11    4.40   0.27    0.13   0.05   0.84     -27.4      -6.1     -28.4        72
  0.57915038 -45.41328430   -0.18   0.10    1.48   0.17    0.13   0.04   0.74     -33.4     -10.4     -66.2        73
  0.09839605 -45.19521332   -0.22   0.07    3.96   0.20    0.09   0.03   1.44     -30.3     -12.5    -103.5        74
  1.10825181 -45.09240723   -0.23   0.14   12.46   0.13    0.14   0.03   0.67     -35.8     -18.8     -97.2        75
  1.03058934 -44.65036774   -0.38   0.08    9.48   0.08    0.09   0.01   0.40     -41.0     -11.4    -210.3        76
  1.25804627 -44.45928192   -0.12   0.04    6.21   0.08    0.11   0.04   2.46     -45.4     -20.7    -134.4        77
  0.97769314 -44.95032883   -0.20   0.13   12.58   0.13    0.14   0.05   0.78     -36.2     -21.4     -42.9        78
  0.91409039 -44.87197876   -0.32   0.17   14.02   0.09    0.13   0.03   1.07     -41.8     -14.4     -88.6        79
  0.56167734 -45.24970627   -0.20   0.13   12.40   0.13    0.07   0.04   1.85     -36.7     -21.9     -72.6        80
