#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2461 6.6437E-04 6.6437E-04  -1.40   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=130 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.726            NaN         0.0000
  2 -1.627            NaN         0.0000
  3 -1.527            NaN         1.2885
  4 -1.427            NaN         1.3340
  5 -1.326         1.2744         1.2943
  6 -1.226         1.5901         1.3033
  7 -1.127         1.7810         1.3320
  8 -1.027         1.7437         1.3320
  9 -0.927         1.4727         1.3320
 10 -0.826         1.6160         1.0645
 11 -0.726         1.8735         1.5241
 12 -0.627         2.0510         1.5768
 13 -0.527         2.1817         1.5963
 14 -0.427         2.2827         1.5998
 15 -0.326         2.3633         1.5920
 16 -0.226         2.4290         1.5769
 17 -0.127         2.4845         1.5631
 18 -0.027         2.5371         1.5949
 19  0.073         2.5903         1.6519
 20  0.174         2.6459         1.7256
 21  0.274         2.7025         1.7894
 22  0.373         2.7507         1.7722
 23  0.473         2.8002         1.8321
 24  0.573         2.8509         1.8938
 25  0.674         2.8953         1.8828
 26  0.774         2.9357         1.8839
 27  0.873         2.9743         1.9045
 28  0.973         3.0109         1.9174
 29  1.073         3.0464         1.9418
 30  1.174         3.0817         1.9737
 31  1.274         3.1173         2.0133
 32  1.373         3.1519         2.0363
 33  1.473         3.1817         2.0035
 34  1.573         3.2088         1.9910
 35  1.674         3.2384         2.0567
 36  1.774         3.2635         2.0133
 37  1.873         3.3720         2.7165
 38  1.973         3.4340         2.5576
 39  2.074         3.4757         2.4373
 40  2.174         3.4950         2.1350
 41  2.274         3.5129         2.1175
 42  2.373         3.5302         2.1220
 43  2.473         3.5468         2.1201
 44  2.574         3.5631         2.1310
 45  2.674         3.5798         2.1563
 46  2.774         3.5967         2.1786
 47  2.873         3.6138         2.2007
 48  2.973         3.6312         2.2246
 49  3.074         3.6488         2.2472
 50  3.174         3.6667         2.2741
 51  3.274         3.6845         2.2865
 52  3.373         3.7014         2.2841
 53  3.474         3.7180         2.2915
 54  3.574         3.7337         2.2844
 55  3.674         3.7458         2.1834
 56  3.774         3.7579         2.1981
 57  3.873         3.7701         2.2130
 58  3.974         3.7824         2.2283
 59  4.074         3.7948         2.2439
 60  4.174         3.8073         2.2599
 61  4.274         3.8199         2.2761
 62  4.373         3.8326         2.2927
 63  4.474         3.8454         2.3097
 64  4.574         3.8584         2.3270
 65  4.674         3.8715         2.3452
 66  4.774         3.8848         2.3625
 67  4.873         3.8981         2.3770
 68  4.974         3.9113         2.3887
 69  5.074         3.9244         2.3974
 70  5.174         3.9373         2.4037
 71  5.274         3.9502         2.4162
 72  5.373         3.9630         2.4270
 73  5.474         3.9756         2.4328
 74  5.574         3.9879         2.4333
 75  5.674         3.9997         2.4285
 76  5.774         4.0110         2.4210
 77  5.873         4.0220         2.4183
 78  5.974         4.0328         2.4219
 79  6.074         4.0435         2.4320
 80  6.174         4.0544         2.4484
 81  6.274         4.0654         2.4620
 82  6.373         4.0724         2.2753
 83  6.474         4.0758         1.9688
 84  6.574         4.0810         2.1631
 85  6.674         4.0880         2.2872
 86  6.774         4.0963         2.3729
 87  6.874         4.1032         2.3056
 88  6.974         4.1090         2.2281
 89  7.074         4.1183         2.4437
 90  7.174         4.1280         2.4752
 91  7.274         4.1388         2.5288
 92  7.373         4.1505         2.5737
 93  7.474         4.1629         2.6123
 94  7.574         4.1759         2.6458
 95  7.674         4.1915         2.7382
 96  7.774         4.2437         3.2975
 97  7.873         4.2940         3.3328
 98  7.974         4.3401         3.3439
 99  8.074         4.3810         3.3347
100  8.174         4.4197         3.3498
101  8.274         4.4543         3.3391
102  8.373         4.4844         3.3093
103  8.474         4.5105         3.2765
104  8.574         4.5337         3.2496
105  8.674         4.5541         3.2175
106  8.774         4.5727         3.1947
107  8.873         4.5905         3.1925
108  8.974         4.6086         3.2206
109  9.074         4.6283         3.2759
110  9.174         4.6493         3.3222
111  9.274         4.6684         3.3037
112  9.373         4.6863         3.2923
113  9.474         4.7052         3.3336
114  9.574         4.7237         3.3437
115  9.674         4.7417         3.3513
116  9.774         4.7594         3.3602
117  9.873         4.7768         3.3706
118  9.974         4.7940         3.3826
119 10.074         4.8110         3.3961
120 10.174         4.8280         3.4113
121 10.274         4.8449         3.4281
122 10.373         4.8620         3.4466
123 10.474         4.8790         3.4643
124 10.574         4.8958         3.4762
125 10.674         4.9126         3.4914
126 10.774         4.9295         3.5109
127 10.873         4.9467         3.5348
128 10.974         4.9643         3.5626
129 11.074         4.9821         3.5875
130 11.174         5.0000         3.6056


#AGE= 0.100 BINS=128 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.415            NaN         3.6056
  2 -1.315            NaN         3.6056
  3 -1.215            NaN         0.8261
  4 -1.115            NaN         1.3366
  5 -1.015            NaN         1.2972
  6 -0.915            NaN         1.3378
  7 -0.815         0.3952         1.3390
  8 -0.715            NaN         1.3390
  9 -0.615            NaN         0.9874
 10 -0.515        -0.3959         1.5491
 11 -0.415         1.6120         1.6077
 12 -0.315         1.9193         1.6245
 13 -0.215         2.0969         1.6226
 14 -0.115         2.2193         1.6096
 15 -0.015         2.3108         1.5895
 16  0.085         2.3884         1.6022
 17  0.185         2.4612         1.6497
 18  0.285         2.5360         1.7351
 19  0.385         2.6081         1.7925
 20  0.485         2.6761         1.8374
 21  0.585         2.7487         1.9361
 22  0.685         2.8094         1.9245
 23  0.785         2.8614         1.9142
 24  0.885         2.9085         1.9206
 25  0.985         2.9514         1.9244
 26  1.085         2.9915         1.9370
 27  1.185         3.0299         1.9572
 28  1.285         3.0675         1.9865
 29  1.385         3.1052         2.0256
 30  1.485         3.1429         2.0622
 31  1.585         3.1751         2.0298
 32  1.685         3.2039         2.0102
 33  1.785         3.2367         2.0986
 34  1.885         3.2597         1.9731
 35  1.985         3.3918         2.8103
 36  2.085         3.4199         2.2168
 37  2.185         3.4640         2.4488
 38  2.285         3.4847         2.1537
 39  2.385         3.5034         2.1279
 40  2.485         3.5213         2.1265
 41  2.585         3.5384         2.1259
 42  2.685         3.5551         2.1316
 43  2.785         3.5720         2.1537
 44  2.885         3.5891         2.1768
 45  2.985         3.6064         2.1982
 46  3.085         3.6240         2.2217
 47  3.185         3.6417         2.2443
 48  3.285         3.6598         2.2709
 49  3.385         3.6777         2.2833
 50  3.485         3.6948         2.2814
 51  3.585         3.7116         2.2903
 52  3.685         3.7266         2.2573
 53  3.785         3.7388         2.1828
 54  3.885         3.7511         2.1973
 55  3.985         3.7635         2.2121
 56  4.085         3.7760         2.2272
 57  4.185         3.7885         2.2426
 58  4.285         3.8011         2.2583
 59  4.385         3.8139         2.2744
 60  4.485         3.8267         2.2909
 61  4.585         3.8396         2.3076
 62  4.685         3.8527         2.3248
 63  4.785         3.8659         2.3425
 64  4.885         3.8793         2.3605
 65  4.985         3.8927         2.3759
 66  5.085         3.9061         2.3883
 67  5.185         3.9193         2.3976
 68  5.285         3.9324         2.4038
 69  5.385         3.9454         2.4153
 70  5.485         3.9584         2.4266
 71  5.585         3.9711         2.4324
 72  5.685         3.9835         2.4329
 73  5.785         3.9954         2.4277
 74  5.885         4.0068         2.4201
 75  5.985         4.0179         2.4182
 76  6.085         4.0288         2.4230
 77  6.185         4.0397         2.4346
 78  6.285         4.0508         2.4516
 79  6.385         4.0618         2.4630
 80  6.485         4.0729         2.4744
 81  6.585         4.0792         2.2391
 82  6.685         4.0799         1.2619
 83  6.785         4.0841         2.0640
 84  6.885         4.0909         2.2837
 85  6.985         4.0966         2.2089
 86  7.085         4.1036         2.3094
 87  7.185         4.1130         2.4416
 88  7.285         4.1238         2.5173
 89  7.385         4.1358         2.5717
 90  7.485         4.1487         2.6151
 91  7.585         4.1623         2.6508
 92  7.685         4.1765         2.6843
 93  7.785         4.1922         2.7407
 94  7.885         4.2082         2.7668
 95  7.985         4.2603         3.3139
 96  8.085         4.3095         3.3389
 97  8.185         4.3559         3.3615
 98  8.285         4.3996         3.3809
 99  8.385         4.4378         3.3630
