#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2456 3.3108E-04 3.3108E-04  -1.70   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=126 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.738            NaN         0.0000
  2 -1.638            NaN         0.0000
  3 -1.538            NaN         0.0000
  4 -1.438            NaN         0.0000
  5 -1.338            NaN         0.0000
  6 -1.238            NaN         0.0000
  7 -1.138            NaN         0.0000
  8 -1.038            NaN        -0.4085
  9 -0.938            NaN         1.2224
 10 -0.838            NaN         1.1671
 11 -0.738            NaN         0.8761
 12 -0.638            NaN         0.9586
 13 -0.538            NaN         1.3397
 14 -0.438            NaN         1.4331
 15 -0.338            NaN         1.4602
 16 -0.238            NaN         1.4513
 17 -0.138         1.3348         1.4181
 18 -0.038         1.6970         1.4496
 19  0.062         1.8944         1.4570
 20  0.162         2.0293         1.4558
 21  0.262         2.1568         1.5624
 22  0.362         2.2618         1.5938
 23  0.462         2.3468         1.5964
 24  0.562         2.4539         1.7935
 25  0.662         2.5500         1.8478
 26  0.762         2.6363         1.8921
 27  0.862         2.7228         1.9796
 28  0.962         2.8118         2.0796
 29  1.062         2.8986         2.1565
 30  1.162         2.9558         2.0473
 31  1.262         3.0075         2.0576
 32  1.362         3.0550         2.0701
 33  1.462         3.0989         2.0821
 34  1.562         3.1374         2.0657
 35  1.662         3.1716         2.0510
 36  1.762         3.2028         2.0435
 37  1.862         3.2327         2.0559
 38  1.962         3.3934         2.8839
 39  2.062         3.4676         2.6634
 40  2.162         3.5073         2.4483
 41  2.262         3.5345         2.3185
 42  2.362         3.5532         2.1770
 43  2.462         3.5711         2.1781
 44  2.562         3.5884         2.1789
 45  2.662         3.6052         2.1846
 46  2.762         3.6220         2.2008
 47  2.862         3.6386         2.2147
 48  2.962         3.6553         2.2313
 49  3.062         3.6721         2.2518
 50  3.162         3.6892         2.2740
 51  3.262         3.7063         2.2928
 52  3.362         3.7216         2.2633
 53  3.462         3.7344         2.1977
 54  3.562         3.7473         2.2112
 55  3.662         3.7601         2.2249
 56  3.762         3.7730         2.2389
 57  3.862         3.7859         2.2532
 58  3.962         3.7989         2.2678
 59  4.062         3.8119         2.2828
 60  4.162         3.8250         2.2980
 61  4.262         3.8382         2.3136
 62  4.362         3.8515         2.3296
 63  4.462         3.8648         2.3459
 64  4.562         3.8783         2.3625
 65  4.662         3.8918         2.3796
 66  4.762         3.9055         2.3970
 67  4.862         3.9193         2.4148
 68  4.962         3.9333         2.4325
 69  5.062         3.9473         2.4493
 70  5.162         3.9614         2.4650
 71  5.262         3.9755         2.4797
 72  5.362         3.9898         2.5000
 73  5.462         4.0043         2.5228
 74  5.562         4.0183         2.5204
 75  5.662         4.0311         2.4934
 76  5.762         4.0428         2.4659
 77  5.862         4.0538         2.4532
 78  5.962         4.0646         2.4561
 79  6.062         4.0756         2.4739
 80  6.162         4.0868         2.4896
 81  6.262         4.0978         2.4976
 82  6.362         4.1089         2.5090
 83  6.462         4.1200         2.5240
 84  6.562         4.1313         2.5423
 85  6.662         4.1428         2.5600
 86  6.762         4.1544         2.5743
 87  6.862         4.1624         2.4217
 88  6.962         4.1681         2.2872
 89  7.062         4.1739         2.2909
 90  7.162         4.1663         2.2909
