#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2945 3.0712E-02 3.0712E-02   0.30   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=140 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -2.261         1.7009         1.7009
  2 -2.161         2.0075         1.7121
  3 -2.061         2.1888         1.7219
  4 -1.961         2.3178         1.7276
  5 -1.861         2.4184         1.7340
  6 -1.761         2.5020         1.7453
  7 -1.661         2.5714         1.7406
  8 -1.561         2.6313         1.7412
  9 -1.461         2.6842         1.7440
 10 -1.361         2.7311         1.7408
 11 -1.261         2.7726         1.7321
 12 -1.161         2.8094         1.7192
 13 -1.061         2.8423         1.7062
 14 -0.961         2.8722         1.6944
 15 -0.861         2.8996         1.6866
 16 -0.761         2.9248         1.6752
 17 -0.661         2.9479         1.6620
 18 -0.561         2.9692         1.6505
 19 -0.461         3.0059         1.9148
 20 -0.361         3.0497         2.0308
 21 -0.261         3.0923         2.0638
 22 -0.161         3.1298         2.0465
 23 -0.061         3.1649         2.0559
 24  0.039         3.1978         2.0605
 25  0.139         3.2292         2.0720
 26  0.239         3.2578         2.0634
 27  0.339         3.2854         2.0744
 28  0.439         3.3121         2.0867
 29  0.539         3.3379         2.0995
 30  0.639         3.3643         2.1349
 31  0.739         3.3942         2.2172
 32  0.839         3.4221         2.2154
 33  0.939         3.4532         2.2932
 34  1.039         3.4776         2.2151
 35  1.139         3.5006         2.2126
 36  1.239         3.5226         2.2166
 37  1.339         3.5440         2.2266
 38  1.439         3.5653         2.2446
 39  1.539         3.5925         2.3764
 40  1.639         3.6223         2.4439
 41  1.739         3.6508         2.4529
 42  1.839         3.6769         2.4437
 43  1.939         3.6987         2.3880
 44  2.039         3.7157         2.3010
 45  2.139         3.7318         2.2927
 46  2.239         3.7473         2.2925
 47  2.339         3.7626         2.3004
 48  2.439         3.7768         2.2848
 49  2.539         3.7887         2.2208
 50  2.639         3.8005         2.2270
 51  2.739         3.8121         2.2335
 52  2.839         3.8246         2.2765
 53  2.939         3.8381         2.3238
 54  3.039         3.8511         2.3218
 55  3.139         3.8635         2.3120
 56  3.239         3.8752         2.3030
 57  3.339         3.8866         2.2978
 58  3.439         3.8976         2.2972
 59  3.539         3.9085         2.3018
 60  3.639         3.9194         2.3121
 61  3.739         3.9304         2.3284
 62  3.839         3.9421         2.3686
 63  3.939         3.9558         2.4463
 64  4.039         3.9693         2.4565
 65  4.139         3.9824         2.4542
 66  4.239         3.9954         2.4652
 67  4.339         4.0131         2.6143
 68  4.439         4.0284         2.5690
 69  4.539         4.0422         2.5358
 70  4.639         4.0588         2.6334
 71  4.739         4.0737         2.6013
 72  4.839         4.0860         2.5329
 73  4.939         4.0950         2.4061
 74  5.039         4.1040         2.4180
 75  5.139         4.1131         2.4301
 76  5.239         4.1206         2.3546
 77  5.339         4.1270         2.2889
 78  5.439         4.1333         2.2940
