#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2459 5.4651E-04 5.4651E-04  -1.50   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=127 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.752            NaN         0.0000
  2 -1.652            NaN         0.0000
  3 -1.552            NaN         0.0000
  4 -1.452            NaN         1.4633
  5 -1.352         0.4152         1.5516
  6 -1.252            NaN         1.5516
  7 -1.152            NaN         0.7570
  8 -1.052         0.8864         1.4740
  9 -0.952         1.6973         1.6243
 10 -0.852         2.0031         1.7068
 11 -0.752         2.1786         1.7002
 12 -0.652         2.2987         1.6818
 13 -0.552         2.3871         1.6525
 14 -0.452         2.4545         1.6124
 15 -0.352         2.5069         1.5624
 16 -0.252         2.5488         1.5121
 17 -0.152         2.5862         1.5023
 18 -0.052         2.6208         1.5049
 19  0.048         2.6545         1.5286
 20  0.148         2.6906         1.5925
 21  0.248         2.7276         1.6397
 22  0.348         2.7649         1.6796
 23  0.448         2.8035         1.7338
 24  0.548         2.8572         1.9227
 25  0.648         2.9094         1.9632
 26  0.748         2.9606         2.0068
 27  0.848         3.0144         2.0803
 28  0.948         3.0510         1.9588
 29  1.048         3.0834         1.9409
 30  1.148         3.1133         1.9356
 31  1.248         3.1411         1.9341
 32  1.348         3.1676         1.9396
 33  1.448         3.1934         1.9546
 34  1.548         3.2193         1.9812
 35  1.648         3.2458         2.0188
 36  1.748         3.2738         2.0687
 37  1.848         3.3593         2.6114
 38  1.948         3.4779         2.8562
 39  2.048         3.5104         2.3681
 40  2.148         3.5340         2.2577
 41  2.248         3.5524         2.1710
 42  2.348         3.5692         2.1485
 43  2.448         3.5849         2.1361
 44  2.548         3.6009         2.1570
 45  2.648         3.6168         2.1739
 46  2.748         3.6329         2.1924
 47  2.848         3.6492         2.2160
 48  2.948         3.6657         2.2385
 49  3.048         3.6827         2.2650
 50  3.148         3.6997         2.2850
 51  3.248         3.7174         2.3193
 52  3.348         3.7371         2.3836
 53  3.448         3.7544         2.3449
 54  3.548         3.7664         2.2028
 55  3.648         3.7785         2.2180
 56  3.748         3.7907         2.2337
 57  3.848         3.8030         2.2497
 58  3.948         3.8155         2.2661
 59  4.048         3.8280         2.2830
 60  4.148         3.8407         2.3002
 61  4.248         3.8536         2.3179
 62  4.348         3.8666         2.3360
 63  4.448         3.8797         2.3545
 64  4.548         3.8930         2.3735
 65  4.648         3.9066         2.3929
 66  4.748         3.9203         2.4130
 67  4.848         3.9342         2.4338
 68  4.948         3.9483         2.4514
 69  5.048         3.9623         2.4651
 70  5.148         3.9762         2.4749
 71  5.248         3.9899         2.4817
 72  5.348         4.0037         2.4985
 73  5.448         4.0173         2.5074
 74  5.548         4.0304         2.5034
 75  5.648         4.0427         2.4863
 76  5.748         4.0540         2.4663
 77  5.848         4.0649         2.4563
 78  5.948         4.0755         2.4576
 79  6.048         4.0861         2.4703
 80  6.148         4.0970         2.4908
 81  6.248         4.1028         2.2243
 82  6.348         4.1083         2.2064
 83  6.448         4.1140         2.2280
 84  6.548         4.1202         2.2733
 85  6.648         4.1270         2.3208
 86  6.748         4.1344         2.3612
 87  6.848         4.1407         2.2974
 88  6.948         4.1456         2.1959
 89  7.048         4.1519         2.3098
 90  7.148         4.1586         2.3453
 91  7.248         4.1674         2.4676
 92  7.348         4.1773         2.5311
 93  7.448         4.1882         2.5839
 94  7.548         4.2000         2.6273
 95  7.648         4.2130         2.6813
 96  7.748         4.2700         3.3599
 97  7.848         4.3255         3.4047
 98  7.948         4.3753         3.4105
 99  8.048         4.4197         3.4071
100  8.148         4.4588         3.3933
101  8.248         4.4923         3.3629
102  8.348         4.5214         3.3338
103  8.448         4.5470         3.3052
104  8.548         4.5699         3.2803
105  8.648         4.5911         3.2685
106  8.748         4.6114         3.2711
107  8.848         4.6317         3.2906
108  8.948         4.6527         3.3266
109  9.048         4.6737         3.3483
110  9.148         4.6939         3.3517
111  9.248         4.7114         3.3080
112  9.348         4.7304         3.3614
113  9.448         4.7494         3.3803
114  9.548         4.7683         3.3990
115  9.648         4.7873         3.4182
116  9.748         4.8061         3.4333
117  9.848         4.8247         3.4477
118  9.948         4.8432         3.4617
119 10.048         4.8614         3.4754
120 10.148         4.8794         3.4887
121 10.248         4.8973         3.5016
122 10.348         4.9149         3.5141
123 10.448         4.9322         3.5256
124 10.548         4.9493         3.5359
125 10.648         4.9663         3.5485
126 10.748         4.9831         3.5636
127 10.848         5.0000         3.5815


#AGE= 0.100 BINS=125 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.443            NaN         3.5815
  2 -1.343            NaN         3.5815
  3 -1.243            NaN         3.5815
  4 -1.143            NaN         3.5815
  5 -1.043            NaN         3.5815
  6 -0.943            NaN         3.5815
  7 -0.843            NaN         1.4259
  8 -0.743            NaN         1.6184
  9 -0.643            NaN         1.7604
 10 -0.543         1.3379         1.7661
 11 -0.443         1.8947         1.7535
 12 -0.343         2.1195         1.7261
 13 -0.243         2.2553         1.6842
 14 -0.143         2.3479         1.6314
 15 -0.043         2.4189         1.5973
 16  0.057         2.4786         1.5874
 17  0.157         2.5325         1.5995
 18  0.257         2.5870         1.6583
 19  0.357         2.6400         1.7002
 20  0.457         2.6903         1.7298
 21  0.557         2.7437         1.8066
 22  0.657         2.8092         1.9557
 23  0.757         2.8688         1.9761
 24  0.857         2.9245         2.0050
 25  0.957         2.9813         2.0697
 26  1.057         3.0303         2.0592
 27  1.157         3.0673         1.9793
 28  1.257         3.1006         1.9683
 29  1.357         3.1312         1.9635
 30  1.457         3.1599         1.9664
 31  1.557         3.1877         1.9800
 32  1.657         3.2153         2.0046
 33  1.757         3.2435         2.0414
 34  1.857         3.2732         2.0940
 35  1.957         3.3476         2.5448
 36  2.057         3.4653         2.8408
 37  2.157         3.4975         2.3519
 38  2.257         3.5226         2.2708
 39  2.357         3.5424         2.1921
 40  2.457         3.5602         2.1633
 41  2.557         3.5764         2.1411
 42  2.657         3.5925         2.1515
 43  2.757         3.6086         2.1718
 44  2.857         3.6248         2.1881
 45  2.957         3.6413         2.2111
 46  3.057         3.6579         2.2336
 47  3.157         3.6750         2.2599
 48  3.257         3.6922         2.2820
 49  3.357         3.7101         2.3156
 50  3.457         3.7298         2.3780
 51  3.557         3.7468         2.3312
 52  3.657         3.7590         2.2024
 53  3.757         3.7713         2.2174
 54  3.857         3.7837         2.2328
 55  3.957         3.7962         2.2486
 56  4.057         3.8088         2.2648
 57  4.157         3.8215         2.2814
 58  4.257         3.8344         2.2985
 59  4.357         3.8473         2.3160
 60  4.457         3.8604         2.3339
 61  4.557         3.8737         2.3522
 62  4.657         3.8871         2.3710
 63  4.757         3.9008         2.3902
 64  4.857         3.9146         2.4099
 65  4.957         3.9286         2.4310
 66  5.057         3.9428         2.4497
 67  5.157         3.9570         2.4641
 68  5.257         3.9710         2.4744
 69  5.357         3.9849         2.4806
 70  5.457         3.9987         2.4958
 71  5.557         4.0124         2.5056
 72  5.657         4.0257         2.5021
 73  5.757         4.0380         2.4855
 74  5.857         4.0495         2.4659
 75  5.957         4.0604         2.4568
 76  6.057         4.0712         2.4595
 77  6.157         4.0820         2.4741
 78  6.257         4.0931         2.4935
 79  6.357         4.1041         2.5037
 80  6.457         4.1109         2.3018
 81  6.557         4.1166         2.2299
 82  6.657         4.1225         2.2561
 83  6.757         4.1291         2.3039
 84  6.857         4.1362         2.3469
 85  6.957         4.1418         2.2469
 86  7.057         4.1470         2.2214
 87  7.157         4.1528         2.2779
 88  7.257         4.1600         2.3795
 89  7.357         4.1690         2.4779
 90  7.457         4.1791         2.5406
 91  7.557         4.1902         2.5930
 92  7.657         4.2023         2.6394
 93  7.757         4.2157         2.7005
