#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2553 6.5808E-03 6.5808E-03  -0.40   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=148 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -3.257         1.3890         1.3890
  2 -3.157         1.6924         1.3937
  3 -3.057         1.8677         1.3890
  4 -2.957         1.9880         1.3720
  5 -2.857         2.0621         1.2577
  6 -2.757         2.1126         1.1525
  7 -2.657         2.1613         1.1868
  8 -2.557         2.2206         1.3266
  9 -2.457         2.2957         1.4968
 10 -2.357         2.3829         1.6426
 11 -2.257         2.4552         1.6412
 12 -2.157         2.5098         1.5821
 13 -2.057         2.5524         1.5226
 14 -1.957         2.5861         1.4601
 15 -1.857         2.6132         1.3947
 16 -1.757         2.6351         1.3265
 17 -1.657         2.6543         1.2903
 18 -1.557         2.6692         1.1976
 19 -1.457         2.6815         1.1256
 20 -1.357         2.6918         1.0631
 21 -1.257         2.7008         1.0120
 22 -1.157         2.7093         0.9960
 23 -1.057         2.7177         0.9991
 24 -0.957         2.7264         1.0256
 25 -0.857         2.7361         1.0797
 26 -0.757         2.7520         1.3077
 27 -0.657         2.7740         1.4670
 28 -0.557         2.7947         1.4627
 29 -0.457         2.8134         1.4397
 30 -0.357         2.8544         1.8085
 31 -0.257         2.8926         1.8187
 32 -0.157         2.9241         1.7689
 33 -0.057         2.9538         1.7735
 34  0.043         2.9844         1.8176
 35  0.143         3.0167         1.8720
 36  0.243         3.0466         1.8694
 37  0.343         3.0767         1.9018
 38  0.443         3.1058         1.9173
 39  0.543         3.2151         2.5626
 40  0.643         3.2426         2.0296
 41  0.743         3.2673         2.0105
 42  0.843         3.2896         1.9896
 43  0.943         3.3135         2.0422
 44  1.043         3.3405         2.1196
 45  1.143         3.3740         2.2445
 46  1.243         3.3840         1.7446
 47  1.343         3.4039         2.0550
 48  1.443         3.4236         2.0705
 49  1.543         3.4431         2.0856
 50  1.643         3.4624         2.1000
 51  1.743         3.4815         2.1148
 52  1.843         3.5004         2.1292
 53  1.943         3.5191         2.1454
 54  2.043         3.5378         2.1620
 55  2.143         3.5561         2.1713
 56  2.243         3.5745         2.1932
 57  2.343         3.5929         2.2095
 58  2.443         3.6110         2.2234
 59  2.543         3.6290         2.2378
 60  2.643         3.6469         2.2524
 61  2.743         3.6647         2.2682
 62  2.843         3.6824         2.2847
 63  2.943         3.7002         2.3021
 64  3.043         3.7179         2.3203
 65  3.143         3.7357         2.3402
 66  3.243         3.7536         2.3588
 67  3.343         3.7708         2.3592
 68  3.443         3.7878         2.3729
 69  3.543         3.8050         2.3930
 70  3.643         3.8233         2.4402
 71  3.743         3.8404         2.4271
 72  3.843         3.8581         2.4604
 73  3.943         3.8757         2.4741
 74  4.043         3.8941         2.5108
 75  4.143         3.9109         2.4900
 76  4.243         3.9255         2.4466
 77  4.343         3.9392         2.4294
 78  4.443         3.9506         2.3668
 79  4.543         3.9621         2.3768
 80  4.643         3.9735         2.3871
 81  4.743         3.9849         2.3977
 82  4.843         3.9962         2.4086
 83  4.943         4.0076         2.4197
 84  5.043         4.0190         2.4312
 85  5.143         4.0304         2.4431
 86  5.243         4.0417         2.4541
 87  5.343         4.0531         2.4639
 88  5.443         4.0643         2.4725
 89  5.543         4.0749         2.4557
 90  5.643         4.0854         2.4637
 91  5.743         4.0959         2.4726
 92  5.843         4.1063         2.4817
 93  5.943         4.1167         2.4909
 94  6.043         4.1271         2.5001
