#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2846 2.4865E-02 2.4865E-02   0.20   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=139 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -2.137            NaN         0.0000
  2 -2.037        -0.5075        -0.3607
  3 -1.937        -0.1738        -0.4444
  4 -1.837         0.1915        -0.0536
  5 -1.737         0.4115         0.0108
  6 -1.637         0.5465        -0.0269
  7 -1.537         0.6637         0.0375
  8 -1.437         0.7619         0.0681
  9 -1.337         0.8245        -0.0474
 10 -1.237         0.8591        -0.2568
 11 -1.137         0.8734        -0.6148
 12 -1.037         0.8654        -0.6148
 13 -0.937         0.8410        -0.6148
 14 -0.837         0.8183        -0.6148
 15 -0.737         0.8238        -1.0791
 16 -0.637         0.7847        -1.0791
 17 -0.537         1.1962         0.9832
 18 -0.437         1.7625         1.6250
 19 -0.337         2.0921         1.8179
 20 -0.237         2.2799         1.8253
 21 -0.137         2.4155         1.8439
 22 -0.037         2.5221         1.8597
 23  0.063         2.6087         1.8663
 24  0.163         2.6804         1.8628
 25  0.263         2.7426         1.8678
 26  0.363         2.8004         1.8957
 27  0.463         2.8544         1.9227
 28  0.563         2.9138         2.0200
 29  0.663         2.9995         2.2524
 30  0.763         3.1423         2.5898
 31  0.863         3.2422         2.5552
 32  0.963         3.3027         2.4168
 33  1.063         3.3493         2.3568
 34  1.163         3.3900         2.3416
 35  1.263         3.4274         2.3431
 36  1.363         3.4614         2.3386
 37  1.463         3.4936         2.3474
 38  1.563         3.5248         2.3654
 39  1.663         3.5549         2.3810
 40  1.763         3.5839         2.3942
 41  1.863         3.6105         2.3845
 42  1.963         3.6348         2.3715
 43  2.063         3.6590         2.3928
 44  2.163         3.6807         2.3669
