#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2453 1.4887E-04 1.4887E-04  -2.10   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=117 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.954            NaN         0.0000
  2 -0.854            NaN         0.0000
  3 -0.754         1.1867         1.2645
  4 -0.654         1.5738         1.3445
  5 -0.554            NaN         1.3445
  6 -0.454            NaN         1.3445
  7 -0.354            NaN         0.8796
  8 -0.254            NaN         1.1891
  9 -0.154            NaN         1.0288
 10 -0.054            NaN         0.3391
 11  0.046         1.1790         1.4728
 12  0.146         1.6479         1.4676
 13  0.246         1.8738         1.4818
 14  0.346         2.0607         1.6044
 15  0.446         2.2376         1.7620
 16  0.546         2.3629         1.7619
 17  0.646         2.4220         1.5269
 18  0.746         2.5206         1.8282
 19  0.846         2.6068         1.8620
 20  0.946         2.6897         1.9296
 21  1.046         2.7691         1.9920
 22  1.146         2.8473         2.0644
 23  1.246         2.9314         2.1772
 24  1.346         2.9917         2.1043
 25  1.446         3.0340         2.0014
 26  1.546         3.0720         1.9946
 27  1.646         3.1093         2.0256
 28  1.746         3.1479         2.0769
 29  1.846         3.1861         2.1121
 30  1.946         3.2262         2.1709
 31  2.046         3.4579         3.0743
 32  2.146         3.4799         2.1753
 33  2.246         3.5003         2.1615
 34  2.346         3.5201         2.1684
 35  2.446         3.5389         2.1660
 36  2.546         3.5566         2.1581
 37  2.646         3.5737         2.1600
 38  2.746         3.5907         2.1765
 39  2.846         3.6077         2.1903
 40  2.946         3.6246         2.2075
 41  3.046         3.6417         2.2287
 42  3.146         3.6590         2.2505
 43  3.246         3.6764         2.2705
 44  3.346         3.6933         2.2730
 45  3.446         3.7064         2.1818
 46  3.546         3.7196         2.1935
 47  3.646         3.7326         2.2034
 48  3.746         3.7456         2.2138
 49  3.846         3.7585         2.2248
 50  3.946         3.7713         2.2365
 51  4.046         3.7842         2.2487
 52  4.146         3.7970         2.2616
 53  4.246         3.8099         2.2752
 54  4.346         3.8228         2.2894
 55  4.446         3.8357         2.3044
 56  4.546         3.8488         2.3201
 57  4.646         3.8619         2.3365
 58  4.746         3.8752         2.3537
 59  4.846         3.8886         2.3717
 60  4.946         3.9022         2.3904
 61  5.046         3.9159         2.4083
 62  5.146         3.9297         2.4253
 63  5.246         3.9436         2.4412
 64  5.346         3.9575         2.4560
 65  5.446         3.9717         2.4779
 66  5.546         3.9860         2.4959
 67  5.646         3.9974         2.4117
 68  5.746         4.0071         2.3509
 69  5.846         4.0159         2.3192
 70  5.946         4.0243         2.3062
 71  6.046         4.0327         2.3138
 72  6.146         4.0412         2.3299
 73  6.246         4.0498         2.3407
 74  6.346         4.0587         2.3662
 75  6.446         4.0682         2.4060
 76  6.546         4.0787         2.4541
 77  6.646         4.0903         2.5113
 78  6.746         4.1033         2.5734
 79  6.846         4.1174         2.6222
 80  6.946         4.1330         2.6814
 81  7.046         4.1474         2.6617
 82  7.146         4.1622         2.6863
 83  7.246         4.1779         2.7266
 84  7.346         4.1938         2.7510
 85  7.446         4.2094         2.7576
 86  7.546         4.2271         2.8271
 87  7.646         4.2456         2.8668
 88  7.746         4.2640         2.8813
 89  7.846         4.3470         3.5875
 90  7.946         4.4132         3.5635
 91  8.046         4.4611         3.4797
 92  8.146         4.4996         3.4287
 93  8.246         4.5442         3.5331
 94  8.346         4.5663         3.2632
 95  8.446         4.5869         3.2529
 96  8.546         4.6064         3.2486
 97  8.646         4.6249         3.2457
 98  8.746         4.6437         3.2697
 99  8.846         4.6632         3.3048
100  8.946         4.6843         3.3611
101  9.046         4.7049         3.3713
102  9.146         4.7261         3.4044
103  9.246         4.7468         3.4140
104  9.346         4.7670         3.4242
105  9.446         4.7868         3.4351
106  9.546         4.8062         3.4466
107  9.646         4.8253         3.4589
108  9.746         4.8441         3.4715
109  9.846         4.8625         3.4808
110  9.946         4.8805         3.4897
111 10.046         4.8982         3.4997
112 10.146         4.9157         3.5108
113 10.246         4.9329         3.5230
114 10.346         4.9500         3.5358
115 10.446         4.9668         3.5455
116 10.546         4.9834         3.5579
117 10.646         5.0000         3.5747


#AGE= 0.100 BINS=117 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.841            NaN         3.5747
  2 -0.741            NaN         3.5747
  3 -0.641            NaN         3.5747
  4 -0.541            NaN         3.5747
  5 -0.441            NaN         3.5747
  6 -0.341            NaN         3.5747
  7 -0.241            NaN         3.5747
  8 -0.141            NaN         0.7482
  9 -0.041            NaN         1.1876
 10  0.059            NaN         0.9102
 11  0.159            NaN         0.9993
 12  0.259            NaN         1.4870
 13  0.359            NaN         1.4927
 14  0.459         1.4752         1.6108
 15  0.559         1.9602         1.7881
 16  0.659         2.1121         1.5819
 17  0.759         2.2857         1.8037
 18  0.859         2.4202         1.8456
 19  0.959         2.5364         1.9069
 20  1.059         2.6380         1.9573
 21  1.159         2.7291         2.0063
 22  1.259         2.8162         2.0754
 23  1.359         2.9063         2.1793
 24  1.459         2.9776         2.1578
 25  1.559         3.0289         2.0754
 26  1.659         3.0714         2.0416
 27  1.759         3.1095         2.0336
 28  1.859         3.1471         2.0661
 29  1.959         3.1867         2.1268
 30  2.059         3.2344         2.2511
 31  2.159         3.4430         3.0245
 32  2.259         3.4680         2.2151
 33  2.359         3.4893         2.1694
 34  2.459         3.5098         2.1733
 35  2.559         3.5294         2.1735
 36  2.659         3.5478         2.1664
 37  2.759         3.5653         2.1626
 38  2.859         3.5827         2.1764
 39  2.959         3.6000         2.1907
 40  3.059         3.6172         2.2070
 41  3.159         3.6346         2.2279
 42  3.259         3.6521         2.2500
 43  3.359         3.6698         2.2701
 44  3.459         3.6864         2.2606
 45  3.559         3.6998         2.1822
 46  3.659         3.7132         2.1968
 47  3.759         3.7266         2.2088
 48  3.859         3.7399         2.2190
 49  3.959         3.7531         2.2298
 50  4.059         3.7663         2.2411
 51  4.159         3.7794         2.2531
 52  4.259         3.7925         2.2657
 53  4.359         3.8056         2.2790
 54  4.459         3.8187         2.2930
 55  4.559         3.8319         2.3077
 56  4.659         3.8452         2.3231
 57  4.759         3.8585         2.3392
 58  4.859         3.8720         2.3562
 59  4.959         3.8855         2.3739
 60  5.059         3.8993         2.3923
 61  5.159         3.9131         2.4104
 62  5.259         3.9271         2.4273
 63  5.359         3.9411         2.4430
 64  5.459         3.9552         2.4574
 65  5.559         3.9694         2.4793
 66  5.659         3.9838         2.4952
 67  5.759         3.9975         2.4910
 68  5.859         4.0088         2.4167
 69  5.959         4.0177         2.3278
 70  6.059         4.0262         2.3119
 71  6.159         4.0346         2.3171
 72  6.259         4.0429         2.3218
 73  6.359         4.0513         2.3316
 74  6.459         4.0600         2.3590
 75  6.559         4.0695         2.4022
 76  6.659         4.0797         2.4481
 77  6.759         4.0909         2.4970
 78  6.859         4.1036         2.5607
 79  6.959         4.1180         2.6324
 80  7.059         4.1323         2.6438
 81  7.159         4.1468         2.6631
 82  7.259         4.1622         2.7029
 83  7.359         4.1782         2.7381
 84  7.459         4.1941         2.7485
 85  7.559         4.2111         2.7962
 86  7.659         4.2301         2.8613
 87  7.759         4.2490         2.8782
 88  7.859         4.2677         2.8921
