#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2493 2.6111E-03 2.6111E-03  -0.80   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=129 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.256        -0.2740        -0.2740
  2 -1.156         0.0526        -0.2243
  3 -1.056            NaN        -0.2243
  4 -0.956            NaN        -0.2243
  5 -0.856            NaN        -0.2243
  6 -0.756            NaN        -0.2243
  7 -0.656            NaN        -0.2243
  8 -0.556            NaN        -0.2243
  9 -0.456            NaN         0.7833
 10 -0.356            NaN         0.7898
 11 -0.256         1.4001         1.7763
 12 -0.156         2.0235         1.9055
 13 -0.056         2.1803         1.6617
 14  0.044         2.3598         1.8895
 15  0.144         2.4586         1.7671
 16  0.244         2.5272         1.6917
 17  0.344         2.5932         1.7425
 18  0.444         2.6652         1.8489
 19  0.544         2.7586         2.0456
 20  0.644         2.8578         2.1676
 21  0.744         2.9036         1.9045
 22  0.844         2.9424         1.8744
 23  0.944         2.9766         1.8558
 24  1.044         3.1802         2.7532
 25  1.144         3.2886         2.6331
 26  1.244         3.3442         2.4236
 27  1.344         3.3875         2.3648
 28  1.444         3.4529         2.5984
 29  1.544         3.4820         2.2943
 30  1.644         3.5047         2.2105
 31  1.744         3.5214         2.0997
 32  1.844         3.5371         2.0854
 33  1.944         3.5520         2.0811
 34  2.044         3.5664         2.0799
 35  2.144         3.5794         2.0485
 36  2.244         3.5912         2.0199
 37  2.344         3.6025         2.0122
 38  2.444         3.6139         2.0255
 39  2.544         3.6253         2.0391
 40  2.644         3.6367         2.0513
 41  2.744         3.6483         2.0683
 42  2.844         3.6601         2.0896
 43  2.944         3.6719         2.0992
 44  3.044         3.6838         2.1171
 45  3.144         3.6967         2.1618
 46  3.244         3.7110         2.2230
 47  3.344         3.7282         2.3165
 48  3.444         3.7470         2.3731
 49  3.544         3.7616         2.2825
 50  3.644         3.7756         2.2756
 51  3.744         3.7895         2.2870
 52  3.844         3.8032         2.2971
 53  3.944         3.8168         2.3061
 54  4.044         3.8305         2.3212
 55  4.144         3.8443         2.3408
 56  4.244         3.8582         2.3555
 57  4.344         3.8697         2.2860
 58  4.444         3.8808         2.2829
 59  4.544         3.8918         2.2910
 60  4.644         3.9028         2.2995
 61  4.744         3.9137         2.3084
 62  4.844         3.9245         2.3175
 63  4.944         3.9354         2.3270
 64  5.044         3.9462         2.3368
 65  5.144         3.9570         2.3470
 66  5.244         3.9678         2.3575
 67  5.344         3.9786         2.3684
 68  5.444         3.9894         2.3797
 69  5.544         4.0002         2.3913
 70  5.644         4.0110         2.4006
 71  5.744         4.0217         2.4073
 72  5.844         4.0323         2.4171
 73  5.944         4.0430         2.4303
 74  6.044         4.0539         2.4470
 75  6.144         4.0650         2.4672
 76  6.244         4.0765         2.4913
 77  6.344         4.0882         2.5153
 78  6.444         4.1002         2.5349
 79  6.544         4.1123         2.5499
 80  6.644         4.1183         2.2584
 81  6.744         4.1212         1.9365
 82  6.844         4.1334         2.5792
 83  6.944         4.1432         2.4909
 84  7.044         4.1511         2.4059
 85  7.144         4.1590         2.4162
 86  7.244         4.1670         2.4270
 87  7.344         4.1755         2.4639
 88  7.444         4.1842         2.4799
 89  7.544         4.1927         2.4820
 90  7.644         4.2004         2.4412
 91  7.744         4.2083         2.4668
 92  7.844         4.2190         2.6065
 93  7.944         4.2669         3.2850
 94  8.044         4.3137         3.3233
 95  8.144         4.3581         3.3453
 96  8.244         4.3980         3.3423
 97  8.344         4.4324         3.3132
 98  8.444         4.4617         3.2766
 99  8.544         4.4873         3.2446
100  8.644         4.5100         3.2178
101  8.744         4.5306         3.1968
102  8.844         4.5497         3.1823
103  8.944         4.5677         3.1756
104  9.044         4.5850         3.1774
105  9.144         4.6021         3.1889
106  9.244         4.6181         3.1777
107  9.344         4.6327         3.1510
108  9.444         4.6460         3.1246
109  9.544         4.6599         3.1590
110  9.644         4.6729         3.1428
111  9.744         4.6875         3.2072
112  9.844         4.7021         3.2198
113  9.944         4.7167         3.2354
114 10.044         4.7314         3.2540
115 10.144         4.7463         3.2756
116 10.244         4.7616         3.3001
