#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2519 4.2094E-03 4.2094E-03  -0.60   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=139 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -2.142         1.7103         1.7103
  2 -2.042         1.9710         1.6255
  3 -1.942         2.1115         1.5530
  4 -1.841         2.2021         1.4767
  5 -1.742         2.2655         1.3984
  6 -1.642         2.3119         1.3184
  7 -1.542         2.3470         1.2370
  8 -1.442         2.3751         1.1721
  9 -1.341         2.3975         1.0993
 10 -1.242         2.4158         1.0310
 11 -1.142         2.4313         0.9751
 12 -1.042         2.4450         0.9383
 13 -0.942         2.4580         0.9272
 14 -0.841         2.4962         1.4211
 15 -0.742         2.5362         1.4810
 16 -0.642         2.5758         1.5154
 17 -0.542         2.6151         1.5526
 18 -0.442         2.6494         1.5301
 19 -0.341         2.6772         1.4690
 20 -0.242         2.7141         1.6252
 21 -0.142         2.7647         1.8063
 22 -0.042         2.7994         1.6846
 23  0.058         2.8255         1.5916
 24  0.159         2.8573         1.7055
 25  0.258         2.8996         1.8676
 26  0.358         2.9365         1.8477
 27  0.458         2.9733         1.8823
 28  0.558         3.0088         1.9035
 29  0.659         3.0449         1.9476
 30  0.758         3.0836         2.0141
 31  0.858         3.1260         2.0946
 32  0.958         3.1645         2.0929
 33  1.058         3.2024         2.1245
 34  1.159         3.2475         2.2415
 35  1.258         3.3158         2.4784
 36  1.358         3.3618         2.3644
 37  1.458         3.3862         2.1229
 38  1.558         3.4077         2.0926
 39  1.659         3.4289         2.1056
 40  1.758         3.4497         2.1195
 41  1.858         3.4701         2.1338
 42  1.958         3.4903         2.1466
 43  2.058         3.5101         2.1589
 44  2.159         3.5301         2.1841
 45  2.258         3.5500         2.2006
 46  2.358         3.5695         2.2121
 47  2.458         3.5882         2.2123
 48  2.559         3.6060         2.2104
 49  2.659         3.6233         2.2150
 50  2.758         3.6403         2.2253
 51  2.858         3.6570         2.2338
 52  2.958         3.6734         2.2420
 53  3.059         3.6894         2.2477
 54  3.159         3.7052         2.2567
 55  3.258         3.7210         2.2750
 56  3.358         3.7370         2.2943
 57  3.458         3.7529         2.3106
 58  3.559         3.7686         2.3178
 59  3.659         3.7836         2.3134
 60  3.758         3.7982         2.3182
 61  3.858         3.8125         2.3227
 62  3.958         3.8261         2.3141
 63  4.058         3.8390         2.3065
 64  4.159         3.8518         2.3157
 65  4.258         3.8632         2.2778
 66  4.358         3.8741         2.2660
 67  4.458         3.8849         2.2755
 68  4.558         3.8957         2.2852
 69  4.659         3.9064         2.2949
 70  4.758         3.9172         2.3048
 71  4.858         3.9279         2.3148
 72  4.958         3.9386         2.3249
 73  5.058         3.9493         2.3350
 74  5.159         3.9599         2.3453
 75  5.258         3.9706         2.3558
 76  5.358         3.9813         2.3660
 77  5.458         3.9919         2.3734
 78  5.558         4.0024         2.3819
 79  5.659         4.0129         2.3932
 80  5.758         4.0236         2.4075
 81  5.858         4.0344         2.4246
 82  5.958         4.0460         2.4665
 83  6.058         4.0598         2.5555
 84  6.159         4.0745         2.5955
 85  6.258         4.0877         2.5646
 86  6.358         4.0957         2.3583
 87  6.458         4.0909         2.3583
 88  6.558         4.0937         1.8970
 89  6.659         4.1039         2.4706
 90  6.758         4.1159         2.5502
 91  6.858         4.1262         2.4965
 92  6.958         4.1350         2.4393
 93  7.058         4.1443         2.4707
 94  7.159         4.1539         2.4930
 95  7.258         4.1639         2.5207
 96  7.359         4.1736         2.5173
 97  7.458         4.1826         2.4951
 98  7.558         4.1912         2.4812
 99  7.659         4.2012         2.5591
100  7.758         4.2232         2.9170
101  7.858         4.2489         3.0083
102  7.958         4.2745         3.0318
103  8.059         4.3002         3.0593
104  8.159         4.3266         3.0982
105  8.258         4.3531         3.1247
106  8.358         4.3808         3.1718
107  8.459         4.4079         3.1904
108  8.559         4.4340         3.1992
109  8.659         4.4588         3.2035
110  8.758         4.4822         3.2021
111  8.858         4.5039         3.1914
112  8.959         4.5239         3.1774
113  9.059         4.5424         3.1627
114  9.159         4.5595         3.1466
115  9.258         4.5754         3.1308
116  9.358         4.5905         3.1241
117  9.459         4.6054         3.1336
118  9.559         4.6209         3.1640
119  9.659         4.6366         3.1871
120  9.758         4.6516         3.1831
121  9.858         4.6661         3.1841
122  9.959         4.6819         3.2351
123 10.059         4.6979         3.2543
124 10.159         4.7140         3.2756
125 10.258         4.7304         3.2990
126 10.358         4.7471         3.3247
127 10.459         4.7643         3.3525
128 10.559         4.7819         3.3824
129 10.659         4.8000         3.4103
130 10.758         4.8182         3.4317
131 10.858         4.8366         3.4547
132 10.959         4.8553         3.4798
133 11.059         4.8744         3.5069
134 11.159         4.8939         3.5362
135 11.258         4.9139         3.5679
136 11.358         4.9346         3.6024
