#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2504 3.3016E-03 3.3016E-03  -0.70   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=131 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.399        -0.6529        -0.6529
  2 -1.299         1.6701         1.6680
  3 -1.199         2.0725         1.8535
  4 -1.099         2.2193         1.6770
  5 -0.999         2.3073         1.5709
  6 -0.899         2.3650         1.4598
  7 -0.799         2.4045         1.3439
  8 -0.699         2.4330         1.2346
  9 -0.599         2.4536         1.1195
 10 -0.499         2.4569         0.3477
 11 -0.399         2.4505         0.3477
 12 -0.299         2.4442         0.3477
 13 -0.199         2.4469         0.2358
 14 -0.099         2.5224         1.7254
 15  0.001         2.6024         1.8284
 16  0.101         2.6897         1.9499
 17  0.201         2.7684         1.9882
 18  0.301         2.8328         1.9718
 19  0.401         2.8912         1.9907
 20  0.501         2.9466         2.0253
 21  0.601         3.0015         2.0758
 22  0.701         3.0610         2.1687
 23  0.801         3.1228         2.2451
 24  0.901         3.1839         2.3023
 25  1.001         3.2113         1.9967
 26  1.101         3.2386         2.0248
 27  1.201         3.2700         2.1135
 28  1.301         3.3275         2.4209
 29  1.401         3.3663         2.2974
 30  1.501         3.3933         2.1733
 31  1.601         3.4170         2.1422
 32  1.701         3.4404         2.1605
 33  1.801         3.4632         2.1714
 34  1.901         3.4853         2.1825
 35  2.001         3.5070         2.1936
 36  2.101         3.5282         2.2061
 37  2.201         3.5487         2.2126
 38  2.301         3.5676         2.1984
 39  2.401         3.5852         2.1843
 40  2.501         3.6021         2.1814
 41  2.601         3.6185         2.1892
 42  2.701         3.6346         2.1946
 43  2.801         3.6503         2.2001
 44  2.901         3.6657         2.2084
 45  3.001         3.6807         2.2115
 46  3.101         3.6955         2.2206
 47  3.201         3.7107         2.2487
 48  3.301         3.7268         2.2871
 49  3.401         3.7439         2.3315
 50  3.501         3.7608         2.3416
 51  3.601         3.7760         2.3108
 52  3.701         3.7905         2.3087
 53  3.801         3.8046         2.3070
 54  3.901         3.8181         2.3052
 55  4.001         3.8311         2.3018
 56  4.101         3.8439         2.3075
 57  4.201         3.8568         2.3225
 58  4.301         3.8690         2.3121
 59  4.401         3.8799         2.2748
 60  4.501         3.8908         2.2840
 61  4.601         3.9017         2.2933
 62  4.701         3.9125         2.3029
 63  4.801         3.9232         2.3126
 64  4.901         3.9340         2.3225
 65  5.001         3.9447         2.3326
 66  5.101         3.9555         2.3429
 67  5.201         3.9662         2.3533
 68  5.301         3.9769         2.3640
 69  5.401         3.9876         2.3749
 70  5.501         3.9983         2.3850
 71  5.601         4.0090         2.3915
 72  5.701         4.0195         2.4003
 73  5.801         4.0301         2.4123
 74  5.901         4.0408         2.4277
 75  6.001         4.0517         2.4467
 76  6.101         4.0630         2.4693
 77  6.201         4.0745         2.4932
 78  6.301         4.0863         2.5133
 79  6.401         4.0982         2.5294
 80  6.501         4.1100         2.5413
 81  6.601         4.1121         1.7930
 82  6.701         4.1153         1.9824
 83  6.801         4.1246         2.4489
 84  6.901         4.1348         2.5023
 85  7.001         4.1455         2.5310
 86  7.101         4.1563         2.5470
 87  7.201         4.1651         2.4672
 88  7.301         4.1734         2.4475
 89  7.401         4.1816         2.4547
 90  7.501         4.1904         2.4947
 91  7.601         4.1995         2.5156
 92  7.701         4.2076         2.4724
 93  7.801         4.2278         2.8854
 94  7.901         4.2600         3.1147
 95  8.001         4.2928         3.1538
 96  8.101         4.3261         3.1944
 97  8.201         4.3594         3.2278
 98  8.301         4.3914         3.2427
 99  8.401         4.4221         3.2559
100  8.501         4.4505         3.2526
101  8.601         4.4765         3.2395
102  8.701         4.4999         3.2203
103  8.801         4.5212         3.2006
104  8.901         4.5406         3.1808
105  9.001         4.5583         3.1620
106  9.101         4.5748         3.1453
107  9.201         4.5903         3.1356
108  9.301         4.6056         3.1440
109  9.401         4.6204         3.1456
110  9.501         4.6341         3.1256
111  9.601         4.6487         3.1682
112  9.701         4.6620         3.1412
113  9.801         4.6771         3.2115
114  9.901         4.6922         3.2264
115 10.001         4.7074         3.2439
116 10.101         4.7228         3.2640
117 10.201         4.7384         3.2867
118 10.301         4.7544         3.3119
119 10.401         4.7708         3.3396
120 10.501         4.7877         3.3698
121 10.601         4.8052         3.4015
122 10.701         4.8229         3.4244
123 10.801         4.8408         3.4460
124 10.901         4.8589         3.4699
125 11.001         4.8773         3.4963
126 11.101         4.8962         3.5254
127 11.201         4.9157         3.5573
128 11.301         4.9358         3.5923
129 11.401         4.9569         3.6318
130 11.501         4.9785         3.6642
131 11.601         5.0000         3.6846


#AGE= 0.100 BINS=130 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.195        -0.3947        -0.3947
  2 -1.095         0.0066        -0.2131
  3 -0.995         0.2283        -0.1698
  4 -0.895         1.8982         1.8888
  5 -0.795         2.1367         1.7626
  6 -0.695         2.2578         1.6441
  7 -0.595         2.3294         1.5112
  8 -0.495         2.3758         1.3815
  9 -0.395         2.4061         1.2347
 10 -0.295         2.4145         0.6964
 11 -0.195         2.4024         0.6964
 12 -0.095         2.3957         0.6964
 13  0.005         2.4621         1.6139
 14  0.105         2.5410         1.7615
 15  0.205         2.6035         1.7307
 16  0.305         2.6678         1.8062
 17  0.405         2.7194         1.7693
 18  0.505         2.7799         1.8937
 19  0.605         2.8485         2.0133
 20  0.705         2.9134         2.0557
 21  0.805         2.9782         2.1204
 22  0.905         3.0486         2.2237
 23  1.005         3.0924         2.0743
 24  1.105         3.1662         2.3597
 25  1.205         3.1977         2.0436
 26  1.305         3.2328         2.1218
 27  1.405         3.2910         2.3899
 28  1.505         3.3310         2.2748
 29  1.605         3.3568         2.1186
 30  1.705         3.3833         2.1549
 31  1.805         3.4089         2.1664
 32  1.905         3.4337         2.1779
 33  2.005         3.4577         2.1892
 34  2.105         3.4811         2.2005
 35  2.205         3.5039         2.2119
 36  2.305         3.5261         2.2243
 37  2.405         3.5470         2.2192
 38  2.505         3.5662         2.2020
 39  2.605         3.5843         2.1943
 40  2.705         3.6018         2.1983
 41  2.805         3.6188         2.2034
 42  2.905         3.6353         2.2072
 43  3.005         3.6515         2.2140
 44  3.105         3.6671         2.2167
 45  3.205         3.6825         2.2248
 46  3.305         3.6984         2.2525
 47  3.405         3.7150         2.2890
 48  3.505         3.7326         2.3318
 49  3.605         3.7493         2.3264
 50  3.705         3.7647         2.3055
 51  3.805         3.7794         2.3033
 52  3.905         3.7936         2.3020
 53  4.005         3.8073         2.2971
 54  4.105         3.8205         2.2978
 55  4.205         3.8337         2.3083
 56  4.305         3.8469         2.3260
 57  4.405         3.8582         2.2657
 58  4.505         3.8694         2.2746
 59  4.605         3.8805         2.2836
 60  4.705         3.8916         2.2928
 61  4.805         3.9026         2.3022
 62  4.905         3.9136         2.3118
 63  5.005         3.9246         2.3215
 64  5.105         3.9355         2.3314
 65  5.205         3.9465         2.3414
 66  5.305         3.9574         2.3517
 67  5.405         3.9682         2.3621
 68  5.505         3.9791         2.3727
 69  5.605         3.9900         2.3832
 70  5.705         4.0008         2.3898
 71  5.805         4.0115         2.3977
 72  5.905         4.0222         2.4094
 73  6.005         4.0330         2.4247
 74  6.105         4.0441         2.4440
 75  6.205         4.0554         2.4671
 76  6.305         4.0671         2.4908
 77  6.405         4.0790         2.5103
 78  6.505         4.0910         2.5254
 79  6.605         4.1029         2.5361
 80  6.705         4.0996         2.5361
 81  6.805         4.1086         2.4191
 82  6.905         4.1187         2.4834
 83  7.005         4.1293         2.5103
 84  7.105         4.1403         2.5363
 85  7.205         4.1506         2.5207
 86  7.305         4.1593         2.4584
 87  7.405         4.1678         2.4562
 88  7.505         4.1767         2.4818
 89  7.605         4.1860         2.5150
 90  7.705         4.1952         2.5137
 91  7.805         4.2034         2.4749
 92  7.905         4.2114         2.4757
 93  8.005         4.2202         2.5226
 94  8.105         4.2535         3.1217
 95  8.205         4.2906         3.2032
 96  8.305         4.3276         3.2397
 97  8.405         4.3636         3.2644
 98  8.505         4.3979         3.2785
 99  8.605         4.4297         3.2789
100  8.705         4.4587         3.2682
101  8.805         4.4844         3.2447
102  8.905         4.5074         3.2189
103  9.005         4.5280         3.1937
104  9.105         4.5466         3.1707
105  9.205         4.5639         3.1536
106  9.305         4.5802         3.1485
107  9.405         4.5965         3.1616
108  9.505         4.6117         3.1472
109  9.605         4.6270         3.1676
110  9.705         4.6420         3.1737
111  9.805         4.6568         3.1795
112  9.905         4.6725         3.2226
113 10.005         4.6881         3.2361
114 10.105         4.7037         3.2522
115 10.205         4.7195         3.2710
116 10.305         4.7354         3.2925
117 10.405         4.7517         3.3166
118 10.505         4.7683         3.3434
119 10.605         4.7854         3.3729
120 10.705         4.8031         3.4048
121 10.805         4.8212         3.4316
122 10.905         4.8395         3.4534
123 11.005         4.8579         3.4772
124 11.105         4.8767         3.5031
125 11.205         4.8959         3.5313
126 11.305         4.9155         3.5619
127 11.405         4.9358         3.5951
128 11.505         4.9569         3.6326
129 11.605         4.9785         3.6638
130 11.705         5.0000         3.6844


#AGE= 1.000 BINS=138 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.957         0.0029         0.0029
  2 -0.857         0.3016        -0.0018
  3 -0.757         0.4751        -0.0073
  4 -0.657         0.5987        -0.0075
  5 -0.557         0.6955        -0.0037
  6 -0.457         0.7734        -0.0113
  7 -0.357         0.8387        -0.0164
  8 -0.257         0.8954        -0.0171
  9 -0.157         0.9453        -0.0193
 10 -0.057         0.9894        -0.0258
 11  0.043         1.0291        -0.0296
