#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.3210 4.6890E-02 4.6890E-02   0.50   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=139 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
 33  1.204         3.2677         2.2584
 34  1.304         3.3094         2.2715
 35  1.404         3.3479         2.2769
 36  1.504         3.3855         2.3037
 37  1.604         3.4249         2.3627
 38  1.704         3.4590         2.3370
 39  1.804         3.4916         2.3511
 40  1.904         3.5236         2.3746
 41  2.004         3.5553         2.4030
 42  2.104         3.5870         2.4347
 43  2.204         3.6177         2.4527
 44  2.304         3.6471         2.4622
 45  2.404         3.6755         2.4776
 46  2.504         3.7030         2.4907
 47  2.604         3.7222         2.3582
 48  2.704         3.7412         2.3727
 49  2.804         3.7600         2.3867
 50  2.904         3.7786         2.3999
 51  3.004         3.7969         2.4125
 52  3.104         3.8179         2.4918
 53  3.204         3.8361         2.4494
 54  3.304         3.8525         2.4222
 55  3.404         3.8682         2.4198
 56  3.504         3.8830         2.4056
 57  3.604         3.8967         2.3888
 58  3.704         3.9095         2.3752
 59  3.804         3.9218         2.3656
 60  3.904         3.9335         2.3606
 61  4.004         3.9450         2.3604
 62  4.104         3.9559         2.3501
 63  4.204         3.9664         2.3464
 64  4.304         3.9771         2.3635
 65  4.404         3.9886         2.4049
 66  4.504         4.0005         2.4318
 67  4.604         4.0110         2.3913
 68  4.704         4.0209         2.3737
 69  4.804         4.0309         2.3859
 70  4.904         4.0415         2.4230
 71  5.004         4.0531         2.4756
 72  5.104         4.0648         2.4881
 73  5.204         4.0766         2.5066
 74  5.304         4.0861         2.4191
 75  5.404         4.0922         2.2356
 76  5.504         4.0983         2.2440
 77  5.604         4.1044         2.2525
 78  5.704         4.1106         2.2612
 79  5.804         4.1168         2.2701
 80  5.904         4.1231         2.2792
 81  6.004         4.1294         2.2886
 82  6.104         4.1358         2.2981
 83  6.204         4.1422         2.3078
 84  6.304         4.1486         2.3178
 85  6.404         4.1552         2.3280
 86  6.504         4.1617         2.3383
 87  6.604         4.1684         2.3489
 88  6.704         4.1751         2.3597
 89  6.804         4.1818         2.3707
 90  6.904         4.1887         2.3820
 91  7.004         4.1956         2.3934
 92  7.104         4.2025         2.4051
 93  7.204         4.2096         2.4170
 94  7.304         4.2167         2.4292
 95  7.404         4.2240         2.4415
 96  7.504         4.2313         2.4541
 97  7.604         4.2387         2.4669
 98  7.704         4.2462         2.4799
 99  7.804         4.2538         2.4932
100  7.904         4.2615         2.5067
101  8.004         4.2736         2.7132
102  8.104         4.2890         2.8294
103  8.204         4.2965         2.5344
104  8.304         4.3027         2.4536
105  8.404         4.3092         2.4827
106  8.504         4.3172         2.5747
107  8.604         4.3262         2.6378
108  8.704         4.3356         2.6681
109  8.804         4.3441         2.6319
110  8.904         4.3529         2.6560
111  9.004         4.3618         2.6655
112  9.104         4.3827         3.0561
113  9.204         4.4166         3.2922
114  9.304         4.4535         3.3638
115  9.404         4.4889         3.3828
116  9.504         4.5225         3.3944
117  9.604         4.5540         3.3983
118  9.704         4.5830         3.3934
119  9.804         4.6091         3.3757
120  9.904         4.6324         3.3497
121 10.004         4.6532         3.3225
122 10.104         4.6718         3.2954
123 10.204         4.6891         3.2805
124 10.304         4.7059         3.2853
125 10.404         4.7233         3.3172
126 10.504         4.7427         3.3821
127 10.604         4.7717         3.5824
128 10.704         4.7925         3.4625
129 10.804         4.8115         3.4434
130 10.904         4.8305         3.4617
131 11.004         4.8495         3.4801
132 11.104         4.8684         3.4983
133 11.204         4.8873         3.5166
134 11.304         4.9062         3.5347
135 11.404         4.9250         3.5528
136 11.504         4.9438         3.5709
137 11.604         4.9626         3.5889
138 11.704         4.9813         3.6068
139 11.804         5.0000         3.6247


#AGE= 1.000 BINS=140 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.633         0.0315         0.0315
  2 -0.533         0.2511        -0.1504
  3 -0.433         0.3740        -0.2342
  4 -0.333         0.4658        -0.2541
  5 -0.233         0.5410        -0.2579
  6 -0.133         0.6045        -0.2618
  7 -0.033         0.6597        -0.2636
  8  0.067         0.7081        -0.2683
