#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2644 1.2838E-02 1.2838E-02  -0.10   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=142 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -2.461         1.3402         1.3402
  2 -2.361         1.6468         1.3514
  3 -2.261         1.8277         1.3601
  4 -2.161         1.9566         1.3663
  5 -2.061         2.0765         1.4586
  6 -1.961         2.1948         1.5724
  7 -1.861         2.2879         1.5734
  8 -1.761         2.3651         1.5767
  9 -1.661         2.4298         1.5709
 10 -1.561         2.4850         1.5619
 11 -1.461         2.5331         1.5536
 12 -1.361         2.5726         1.5119
 13 -1.261         2.6037         1.4426
 14 -1.161         2.6289         1.3808
 15 -1.061         2.6502         1.3293
 16 -0.961         2.6687         1.2903
 17 -0.861         2.6857         1.2683
 18 -0.761         2.7021         1.2722
 19 -0.661         2.7194         1.3104
 20 -0.561         2.7375         1.3491
 21 -0.461         2.7764         1.7092
 22 -0.361         2.8239         1.8388
 23 -0.261         2.8716         1.8892
 24 -0.161         2.9225         1.9660
 25 -0.061         2.9745         2.0269
 26  0.039         3.0242         2.0579
 27  0.139         3.0732         2.1018
 28  0.239         3.1191         2.1205
 29  0.339         3.1584         2.0948
 30  0.439         3.1914         2.0565
 31  0.539         3.2199         2.0224
 32  0.639         3.2471         2.0300
 33  0.739         3.2774         2.1066
 34  0.839         3.3169         2.2560
 35  0.939         3.3604         2.3397
 36  1.039         3.3930         2.2523
 37  1.139         3.4192         2.1862
 38  1.239         3.4373         2.0484
 39  1.339         3.4552         2.0624
 40  1.439         3.4731         2.0778
 41  1.539         3.4908         2.0912
 42  1.639         3.5084         2.1088
 43  1.739         3.5271         2.1528
 44  1.839         3.5468         2.1935
 45  1.939         3.5672         2.2283
 46  2.039         3.5880         2.2581
 47  2.139         3.6091         2.2837
 48  2.239         3.6301         2.3055
 49  2.339         3.6511         2.3238
