#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2451 5.4974E-05 5.4974E-05  -2.50   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=115 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.828         0.2140         0.2140
  2 -0.728         0.9531         0.8657
  3 -0.628         1.1932         0.8213
  4 -0.528         1.3907         0.9534
  5 -0.428         1.5603         1.0699
  6 -0.328         1.6764         1.0465
  7 -0.228         1.7654         1.0334
  8 -0.128         1.8413         1.0467
  9 -0.028         1.9076         1.0586
 10  0.072         1.9688         1.0875
 11  0.172         2.0246         1.1053
 12  0.272         2.0759         1.1232
 13  0.372         2.1239         1.1434
 14  0.472         2.1701         1.1746
 15  0.572         2.2164         1.2207
 16  0.672         2.2621         1.2617
 17  0.772         2.3045         1.2733
 18  0.872         2.3597         1.4366
 19  0.972         2.4175         1.5129
 20  1.072         2.4676         1.5048
 21  1.172         2.5299         1.6560
 22  1.272         2.6257         1.9221
 23  1.372         2.7091         1.9518
 24  1.472         2.7710         1.8943
 25  1.572         2.8233         1.8775
 26  1.672         2.8736         1.9130
 27  1.772         2.9280         1.9990
 28  1.872         3.0150         2.2740
 29  1.972         3.1963         2.7294
 30  2.072         3.4106         3.0010
 31  2.172         3.4347         2.1670
 32  2.272         3.4557         2.1310
 33  2.372         3.4784         2.1845
 34  2.472         3.5008         2.2030
 35  2.572         3.5224         2.2072
 36  2.672         3.5432         2.2124
 37  2.772         3.5635         2.2232
 38  2.872         3.5833         2.2329
 39  2.972         3.6028         2.2449
 40  3.072         3.6222         2.2629
 41  3.172         3.6414         2.2782
 42  3.272         3.6615         2.3163
 43  3.372         3.6822         2.3492
 44  3.472         3.6948         2.1509
 45  3.572         3.7073         2.1610
 46  3.672         3.7197         2.1716
 47  3.772         3.7322         2.1826
 48  3.872         3.7446         2.1942
 49  3.972         3.7570         2.2064
 50  4.072         3.7694         2.2191
 51  4.172         3.7818         2.2324
 52  4.272         3.7943         2.2463
 53  4.372         3.8068         2.2608
 54  4.472         3.8194         2.2760
 55  4.572         3.8321         2.2918
 56  4.672         3.8449         2.3082
 57  4.772         3.8579         2.3253
 58  4.872         3.8710         2.3431
 59  4.972         3.8842         2.3616
 60  5.072         3.8976         2.3810
 61  5.172         3.9112         2.4009
 62  5.272         3.9250         2.4177
 63  5.372         3.9387         2.4307
 64  5.472         3.9522         2.4403
 65  5.572         3.9658         2.4555
 66  5.672         3.9793         2.4643
 67  5.772         3.9923         2.4615
 68  5.872         4.0047         2.4522
 69  5.972         4.0166         2.4509
 70  6.072         4.0285         2.4601
 71  6.172         4.0405         2.4771
 72  6.272         4.0525         2.4873
 73  6.372         4.0628         2.4329
 74  6.472         4.0686         2.1901
 75  6.572         4.0753         2.2611
 76  6.672         4.0831         2.3299
 77  6.772         4.0918         2.3910
 78  6.872         4.1012         2.4315
 79  6.972         4.1100         2.4143
 80  7.072         4.1164         2.2785
 81  7.172         4.1221         2.2396
 82  7.272         4.1378         2.6870
 83  7.372         4.1544         2.7300
 84  7.472         4.1719         2.7684
 85  7.572         4.2292         3.3206
 86  7.672         4.2877         3.3885
 87  7.772         4.3416         3.4084
 88  7.872         4.3894         3.4075
 89  7.972         4.4302         3.3829
 90  8.072         4.4654         3.3574
 91  8.172         4.4978         3.3543
 92  8.272         4.5297         3.3790
 93  8.372         4.5556         3.3187
 94  8.472         4.5818         3.3500
 95  8.572         4.6096         3.4022
 96  8.672         4.6328         3.3487
 97  8.772         4.6555         3.3623
 98  8.872         4.6778         3.3769
 99  8.972         4.6997         3.3923
100  9.072         4.7214         3.4087
101  9.172         4.7429         3.4258
102  9.272         4.7641         3.4418
103  9.372         4.7849         3.4560
104  9.472         4.8054         3.4684
105  9.572         4.8254         3.4789
106  9.672         4.8449         3.4875
107  9.772         4.8638         3.4942
108  9.872         4.8822         3.4989
109  9.972         4.9000         3.5030
110 10.072         4.9173         3.5091
111 10.172         4.9342         3.5177
112 10.272         4.9510         3.5288
113 10.372         4.9675         3.5398
114 10.472         4.9838         3.5491
115 10.572         5.0000         3.5644


#AGE= 0.100 BINS=115 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.716            NaN         3.5644
  2 -0.616            NaN         3.5644
  3 -0.516            NaN         3.5644
  4 -0.416            NaN        -0.1602
  5 -0.316            NaN         0.9452
  6 -0.216         0.9391         1.0673
  7 -0.116         1.3108         1.0705
  8 -0.016         1.5107         1.0777
  9  0.084         1.6541         1.1031
 10  0.184         1.7655         1.1199
 11  0.284         1.8563         1.1321
 12  0.384         1.9341         1.1489
 13  0.484         2.0038         1.1752
 14  0.584         2.0686         1.2102
 15  0.684         2.1456         1.3566
 16  0.784         2.2297         1.4750
 17  0.884         2.2924         1.4209
 18  0.984         2.3461         1.4118
 19  1.084         2.3992         1.4606
 20  1.184         2.4545         1.5317
 21  1.284         2.5568         1.8790
 22  1.384         2.6517         1.9444
 23  1.484         2.7139         1.8392
 24  1.584         2.7739         1.8848
 25  1.684         2.8276         1.8926
 26  1.784         2.8811         1.9451
 27  1.884         2.9466         2.0933
 28  1.984         3.0773         2.4919
 29  2.084         3.1738         2.4734
 30  2.184         3.3960         2.9986
 31  2.284         3.4240         2.2182
 32  2.384         3.4454         2.1282
 33  2.484         3.4680         2.1735
 34  2.584         3.4909         2.2020
 35  2.684         3.5131         2.2097
 36  2.784         3.5343         2.2125
 37  2.884         3.5550         2.2220
 38  2.984         3.5752         2.2324
 39  3.084         3.5950         2.2448
 40  3.184         3.6149         2.2660
 41  3.284         3.6346         2.2819
 42  3.384         3.6551         2.3178
 43  3.484         3.6756         2.3402
 44  3.584         3.6886         2.1574
 45  3.684         3.7015         2.1671
 46  3.784         3.7143         2.1774
 47  3.884         3.7270         2.1881
 48  3.984         3.7397         2.1995
 49  4.084         3.7524         2.2113
 50  4.184         3.7650         2.2238
 51  4.284         3.7777         2.2368
 52  4.384         3.7904         2.2505
 53  4.484         3.8032         2.2648
 54  4.584         3.8160         2.2797
 55  4.684         3.8289         2.2953
 56  4.784         3.8419         2.3116
 57  4.884         3.8550         2.3285
 58  4.984         3.8683         2.3462
 59  5.084         3.8817         2.3646
 60  5.184         3.8953         2.3838
 61  5.284         3.9091         2.4038
 62  5.384         3.9229         2.4204
 63  5.484         3.9368         2.4330
 64  5.584         3.9505         2.4426
 65  5.684         3.9642         2.4576
 66  5.784         3.9777         2.4645
 67  5.884         3.9907         2.4599
 68  5.984         4.0031         2.4521
 69  6.084         4.0152         2.4539
 70  6.184         4.0273         2.4666
 71  6.284         4.0395         2.4818
 72  6.384         4.0517         2.4926
 73  6.484         4.0640         2.5100
 74  6.584         4.0708         2.2650
 75  6.684         4.0780         2.2936
 76  6.784         4.0862         2.3551
 77  6.884         4.0953         2.4119
 78  6.984         4.1048         2.4427
 79  7.084         4.1110         2.2591
 80  7.184         4.1176         2.2981
 81  7.284         4.1276         2.4869
 82  7.384         4.1439         2.7085
 83  7.484         4.1611         2.7500
 84  7.584         4.1791         2.7889
 85  7.684         4.2009         2.8907
 86  7.784         4.2642         3.3968
 87  7.884         4.3232         3.4270
 88  7.984         4.3753         3.4287
 89  8.084         4.4189         3.3991
 90  8.184         4.4563         3.3724
 91  8.284         4.4901         3.3651
 92  8.384         4.5223         3.3763
 93  8.484         4.5475         3.2982
 94  8.584         4.5795         3.4311
 95  8.684         4.6042         3.3468
 96  8.784         4.6283         3.3597
 97  8.884         4.6518         3.3731
 98  8.984         4.6747         3.3870
 99  9.084         4.6973         3.4013
100  9.184         4.7194         3.4161
101  9.284         4.7413         3.4314
102  9.384         4.7628         3.4474
103  9.484         4.7840         3.4618
104  9.584         4.8048         3.4742
105  9.684         4.8251         3.4844
106  9.784         4.8448         3.4927
107  9.884         4.8639         3.4987
108  9.984         4.8824         3.5027
109 10.084         4.9003         3.5060
110 10.184         4.9177         3.5112
111 10.284         4.9347         3.5187
112 10.384         4.9514         3.5283
113 10.484         4.9678         3.5373
114 10.584         4.9839         3.5450
115 10.684         5.0000         3.5601


#AGE= 1.000 BINS=130 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.096         0.1702         0.1702
  2 -0.996         0.6309         0.4464
  3 -0.896         0.7683         0.2015
  4 -0.796         0.8796         0.2341
  5 -0.696         0.9711         0.2498
  6 -0.596         1.0483         0.2597
  7 -0.496         1.1171         0.2834
  8 -0.396         1.1779         0.2934
  9 -0.296         1.2343         0.3198
 10 -0.196         1.2841         0.3189
 11 -0.096         1.3308         0.3394
 12  0.004         1.3749         0.3599
 13  0.104         1.4152         0.3629
 14  0.204         1.5064         0.7835
