# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Nov 16 20:17:30 CET 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: SDSS <i>ugriz</i> + 2MASS <i>JHK</i><sub>s</sub>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Jmag    Hmag    Ksmag
4.9184e-05 -2.19174 7.00000 0.1000000015 1.1711064122    0.100 -1.742  3.5833  4.465    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.27e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 9.125 13.143 10.793 9.507 8.985 8.672 7.434 6.929 6.775
4.9184e-05 -2.19174 7.00000 0.1053765640 1.2145110007    0.105 -1.711  3.5856  4.465    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.47e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 9.047 13.012 10.690 9.422 8.906 8.597 7.364 6.856 6.700
4.9184e-05 -2.19174 7.00000 0.1098214313 1.2482754908    0.109 -1.686  3.5873  4.464    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.65e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 8.985 12.906 10.607 9.353 8.842 8.536 7.306 6.795 6.638
4.9184e-05 -2.19174 7.00000 0.1209945008 1.3258347024    0.121 -1.629  3.5917  4.467    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.03e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 8.842 12.661 10.415 9.194 8.695 8.397 7.177 6.661 6.500
4.9184e-05 -2.19174 7.00000 0.1294642836 1.3786745408    0.129 -1.588  3.5948  4.468    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.34e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 8.740 12.488 10.278 9.080 8.589 8.297 7.083 6.565 6.403
4.9184e-05 -2.19174 7.00000 0.1386716068 1.4312430921    0.138 -1.547  3.5978  4.469    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.65e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 8.638 12.318 10.143 8.967 8.484 8.197 6.990 6.470 6.305
4.9184e-05 -2.19174 7.00000 0.1491071582 1.4855959672    0.149 -1.503  3.6010  4.469    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.04e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 8.527 12.136 9.998 8.844 8.370 8.088 6.888 6.366 6.200
4.9184e-05 -2.19174 7.00000 0.1687500030 1.5756139920    0.168 -1.430  3.6065  4.471    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.7e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 8.346 11.839 9.761 8.643 8.183 7.910 6.722 6.200 6.032
4.9184e-05 -2.19174 7.00000 0.2080357224 1.7204495903    0.207 -1.303  3.6161  4.474    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.05e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 8.028 11.320 9.346 8.290 7.853 7.597 6.430 5.911 5.741
4.9184e-05 -2.19174 7.00000 0.2458894700 1.8297792340    0.245 -1.201  3.6247  4.480    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.31e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 7.773 10.891 9.009 8.003 7.588 7.346 6.198 5.686 5.516
