# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Nov 16 20:21:48 CET 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: SDSS <i>ugriz</i> + 2MASS <i>JHK</i><sub>s</sub>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Jmag    Hmag    Ksmag
4.9184e-05 -2.19174 9.30103 0.1000000015 1.1711064122    0.100 -2.790  3.5572  5.409    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-16      0.00 7.500e-01 2.499e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.746 16.831 13.811 12.187 11.557 11.179 9.926 9.652 9.555
4.9184e-05 -2.19174 9.30103 0.1011771038 1.1808645789    0.101 -2.772  3.5591  5.403    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.33e-16      0.00 7.500e-01 2.499e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 11.699 16.718 13.738 12.131 11.511 11.139 9.886 9.603 9.503
4.9184e-05 -2.19174 9.30103 0.1098214313 1.2482754908    0.109 -2.641  3.5726  5.360    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.81e-16      0.00 7.498e-01 2.501e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.374 15.922 13.219 11.747 11.185 10.849 9.612 9.264 9.148
4.9184e-05 -2.19174 9.30103 0.1128091589 1.2699884196    0.112 -2.602  3.5763  5.348    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.99e-16      0.00 7.497e-01 2.502e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.276 15.702 13.069 11.636 11.087 10.760 9.528 9.165 9.046
4.9184e-05 -2.19174 9.30103 0.1294642836 1.3786745408    0.129 -2.402  3.5952  5.284    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.16e-16      0.00 7.492e-01 2.507e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.776 14.632 12.323 11.077 10.586 10.296 9.097 8.666 8.533
4.9184e-05 -2.19174 9.30103 0.1491071582 1.4855959672    0.149 -2.248  3.6065  5.236    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.44e-16      0.00 7.488e-01 2.511e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 10.389 13.960 11.809 10.656 10.195 9.925 8.748 8.292 8.150
4.9184e-05 -2.19174 9.30103 0.1687500030 1.5756139920    0.168 -2.130  3.6140  5.201    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.7e-16      0.00 7.485e-01 2.514e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 10.096 13.495 11.438 10.341 9.898 9.641 8.479 8.012 7.864
4.9184e-05 -2.19174 9.30103 0.2080357224 1.7204495903    0.207 -1.938  3.6252  5.145    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.52e-16      0.00 7.480e-01 2.519e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 9.615 12.772 10.847 9.826 9.410 9.171 8.033 7.559 7.404
4.9184e-05 -2.19174 9.30103 0.2571428716 1.8581268277    0.257 -1.749  3.6354  5.089    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-15      0.00 7.476e-01 2.523e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 9.141 12.090 10.280 9.322 8.930 8.707 7.591 7.119 6.960
4.9184e-05 -2.19174 9.30103 0.3062500358 1.9652636675    0.306 -1.595  3.6436  5.045    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.73e-15      0.00 7.475e-01 2.524e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.001e-04 8.757 11.547 9.826 8.913 8.539 8.330 7.230 6.764 6.606
4.9184e-05 -2.19174 9.30103 0.3553571403 2.0521113302    0.355 -1.464  3.6511  5.009    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.26e-15      0.00 7.479e-01 2.520e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.430 11.082 9.438 8.565 8.208 8.010 6.926 6.466 6.311
4.9184e-05 -2.19174 9.30103 0.4008254409 2.1196381894    0.400 -1.355  3.6582  4.981    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.83e-15      0.00 7.505e-01 2.494e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 8.158 10.682 9.111 8.273 7.931 7.744 6.675 6.223 6.072
