#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2605 1.0219E-02 1.0219E-02  -0.20   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=146 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -2.918         1.3257         1.3257
  2 -2.818         1.6313         1.3348
  3 -2.718         1.8110         1.3409
  4 -2.618         1.9385         1.3442
  5 -2.518         2.0370         1.3443
  6 -2.418         2.1167         1.3411
  7 -2.318         2.1831         1.3344
  8 -2.218         2.2393         1.3236
  9 -2.118         2.2874         1.3082
 10 -2.018         2.3245         1.2376
 11 -1.918         2.3497         1.1001
 12 -1.818         2.3682         0.9892
 13 -1.718         2.3833         0.9165
 14 -1.618         2.3963         0.8681
 15 -1.518         2.4095         0.8829
 16 -1.418         2.4247         0.9612
 17 -1.318         2.4437         1.0755
 18 -1.218         2.4672         1.1885
 19 -1.118         2.4960         1.3031
 20 -1.018         2.5303         1.4107
 21 -0.918         2.5696         1.5071
 22 -0.818         2.6134         1.5958
 23 -0.718         2.6603         1.6704
 24 -0.618         2.7003         1.6446
 25 -0.518         2.7363         1.6364
 26 -0.418         2.7973         1.9149
 27 -0.318         2.8464         1.8755
 28 -0.218         2.8887         1.8563
 29 -0.118         2.9290         1.8761
 30 -0.018         2.9691         1.9145
 31  0.082         3.0036         1.8863
 32  0.182         3.0416         1.9655
 33  0.282         3.0774         1.9750
 34  0.382         3.1134         2.0144
 35  0.482         3.1491         2.0469
 36  0.582         3.1828         2.0559
 37  0.682         3.2141         2.0563
 38  0.782         3.2441         2.0686
 39  0.882         3.2828         2.2130
 40  0.982         3.3267         2.3101
 41  1.082         3.3575         2.1930
 42  1.182         3.3831         2.1410
 43  1.282         3.4024         2.0394
 44  1.382         3.4210         2.0437
 45  1.482         3.4415         2.1052
 46  1.582         3.4631         2.1490
 47  1.682         3.4844         2.1641
 48  1.782         3.5054         2.1805
 49  1.882         3.5264         2.2003
 50  1.982         3.5473         2.2193
 51  2.082         3.5681         2.2371
 52  2.182         3.5887         2.2538
 53  2.282         3.6090         2.2694
 54  2.382         3.6291         2.2841
 55  2.482         3.6489         2.2977
 56  2.582         3.6683         2.3104
 57  2.682         3.6875         2.3221
 58  2.782         3.7063         2.3329
 59  2.882         3.7247         2.3426
 60  2.982         3.7427         2.3514
 61  3.082         3.7603         2.3591
 62  3.182         3.7774         2.3658
 63  3.282         3.7942         2.3715
 64  3.382         3.8100         2.3640
 65  3.482         3.8246         2.3428
 66  3.582         3.8388         2.3472
 67  3.682         3.8530         2.3618
 68  3.782         3.8692         2.4329
 69  3.882         3.8850         2.4355
 70  3.982         3.9013         2.4682
 71  4.082         3.9181         2.4980
 72  4.182         3.9333         2.4683
 73  4.282         3.9468         2.4347
 74  4.382         3.9600         2.4357
 75  4.482         3.9728         2.4354
 76  4.582         3.9844         2.4056
 77  4.682         3.9963         2.4269
 78  4.782         4.0084         2.4477
 79  4.882         4.0206         2.4627
 80  4.982         4.0308         2.3976
 81  5.082         4.0401         2.3677
 82  5.182         4.0495         2.3796
 83  5.282         4.0590         2.3917
 84  5.382         4.0685         2.4040
 85  5.482         4.0780         2.4165
 86  5.582         4.0877         2.4292
 87  5.682         4.0974         2.4422
 88  5.782         4.1072         2.4554
 89  5.882         4.1171         2.4687
 90  5.982         4.1270         2.4825
 91  6.082         4.1371         2.4975
 92  6.182         4.1473         2.5121
 93  6.282         4.1575         2.5263
 94  6.382         4.1679         2.5401
 95  6.482         4.1764         2.4644
 96  6.582         4.1845         2.4500
 97  6.682         4.1925         2.4566
 98  6.782         4.2006         2.4643
 99  6.882         4.2086         2.4732
100  6.982         4.2167         2.4834
101  7.082         4.2249         2.4949
102  7.182         4.2332         2.5077
103  7.282         4.2415         2.5219
104  7.382         4.2500         2.5375
105  7.482         4.2591         2.5730
106  7.582         4.2680         2.5792
