#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2484 2.0985E-03 2.0985E-03  -0.90   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=131 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.514            NaN         0.0000
  2 -1.414            NaN         0.0000
  3 -1.314            NaN         0.0000
  4 -1.214            NaN         0.0000
  5 -1.114            NaN         0.0000
  6 -1.014            NaN        -0.0737
  7 -0.914            NaN        -0.0737
  8 -0.814            NaN         0.6114
  9 -0.714            NaN         0.8862
 10 -0.614            NaN         1.0012
 11 -0.514            NaN         1.0358
 12 -0.414            NaN         1.0828
 13 -0.314         0.8731         1.1172
 14 -0.214         1.3135         1.1178
 15 -0.114         1.5475         1.1671
 16 -0.014         1.6989         1.1680
 17  0.086         2.0018         1.7026
 18  0.186         2.2209         1.8189
 19  0.286         2.3731         1.8438
 20  0.386         2.4854         1.8429
 21  0.486         2.5771         1.8569
 22  0.586         2.6822         2.0145
 23  0.686         2.7507         1.9151
 24  0.786         2.8552         2.1853
 25  0.886         2.9483         2.2337
 26  0.986         3.0046         2.0893
 27  1.086         3.0473         2.0191
 28  1.186         3.0883         2.0432
 29  1.286         3.1321         2.1133
 30  1.386         3.1766         2.1659
 31  1.486         3.2532         2.4615
 32  1.586         3.3211         2.4816
 33  1.686         3.3580         2.2689
 34  1.786         3.3826         2.1247
 35  1.886         3.4071         2.1451
 36  1.986         3.4300         2.1417
 37  2.086         3.4513         2.1312
 38  2.186         3.4717         2.1337
 39  2.286         3.4919         2.1495
 40  2.386         3.5121         2.1698
 41  2.486         3.5320         2.1832
 42  2.586         3.5517         2.1977
 43  2.686         3.5712         2.2134
 44  2.786         3.5906         2.2302
 45  2.886         3.6092         2.2334
 46  2.986         3.6275         2.2418
 47  3.086         3.6462         2.2715
 48  3.186         3.6665         2.3261
 49  3.286         3.6892         2.3956
 50  3.386         3.7169         2.5087
 51  3.486         3.7355         2.3566
 52  3.586         3.7524         2.3349
 53  3.686         3.7692         2.3494
 54  3.786         3.7855         2.3518
 55  3.886         3.8013         2.3539
 56  3.986         3.8168         2.3599
 57  4.086         3.8320         2.3697
 58  4.186         3.8455         2.3313
 59  4.286         3.8572         2.2822
 60  4.386         3.8688         2.2885
 61  4.486         3.8802         2.2943
 62  4.586         3.8915         2.3002
 63  4.686         3.9026         2.3067
 64  4.786         3.9137         2.3138
 65  4.886         3.9247         2.3215
 66  4.986         3.9356         2.3297
 67  5.086         3.9464         2.3386
 68  5.186         3.9572         2.3481
 69  5.286         3.9680         2.3583
 70  5.386         3.9788         2.3691
 71  5.486         3.9896         2.3806
 72  5.586         4.0005         2.3928
 73  5.686         4.0114         2.4050
 74  5.786         4.0222         2.4125
 75  5.886         4.0329         2.4211
 76  5.986         4.0437         2.4326
 77  6.086         4.0546         2.4472
 78  6.186         4.0656         2.4651
 79  6.286         4.0769         2.4863
 80  6.386         4.0885         2.5101
 81  6.486         4.1003         2.5299
 82  6.586         4.1122         2.5440
 83  6.686         4.1205         2.3957
 84  6.786         4.1210         1.1898
 85  6.886         4.1249         2.0711
 86  6.986         4.1304         2.2310
 87  7.086         4.1373         2.3361
 88  7.186         4.1457         2.4304
 89  7.286         4.1553         2.4917
 90  7.386         4.1653         2.5247
 91  7.486         4.1755         2.5390
 92  7.586         4.1851         2.5266
 93  7.686         4.1955         2.5700
 94  7.786         4.2067         2.6107
 95  7.886         4.2186         2.6525
 96  7.986         4.2732         3.3459
 97  8.086         4.3618         3.6275
 98  8.186         4.4051         3.3827
 99  8.286         4.4351         3.2597
100  8.386         4.4612         3.2264
101  8.486         4.4852         3.2164
102  8.586         4.5081         3.2185
103  8.686         4.5302         3.2266
104  8.786         4.5518         3.2362
105  8.886         4.5725         3.2412
106  8.986         4.5922         3.2399
107  9.086         4.6102         3.2188
108  9.186         4.6266         3.1935
109  9.286         4.6416         3.1726
110  9.386         4.6557         3.1606
111  9.486         4.6700         3.1807
112  9.586         4.6827         3.1438
113  9.686         4.6970         3.2065
