#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2452 1.0180E-04 1.0180E-04  -2.30   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=114 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.691         1.2061         1.2061
  2 -0.591         1.5141         1.2198
  3 -0.491         1.6947         1.2265
  4 -0.391         1.8272         1.2470
  5 -0.291         1.9339         1.2719
  6 -0.191         2.0235         1.2942
  7 -0.091         2.0996         1.3058
  8  0.009         2.1656         1.3145
  9  0.109         2.2241         1.3246
 10  0.209         2.2767         1.3344
 11  0.309         2.3253         1.3495
 12  0.409         2.3707         1.3678
 13  0.509         2.4136         1.3874
 14  0.609         2.4550         1.4136
 15  0.709         2.4125         1.4136
 16  0.809         2.4554         1.4282
 17  0.909         2.4978         1.4666
 18  1.009         2.6204         2.0115
 19  1.109         2.7547         2.1794
 20  1.209         2.8124         1.9070
 21  1.309         2.8656         1.9273
 22  1.409         2.9282         2.0560
 23  1.509         2.9871         2.0909
 24  1.609         3.0682         2.2993
 25  1.709         3.1100         2.0726
 26  1.809         3.1461         2.0484
 27  1.909         3.1854         2.1218
 28  2.009         3.3744         2.9221
 29  2.109         3.4612         2.7194
 30  2.209         3.4820         2.1519
 31  2.309         3.5027         2.1702
 32  2.409         3.5230         2.1829
 33  2.509         3.5423         2.1804
 34  2.609         3.5606         2.1744
 35  2.709         3.5782         2.1784
 36  2.809         3.5956         2.1885
 37  2.909         3.6126         2.1985
 38  3.009         3.6297         2.2165
 39  3.109         3.6471         2.2397
 40  3.209         3.6645         2.2595
 41  3.309         3.6811         2.2553
 42  3.409         3.6941         2.1617
 43  3.509         3.7069         2.1711
 44  3.609         3.7196         2.1811
 45  3.709         3.7323         2.1915
 46  3.809         3.7450         2.2026
 47  3.909         3.7576         2.2142
 48  4.009         3.7702         2.2264
 49  4.109         3.7828         2.2392
 50  4.209         3.7954         2.2527
 51  4.309         3.8081         2.2669
 52  4.409         3.8208         2.2817
 53  4.509         3.8336         2.2972
 54  4.609         3.8465         2.3135
 55  4.709         3.8596         2.3305
 56  4.809         3.8728         2.3482
 57  4.909         3.8861         2.3667
 58  5.009         3.8996         2.3860
 59  5.109         3.9133         2.4053
 60  5.209         3.9271         2.4223
 61  5.309         3.9409         2.4369
 62  5.409         3.9547         2.4489
 63  5.509         3.9686         2.4679
 64  5.609         3.9825         2.4804
 65  5.709         3.9959         2.4769
 66  5.809         4.0084         2.4625
 67  5.909         4.0204         2.4553
 68  6.009         4.0322         2.4593
 69  6.109         4.0440         2.4740
 70  6.209         4.0529         2.3587
 71  6.309         4.0597         2.2495
 72  6.409         4.0666         2.2642
 73  6.509         4.0744         2.3285
 74  6.609         4.0839         2.4170
 75  6.709         4.0948         2.4903
 76  6.809         4.1068         2.5426
 77  6.909         4.1193         2.5720
 78  7.009         4.1306         2.5406
 79  7.109         4.1422         2.5612
 80  7.209         4.1534         2.5585
 81  7.309         4.1641         2.5507
 82  7.409         4.1798         2.7324
 83  7.509         4.1972         2.7906
 84  7.609         4.2152         2.8236
 85  7.709         4.2748         3.3826
 86  7.809         4.3336         3.4366
 87  7.909         4.3875         3.4542
 88  8.009         4.4350         3.4508
 89  8.109         4.4775         3.4464
 90  8.209         4.5152         3.4351
 91  8.309         4.5456         3.3765
 92  8.409         4.5698         3.3035
 93  8.509         4.5900         3.2480
 94  8.609         4.6094         3.2480
 95  8.709         4.6312         3.3223
 96  8.809         4.6535         3.3521
 97  8.909         4.6762         3.3830
 98  9.009         4.6987         3.4028
 99  9.109         4.7209         3.4170
100  9.209         4.7425         3.4302
101  9.309         4.7638         3.4424
102  9.409         4.7845         3.4537
103  9.509         4.8048         3.4640
104  9.609         4.8246         3.4733
105  9.709         4.8439         3.4816
106  9.809         4.8627         3.4889
107  9.909         4.8809         3.4949
108 10.009         4.8987         3.5020
109 10.109         4.9161         3.5109
110 10.209         4.9333         3.5216
111 10.309         4.9503         3.5343
112 10.409         4.9670         3.5443
113 10.509         4.9835         3.5552
114 10.609         5.0000         3.5714


#AGE= 0.100 BINS=114 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -0.579            NaN         3.5714
  2 -0.479            NaN         3.5714
  3 -0.379            NaN         3.5714
  4 -0.279         1.1020         1.1477
  5 -0.179         1.4869         1.2561
  6 -0.079         1.6951         1.2759
  7  0.021         1.8385         1.2874
  8  0.121         1.9488         1.2998
  9  0.221         2.0393         1.3137
 10  0.321         2.1171         1.3317
 11  0.421         2.1860         1.3529
 12  0.521         2.2484         1.3747
 13  0.621         2.3062         1.4019
 14  0.721         2.3610         1.4348
 15  0.821         2.3229         1.4348
 16  0.921         2.3741         1.4202
 17  1.021         2.4488         1.6479
 18  1.121         2.6250         2.1481
 19  1.221         2.7478         2.1391
 20  1.321         2.8116         1.9468
 21  1.421         2.8692         1.9637
 22  1.521         2.9243         2.0007
 23  1.621         2.9862         2.1089
 24  1.721         3.0625         2.2699
 25  1.821         3.1043         2.0666
 26  1.921         3.1432         2.0757
 27  2.021         3.1886         2.1853
 28  2.121         3.3593         2.8713
 29  2.221         3.4479         2.7140
 30  2.321         3.4711         2.1876
 31  2.421         3.4920         2.1648
 32  2.521         3.5131         2.1889
 33  2.621         3.5333         2.1902
 34  2.721         3.5522         2.1821
 35  2.821         3.5704         2.1822
 36  2.921         3.5882         2.1915
 37  3.021         3.6056         2.2001
 38  3.121         3.6230         2.2169
 39  3.221         3.6406         2.2399
 40  3.321         3.6583         2.2605
 41  3.421         3.6750         2.2517
 42  3.521         3.6883         2.1683
 43  3.621         3.7015         2.1774
 44  3.721         3.7146         2.1870
 45  3.821         3.7276         2.1971
 46  3.921         3.7405         2.2079
 47  4.021         3.7534         2.2192
 48  4.121         3.7663         2.2311
 49  4.221         3.7791         2.2436
 50  4.321         3.7920         2.2568
 51  4.421         3.8048         2.2707
 52  4.521         3.8178         2.2853
 53  4.621         3.8308         2.3005
 54  4.721         3.8439         2.3166
 55  4.821         3.8571         2.3333
 56  4.921         3.8704         2.3508
 57  5.021         3.8839         2.3691
 58  5.121         3.8975         2.3883
 59  5.221         3.9114         2.4076
 60  5.321         3.9253         2.4246
 61  5.421         3.9393         2.4389
 62  5.521         3.9531         2.4508
 63  5.621         3.9672         2.4696
 64  5.721         3.9811         2.4800
 65  5.821         3.9944         2.4744
 66  5.921         4.0069         2.4607
 67  6.021         4.0190         2.4564
 68  6.121         4.0309         2.4635
 69  6.221         4.0429         2.4791
 70  6.321         4.0548         2.4873
 71  6.421         4.0621         2.2821
 72  6.521         4.0687         2.2449
 73  6.621         4.0761         2.3058
 74  6.721         4.0853         2.4068
 75  6.821         4.0964         2.4970
 76  6.921         4.1087         2.5573
 77  7.021         4.1207         2.5530
 78  7.121         4.1324         2.5575
 79  7.221         4.1440         2.5639
 80  7.321         4.1546         2.5391
 81  7.421         4.1679         2.6470
 82  7.521         4.1849         2.7687
 83  7.621         4.2027         2.8068
 84  7.721         4.2211         2.8396
 85  7.821         4.2501         3.0599
 86  7.921         4.3101         3.4210
 87  8.021         4.3666         3.4525
 88  8.121         4.4183         3.4684
 89  8.221         4.4649         3.4722
 90  8.321         4.5051         3.4521
 91  8.421         4.5356         3.3674
 92  8.521         4.5591         3.2795
 93  8.621         4.5798         3.2486
 94  8.721         4.6029         3.3169
 95  8.821         4.6262         3.3435
 96  8.921         4.6494         3.3663
 97  9.021         4.6725         3.3861
 98  9.121         4.6955         3.4078
 99  9.221         4.7181         3.4236
100  9.321         4.7403         3.4373
101  9.421         4.7620         3.4499
102  9.521         4.7832         3.4612
103  9.621         4.8038         3.4713
104  9.721         4.8240         3.4801
105  9.821         4.8436         3.4877
106  9.921         4.8626         3.4941
107 10.021         4.8810         3.4994
108 10.121         4.8989         3.5057
109 10.221         4.9164         3.5135
110 10.321         4.9336         3.5230
111 10.421         4.9506         3.5342
112 10.521         4.9673         3.5423
113 10.621         4.9836         3.5520
114 10.721         5.0000         3.5681


#AGE= 1.000 BINS=130 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.054         0.1702         0.1702
  2 -0.954         0.5778         0.3623
  3 -0.854         0.7299         0.2003
  4 -0.754         0.8484         0.2263
  5 -0.654         0.9437         0.2382
  6 -0.554         1.0237         0.2499
  7 -0.454         1.0934         0.2644
  8 -0.354         1.1557         0.2815
  9 -0.254         1.2108         0.2869
 10 -0.154         1.2609         0.2980
 11 -0.054         1.3068         0.3082
 12  0.046         1.3493         0.3186
 13  0.146         1.3882         0.3208
 14  0.246         1.4763         0.7403
 15  0.346         1.6043         1.0112
 16  0.446         1.6243         0.2782
 17  0.546         1.6433         0.2739
 18  0.646         1.6625         0.2998
 19  0.746         1.6831         0.3480
 20  0.846         1.7061         0.4182
 21  0.946         1.7329         0.5108
 22  1.046         1.7662         0.6337
 23  1.146         1.8068         0.7573
 24  1.246         1.8560         0.8864
 25  1.346         1.9131         1.0033
 26  1.446         1.9696         1.0561
 27  1.546         2.0241         1.0954
 28  1.646         2.0896         1.2359
 29  1.746         2.2205         1.6360
 30  1.846         2.3549         1.7800
 31  1.946         2.4702         1.8378
 32  2.046         2.5524         1.7892
 33  2.146         2.6270         1.8253
 34  2.246         2.6994         1.8852
 35  2.346         2.7694         1.9424
 36  2.446         2.8349         1.9813
 37  2.546         2.8975         2.0254
 38  2.646         2.9615         2.0982
 39  2.746         3.0201         2.1211
 40  2.846         3.0746         2.1463
 41  2.946         3.1238         2.1536
 42  3.046         3.1689         2.1629
 43  3.146         3.2104         2.1698
 44  3.246         3.2492         2.1814
 45  3.346         3.2847         2.1787
 46  3.446         3.3153         2.1479
 47  3.546         3.3425         2.1268
 48  3.646         3.3686         2.1335
